#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.858102    0.858102           0
           2    0.824312    0.841207   0.0119465
           3    0.836828    0.839748  0.00805305
           4    0.858324    0.844392  0.00725636
           5    0.872574    0.850028  0.00768863
           6    0.831873    0.847002  0.00697725
           7    0.842749    0.846395   0.0060069
           8    0.847629    0.846549  0.00525802
           9    0.837825     0.84558   0.0047623
          10     0.82344    0.843366  0.00477302
          11       0.829     0.84206  0.00451426
          12    0.834647    0.841442  0.00418012
          13    0.811727    0.839156  0.00443976
          14    0.842762    0.839414   0.0041301
          15    0.833301    0.839006  0.00387481
          16    0.815297    0.837524  0.00390571
          17    0.851166    0.838327  0.00375749
          18    0.844679     0.83868  0.00356528
          19    0.827263    0.838079   0.0034279
          20    0.816232    0.836987  0.00342613
          21    0.846826    0.837455  0.00329487
          22    0.821647    0.836737   0.0032225
          23    0.837699    0.836778  0.00308267
          24    0.821631    0.836147  0.00301814
          25    0.848793    0.836653   0.0029395
          26    0.844894     0.83697  0.00284348
          27    0.845678    0.837293   0.0027564
          28    0.866868    0.838349  0.00285318
          29    0.841159    0.838446  0.00275643
          30    0.821021    0.837865  0.00272506
          31     0.84544    0.838109  0.00264809
          32    0.831258    0.837895  0.00257398
          33    0.813096    0.837144  0.00260337
          34    0.838113    0.837172  0.00252696
          35    0.826356    0.836863  0.00247358
          36    0.850803     0.83725  0.00243499
          37    0.831377    0.837092  0.00237435
          38    0.859977    0.837694  0.00238702
          39    0.850777    0.838029  0.00234927
          40    0.833846    0.837925  0.00229287
          41     0.83069    0.837748  0.00224372
          42    0.864341    0.838381  0.00227788
          43    0.825155    0.838074  0.00224558
          44    0.846988    0.838276  0.00220366
          45    0.857452    0.838703   0.0021955
          46    0.831709    0.838551  0.00215303
          47    0.837884    0.838536  0.00210727
          48    0.830837    0.838376  0.00206947
          49    0.829379    0.838192  0.00203536
          50    0.835164    0.838132  0.00199556
