# VELOCITY:     AVE_POFV:        ERROR:
        0.07   0.0146164           0
        0.21   0.0943783           0
        0.35    0.235714           0
        0.49    0.410648           0
        0.63    0.562434           0
        0.77    0.647553           0
        0.91    0.704233           0
        1.05    0.732275           0
        1.19    0.686574           0
        1.33    0.672487           0
        1.47    0.586111           0
        1.61    0.507077           0
        1.75     0.40582           0
        1.89    0.287302           0
        2.03     0.18922           0
        2.17    0.139153           0
        2.31   0.0989418           0
        2.45   0.0706349           0
        2.59   0.0462963           0
        2.73   0.0204365           0
        2.87   0.0135582           0
        3.01  0.00760582           0
        3.15  0.00747354           0
        3.29  0.00231481           0
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0169643   0.0016602
        0.21   0.0947421 0.000257215
        0.35    0.218287   0.0123229
        0.49    0.395899   0.0104289
        0.63    0.570073  0.00540151
        0.77    0.677513   0.0211851
        0.91    0.751488   0.0334145
        1.05    0.741038  0.00619654
        1.19    0.705489   0.0133752
        1.33    0.686938   0.0102184
        1.47    0.583201  0.00205772
        1.61    0.493849  0.00935326
        1.75    0.373876   0.0225881
        1.89    0.280093  0.00509753
        2.03    0.175033   0.0100314
        2.17    0.128175  0.00776321
        2.31   0.0871032  0.00837117
        2.45   0.0589286  0.00827764
        2.59   0.0477844  0.00105224
        2.73   0.0234127  0.00210448
        2.87   0.0140212 0.000327364
        3.01   0.0116071  0.00282936
        3.15  0.00618386 0.000911943
        3.29  0.00115741 0.000818411
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07    0.014881  0.00202942
        0.21   0.0844136  0.00843491
        0.35    0.204101   0.0142008
        0.49    0.374361   0.0189108
        0.63    0.551499    0.015587
        0.77     0.66616    0.016894
        0.91    0.747134   0.0225583
        1.05     0.77996    0.032047
        1.19    0.747729   0.0356227
        1.33    0.701036   0.0133759
        1.47     0.56649   0.0137131
        1.61    0.487809   0.0079503
        1.75    0.386287   0.0181513
        1.89    0.288514  0.00767008
        2.03    0.188558   0.0129103
        2.17    0.133752  0.00689386
        2.31   0.0847443  0.00590379
        2.45   0.0532628  0.00720096
        2.59    0.037985  0.00803186
        2.73   0.0201499  0.00301091
        2.87   0.0108245  0.00261916
        3.01  0.00831129  0.00328629
        3.15  0.00412257  0.00178948
        3.29 0.000771605 0.000630013
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0136739  0.00184644
        0.21   0.0816964  0.00674965
        0.35    0.200595   0.0110748
        0.49    0.369659   0.0147559
        0.63    0.542146   0.0142222
        0.77    0.656597   0.0151368
        0.91    0.753753   0.0178635
        1.05    0.771825   0.0250465
        1.19     0.72996   0.0308318
        1.33     0.69585   0.0109915
        1.47    0.575479   0.0128989
        1.61     0.51121   0.0211254
        1.75    0.402976   0.0198547
        1.89    0.299372    0.011023
        2.03    0.200182   0.0139674
        2.17    0.132705  0.00524932
        2.31   0.0793981  0.00640637
        2.45    0.050711  0.00583537
        2.59    0.033664  0.00709158
        2.73    0.019246  0.00239001
        2.87   0.0112765  0.00200298
        3.01  0.00720899  0.00264312
        3.15  0.00309193  0.00161181
        3.29 0.000578704 0.000501172
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0122487  0.00195117
        0.21   0.0825132  0.00544892
        0.35    0.203016  0.00912051
        0.49    0.362553   0.0134072
        0.63    0.519577   0.0231723
        0.77    0.647817   0.0144328
        0.91    0.750529   0.0145788
        1.05    0.770119   0.0200952
        1.19    0.743638   0.0275325
        1.33    0.698717  0.00915951
        1.47    0.588307   0.0154311
        1.61    0.513082    0.016983
        1.75    0.404246   0.0159243
        1.89    0.302804  0.00933759
        2.03    0.200767   0.0111862
        2.17    0.136548  0.00542659
        2.31   0.0815476  0.00547383
        2.45   0.0511376  0.00468386
        2.59   0.0327116  0.00573686
        2.73   0.0188228  0.00194913
        2.87   0.0114418   0.0016092
        3.01  0.00669312  0.00216426
        3.15   0.0035582  0.00135521
        3.29 0.000462963 0.000414087
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0109458  0.00201456
        0.21   0.0799052  0.00512706
        0.35    0.204861  0.00778485
        0.49    0.365961   0.0115978
        0.63    0.526896   0.0204335
        0.77    0.652745   0.0128409
        0.91    0.759292   0.0145463
        1.05     0.77478    0.017278
        1.19    0.743034   0.0229504
        1.33    0.686188   0.0137502
        1.47    0.586265   0.0129935
        1.61    0.505809   0.0156325
        1.75    0.400562   0.0136898
        1.89    0.298578  0.00868521
        2.03    0.203604  0.00967495
        2.17    0.138679  0.00492313
        2.31   0.0815035   0.0045617
        2.45     0.05097  0.00390621
        2.59    0.031746   0.0048613
        2.73   0.0178571  0.00184804
        2.87   0.0121142   0.0014748
        3.01  0.00691138  0.00181452
        3.15  0.00326279  0.00116109
        3.29 0.000385802 0.000352188
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0103269  0.00181934
        0.21   0.0772581  0.00503177
        0.35    0.201956  0.00719447
        0.49    0.364418   0.0100431
        0.63    0.521192   0.0182932
        0.77     0.64778   0.0119278
        0.91     0.75428   0.0133038
        1.05    0.783428   0.0168356
        1.19    0.758324   0.0242358
        1.33    0.686914    0.011805
        1.47    0.591799   0.0122591
        1.61    0.509231   0.0137687
        1.75    0.398545   0.0118818
        1.89    0.295106  0.00810889
        2.03    0.202806  0.00832569
        2.17    0.136489  0.00468182
        2.31   0.0832294  0.00422391
        2.45    0.050359  0.00339563
        2.59   0.0312831  0.00418881
        2.73   0.0174509  0.00162808
        2.87   0.0109599  0.00165529
        3.01  0.00659486  0.00158267
        3.15  0.00279667  0.00108475
        3.29 0.000330688 0.000306157
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0100529  0.00161242
        0.21   0.0786293  0.00458582
        0.35    0.201653  0.00630151
        0.49     0.36374  0.00881058
        0.63    0.525554   0.0165183
        0.77    0.647338    0.010445
        0.91    0.748909   0.0126788
        1.05    0.780398   0.0150012
        1.19    0.760036   0.0212667
        1.33    0.686367   0.0103421
        1.47    0.589435   0.0109524
        1.61    0.507788    0.012123
        1.75    0.400198    0.010511
        1.89    0.300843  0.00889642
        2.03    0.206961  0.00825687
        2.17    0.134251  0.00460052
        2.31   0.0830109  0.00370157
        2.45    0.048917  0.00326304
        2.59   0.0309524  0.00367824
        2.73   0.0178406  0.00147048
        2.87   0.0110946  0.00145384
        3.01  0.00615079  0.00144579
        3.15  0.00244709  0.00100391
