# VELOCITY:     BLOCK_POFV:
0.07 0.0146164
0.21 0.0943783
0.35 0.235714
0.49 0.410648
0.63 0.562434
0.77 0.647553
0.91 0.704233
1.05 0.732275
1.19 0.686574
1.33 0.672487
1.47 0.586111
1.61 0.507077
1.75 0.40582
1.89 0.287302
2.03 0.18922
2.17 0.139153
2.31 0.0989418
2.45 0.0706349
2.59 0.0462963
2.73 0.0204365
2.87 0.0135582
3.01 0.00760582
3.15 0.00747354
3.29 0.00231481
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0193122
0.21 0.0951058
0.35 0.20086
0.49 0.381151
0.63 0.577712
0.77 0.707474
0.91 0.798743
1.05 0.749802
1.19 0.724405
1.33 0.701389
1.47 0.580291
1.61 0.480622
1.75 0.341931
1.89 0.272884
2.03 0.160847
2.17 0.117196
2.31 0.0752646
2.45 0.0472222
2.59 0.0492725
2.73 0.0263889
2.87 0.0144841
3.01 0.0156085
3.15 0.00489418
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0107143
0.21 0.0637566
0.35 0.175728
0.49 0.331283
0.63 0.514352
0.77 0.643452
0.91 0.738426
1.05 0.857804
1.19 0.832209
1.33 0.729233
1.47 0.533069
1.61 0.475728
1.75 0.411111
1.89 0.305357
2.03 0.215608
2.17 0.144907
2.31 0.0800265
2.45 0.0419312
2.59 0.0183862
2.73 0.0136243
2.87 0.00443122
3.01 0.00171958
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0100529
0.21 0.073545
0.35 0.190079
0.49 0.355556
0.63 0.514087
0.77 0.62791
0.91 0.773611
1.05 0.747421
1.19 0.676653
1.33 0.680291
1.47 0.602447
1.61 0.581415
1.75 0.453042
1.89 0.331944
2.03 0.235053
2.17 0.129563
2.31 0.0633598
2.45 0.0430556
2.59 0.0207011
2.73 0.0165344
2.87 0.0126323
3.01 0.00390212
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00654762
0.21 0.0857804
0.35 0.212698
0.49 0.334127
0.63 0.429299
0.77 0.612698
0.91 0.737632
1.05 0.763294
1.19 0.798347
1.33 0.710185
1.47 0.639616
1.61 0.520569
1.75 0.409325
1.89 0.316534
2.03 0.203108
2.17 0.151918
2.31 0.0901455
2.45 0.0528439
2.59 0.0289021
2.73 0.0171296
2.87 0.0121032
3.01 0.00462963
3.15 0.00542328
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00443122
0.21 0.0668651
0.35 0.214087
0.49 0.383003
0.63 0.563492
0.77 0.677381
0.91 0.803108
1.05 0.798082
1.19 0.740013
1.33 0.623545
1.47 0.576058
1.61 0.469444
1.75 0.382143
