#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.56162    -5.56162           0
           2    -5.52273    -5.54218   0.0137504
           3    -5.53734    -5.54057  0.00926097
           4    -5.56028    -5.54549  0.00815201
           5    -5.57591    -5.55158  0.00849327
           6    -5.53358    -5.54858  0.00758873
           7    -5.54563    -5.54816  0.00651631
           8    -5.54888    -5.54825   0.0057024
           9    -5.54083    -5.54742  0.00512794
          10    -5.52593    -5.54527  0.00504567
          11    -5.52746    -5.54365  0.00483983
          12    -5.53499    -5.54293  0.00449009
          13    -5.51228    -5.54057  0.00472331
          14    -5.54442    -5.54085   0.0043939
          15    -5.53343    -5.54035  0.00412869
          16    -5.51675    -5.53888  0.00412588
          17    -5.55228    -5.53967  0.00395782
          18    -5.54351    -5.53988  0.00374368
          19    -5.52581    -5.53914  0.00361917
          20    -5.51656    -5.53801  0.00360997
          21    -5.54899    -5.53853  0.00347571
          22    -5.52013     -5.5377  0.00341695
          23    -5.53804    -5.53771  0.00326842
          24    -5.52077    -5.53701  0.00320754
          25    -5.55136    -5.53758  0.00313022
          26    -5.54668    -5.53793  0.00302932
          27    -5.54926    -5.53835  0.00294603
          28    -5.56973    -5.53947  0.00304648
          29     -5.5422    -5.53957  0.00294289
          30    -5.52037    -5.53893  0.00291353
          31    -5.54701    -5.53919  0.00283119
          32    -5.53038    -5.53891  0.00275604
          33    -5.51156    -5.53808  0.00279438
          34    -5.53637    -5.53803  0.00271265
          35    -5.52516    -5.53766  0.00265996
          36     -5.5524    -5.53807  0.00261739
          37    -5.53313    -5.53794  0.00255006
          38    -5.56218    -5.53858  0.00256151
          39    -5.55482    -5.53899  0.00252946
          40    -5.53608    -5.53892  0.00246727
          41    -5.53246    -5.53876  0.00241212
          42    -5.56473    -5.53938  0.00243261
          43    -5.52471    -5.53904  0.00239986
          44    -5.55008    -5.53929  0.00235839
          45    -5.56099    -5.53977  0.00235477
          46    -5.53455    -5.53966  0.00230632
          47     -5.5393    -5.53965  0.00225726
          48    -5.53325    -5.53952  0.00221418
          49    -5.53213    -5.53937  0.00217412
          50    -5.53627    -5.53931  0.00213152
