#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.572068    0.572068           0
           2    0.549542    0.560805  0.00796436
           3    0.557885    0.559832   0.0053687
           4    0.572216    0.562928  0.00483758
           5    0.581716    0.566685  0.00512576
           6    0.554582    0.564668   0.0046515
           7    0.561833    0.564263   0.0040046
           8    0.565086    0.564366  0.00350534
           9     0.55855     0.56372  0.00317486
          10     0.54896    0.562244  0.00318202
          11    0.552666    0.561373   0.0030095
          12    0.556432    0.560961  0.00278674
          13    0.541151    0.559438  0.00295984
          14    0.561841    0.559609   0.0027534
          15    0.555534    0.559337  0.00258321
          16    0.543531     0.55835  0.00260381
          17    0.567444    0.558885    0.002505
          18     0.56312     0.55912  0.00237685
          19    0.551508    0.558719  0.00228526
          20    0.544154    0.557991  0.00228409
          21    0.564551    0.558303  0.00219658
          22    0.547765    0.557824  0.00214834
          23    0.558466    0.557852  0.00205511
          24    0.547754    0.557431  0.00201209
          25    0.565862    0.557769  0.00195967
          26    0.563263     0.55798  0.00189565
          27    0.563786    0.558195   0.0018376
          28    0.577912    0.558899  0.00190212
          29    0.560773    0.558964  0.00183762
          30    0.547347    0.558577  0.00181671
          31    0.563627     0.55874  0.00176539
          32    0.554172    0.558597  0.00171599
          33    0.542064    0.558096  0.00173558
          34    0.558742    0.558115  0.00168464
          35    0.550904    0.557909  0.00164905
          36    0.567202    0.558167  0.00162333
          37    0.554251    0.558061   0.0015829
          38    0.573318    0.558463  0.00159135
          39    0.567184    0.558686  0.00156618
          40    0.555897    0.558617  0.00152858
          41    0.553793    0.558499  0.00149581
          42    0.576227    0.558921  0.00151859
          43    0.550103    0.558716  0.00149705
          44    0.564658    0.558851  0.00146911
          45    0.571634    0.559135  0.00146367
          46    0.554472    0.559034  0.00143536
          47    0.558589    0.559024  0.00140485
          48    0.553891    0.558917  0.00137964
          49    0.552919    0.558795  0.00135691
          50    0.556776    0.558755  0.00133037
