#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70352    -4.70352           0
           2    -4.69842    -4.70097  0.00180389
           3    -4.70051    -4.70082    0.001209
           4    -4.70195     -4.7011  0.00093944
           5    -4.70334    -4.70155 0.000851158
           6    -4.70171    -4.70158 0.000709724
           7    -4.70288    -4.70176 0.000632316
           8    -4.70125     -4.7017 0.000556523
           9    -4.70301    -4.70184 0.000513384
          10    -4.70249    -4.70191 0.000466043
          11    -4.69846    -4.70159 0.000518371
          12    -4.70034    -4.70149 0.000485607
          13    -4.70056    -4.70142 0.000453545
          14    -4.70166    -4.70144 0.000421468
          15    -4.70013    -4.70135  0.00040222
          16    -4.70145    -4.70135 0.000377131
          17    -4.70112    -4.70134 0.000355203
          18    -4.69883     -4.7012 0.000361878
          19    -4.69855    -4.70106 0.000368838
          20    -4.70033    -4.70103 0.000352196
          21    -4.70216    -4.70108  0.00033957
          22    -4.69848    -4.70096 0.000344076
          23    -4.70034    -4.70093 0.000330175
          24    -4.69914    -4.70086  0.00032475
          25    -4.70257    -4.70093 0.000318884
          26    -4.70178    -4.70096  0.00030831
          27    -4.70358    -4.70106 0.000311777
          28    -4.70286    -4.70112 0.000307201
          29    -4.70104    -4.70112 0.000296621
          30    -4.69935    -4.70106 0.000292557
          31    -4.70157    -4.70108 0.000283575
          32    -4.69912    -4.70102 0.000281195
          33    -4.69846    -4.70094 0.000283119
          34    -4.69826    -4.70086 0.000285538
          35     -4.6988     -4.7008 0.000283366
          36     -4.7016    -4.70082 0.000276363
          37    -4.70176    -4.70085 0.000270042
          38     -4.7022    -4.70088 0.000265284
          39    -4.70404    -4.70096 0.000270582
          40    -4.70224      -4.701 0.000265681
          41    -4.70177    -4.70102 0.000259875
          42    -4.70039      -4.701 0.000254119
          43    -4.69955    -4.70097 0.000250433
          44    -4.70309    -4.70102 0.000249349
          45    -4.70354    -4.70107 0.000250052
          46    -4.70284    -4.70111 0.000247547
          47    -4.70141    -4.70112 0.000242365
          48    -4.70241    -4.70114 0.000238808
          49    -4.70275    -4.70118 0.000236177
          50    -4.70111    -4.70117 0.000231457
