#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.04684     2.04684           0
           2     2.21571     2.13127   0.0597064
           3     2.11907      2.1272   0.0399427
           4      2.0468      2.1071   0.0346474
           5     1.99176     2.08404   0.0345546
           6     1.95259     2.06213   0.0350588
           7     1.89997     2.03896   0.0369191
           8     1.83001     2.01284   0.0405028
           9     1.75301     1.98397   0.0451338
          10     1.71668     1.95724   0.0478855
          11     1.69094     1.93303   0.0492736
          12     1.66709     1.91087   0.0499033
          13     1.62558     1.88893   0.0506606
          14      1.5765     1.86661   0.0517241
          15     1.55502     1.84584    0.052281
          16     1.52223     1.82561   0.0527808
          17      1.5154     1.80736   0.0527363
          18     1.53377     1.79217   0.0519508
          19     1.52742     1.77823    0.051051
          20     1.49578     1.76411    0.050414
          21     1.45897     1.74958   0.0500636
          22     1.45196     1.73605    0.049582
          23     1.45296     1.72374   0.0489301
          24      1.4575     1.71265   0.0481325
          25     1.44274     1.70185   0.0474026
          26      1.4262     1.69125     0.04675
          27     1.38712     1.67999   0.0463556
          28     1.39584     1.66984   0.0457974
          29     1.40224     1.66061   0.0451382
          30     1.41164     1.65231   0.0443899
          31     1.39114     1.64389   0.0437502
          32     1.38453     1.63578   0.0431272
          33     1.39222      1.6284   0.0424471
          34     1.38887     1.62136   0.0417792
          35     1.38842      1.6147   0.0411122
          36      1.3914      1.6085   0.0404354
          37     1.38966     1.60258   0.0397728
          38     1.40274     1.59732   0.0390723
          39     1.39612     1.59217   0.0384095
          40     1.39136     1.58715   0.0377759
          41     1.38158     1.58213   0.0371858
          42     1.40324     1.57787   0.0365435
          43     1.41373     1.57405   0.0358925
          44     1.40955     1.57032   0.0352709
          45     1.39606     1.56644   0.0346991
          46     1.37287     1.56224   0.0341989
          47     1.37084     1.55816   0.0337129
          48     1.38403     1.55454   0.0332052
          49     1.38675     1.55111   0.0327036
          50     1.36705     1.54743    0.032256
          51     1.35602     1.54368   0.0318411
          52     1.36539     1.54025   0.0314129
          53     1.37051     1.53705    0.030983
          54     1.36947     1.53394   0.0305642
          55      1.3334      1.5303   0.0302252
          56     1.32663     1.52666   0.0299035
          57     1.34418     1.52346   0.0295497
          58      1.3465     1.52041   0.0291973
          59     1.34757     1.51748   0.0288491
          60     1.33517     1.51444   0.0285278
          61     1.30923     1.51108   0.0282578
          62     1.29408     1.50758   0.0280179
          63      1.3105     1.50445   0.0277473
          64     1.32433     1.50163   0.0274561
          65      1.3207     1.49885   0.0271744
          66     1.31828     1.49611   0.0269001
          67     1.31928     1.49347   0.0266277
          68     1.32939     1.49106   0.0263453
          69     1.34491     1.48894   0.0260484
          70     1.35339     1.48701   0.0257482
          71     1.33045      1.4848   0.0254798
          72     1.32891     1.48264   0.0252177
          73     1.31414     1.48033   0.0249777
          74     1.30878     1.47801   0.0247475
          75     1.29156     1.47552   0.0245421
          76     1.29918      1.4732   0.0243286
          77     1.30263     1.47099   0.0241133
          78     1.33292     1.46922    0.023869
          79     1.35592     1.46778   0.0236099
          80     1.34292     1.46622   0.0233663
          81     1.31043      1.4643   0.0231569
          82      1.3038     1.46234   0.0229571
          83     1.29287      1.4603   0.0227711
          84      1.2972     1.45836   0.0225826
          85     1.30063      1.4565   0.0223931
          86     1.31858      1.4549     0.02219
          87     1.31938     1.45334   0.0219896
          88     1.30231     1.45163   0.0218066
          89     1.30684        1.45   0.0216222
          90     1.31361     1.44848    0.021435
          91     1.31342       1.447   0.0212507
          92       1.318      1.4456    0.021066
          93     1.32129     1.44426   0.0208818
          94      1.3197     1.44294   0.0207017
          95     1.29406     1.44137    0.020543
          96     1.29217     1.43981   0.0203877
          97     1.27664     1.43813   0.0202468
          98     1.27596     1.43648   0.0201077
          99      1.2755     1.43485   0.0199702
         100     1.27435     1.43325   0.0198349
         101     1.25711      1.4315   0.0197151
         102     1.26921     1.42991   0.0195859
         103     1.27095     1.42837   0.0194564
         104     1.28695     1.42701   0.0193168
         105     1.28436     1.42565   0.0191806
         106     1.28642     1.42434   0.0190445
         107     1.28235     1.42301   0.0189127
         108      1.2952     1.42183   0.0187746
         109     1.32572     1.42094    0.018623
         110     1.33064     1.42012   0.0184718
         111     1.32113     1.41923   0.0183269
         112     1.29658     1.41814    0.018196
         113     1.30751     1.41716   0.0180613
         114      1.3212     1.41632   0.0179224
         115        1.31     1.41539   0.0177904
         116     1.29285     1.41433   0.0176684
         117     1.27124     1.41311   0.0175597
         118     1.26676     1.41187   0.0174546
         119     1.28652     1.41082   0.0173397
         120      1.2863     1.40978   0.0172262
         121     1.29785     1.40886   0.0171086
         122     1.31115     1.40805   0.0169871
         123      1.3193     1.40733   0.0168643
         124     1.32087     1.40664   0.0167428
         125     1.29672     1.40576   0.0166319
         126     1.28044     1.40476   0.0165296
         127     1.27811     1.40376   0.0164295
         128     1.28577     1.40284    0.016327
         129     1.29779     1.40203   0.0162207
         130     1.31219     1.40134   0.0161107
         131     1.33638     1.40084   0.0159953
         132     1.33251     1.40032   0.0158825
         133     1.33185     1.39981   0.0157714
         134     1.33498     1.39932   0.0156611
         135     1.34996     1.39896   0.0155494
         136     1.33758     1.39851   0.0154416
         137     1.31449     1.39789   0.0153411
         138     1.29636     1.39716   0.0152475
         139     1.30716     1.39651   0.0151516
         140     1.30654     1.39587    0.015057
         141     1.31802     1.39532   0.0149603
         142     1.31932     1.39478   0.0148645
         143     1.29976     1.39412   0.0147754
         144     1.29848     1.39345   0.0146877
         145     1.29831      1.3928   0.0146011
         146     1.27711       1.392   0.0145226
         147     1.29166     1.39132   0.0144398
         148     1.29623     1.39068   0.0143565
         149     1.29965     1.39007   0.0142732
         150     1.31641     1.38958   0.0141865
         151     1.31778      1.3891   0.0141005
         152     1.34071     1.38878   0.0140113
         153     1.31787     1.38832   0.0139274
         154     1.29131     1.38769   0.0138512
         155     1.29867     1.38712   0.0137737
         156     1.29561     1.38653   0.0136979
         157      1.2905     1.38592   0.0136243
         158     1.28601     1.38529   0.0135528
         159     1.30649     1.38479   0.0134766
         160     1.31067     1.38433   0.0134003
         161     1.29419     1.38377   0.0133288
         162     1.27582      1.3831   0.0132631
         163     1.28389     1.38249   0.0131957
         164     1.27158     1.38182   0.0131326
         165     1.27161     1.38115     0.01307
         166     1.28532     1.38057    0.013004
         167     1.29085     1.38003   0.0129372
         168         1.3     1.37956    0.012869
         169     1.29939     1.37908   0.0128016
         170     1.29396     1.37858    0.012736
         171     1.30259     1.37814   0.0126693
         172     1.32796     1.37785    0.012599
         173     1.33542      1.3776   0.0125286
         174     1.34094     1.37739   0.0124583
         175     1.33515     1.37715   0.0123895
         176       1.324     1.37685   0.0123228
         177     1.32302     1.37654   0.0122569
         178     1.33838     1.37633   0.0121899
         179     1.32989     1.37607   0.0121246
         180     1.32244     1.37577   0.0120609
         181     1.29918     1.37535   0.0120017
         182     1.30597     1.37497   0.0119418
         183     1.31454     1.37464   0.0118811
         184     1.33389     1.37441   0.0118186
         185     1.34486     1.37425   0.0117558
         186     1.35088     1.37413   0.0116932
         187      1.3519     1.37401   0.0116313
         188     1.35052     1.37388   0.0115701
         189      1.3295     1.37365   0.0115113
         190     1.32608      1.3734   0.0114534
         191     1.34016     1.37323   0.0113948
         192     1.35905     1.37315   0.0113357
         193     1.33565     1.37296   0.0112786
         194     1.32118     1.37269   0.0112236
         195      1.3112     1.37238   0.0111705
         196     1.29933       1.372   0.0111197
         197     1.28251     1.37155   0.0110725
         198     1.27969     1.37108   0.0110263
         199     1.28613     1.37066   0.0109792
         200     1.30265     1.37032   0.0109296
         201     1.31309     1.37003   0.0108789
         202     1.31344     1.36975   0.0108286
         203     1.29711     1.36939   0.0107812
         204      1.2845     1.36898   0.0107364
         205     1.28953     1.36859    0.010691
         206     1.28539     1.36819   0.0106467
         207     1.29986     1.36786   0.0106004
         208     1.30859     1.36757   0.0105533
         209     1.29521     1.36723   0.0105085
         210     1.30082     1.36691   0.0104632
         211     1.31114     1.36665   0.0104169
         212     1.31799     1.36642   0.0103703
         213     1.32838     1.36624   0.0103232
         214     1.32104     1.36603   0.0102771
         215     1.33527     1.36588   0.0102303
         216       1.351     1.36581   0.0101832
         217      1.3731     1.36585   0.0101363
         218     1.38325     1.36593   0.0100901
         219     1.37704     1.36598   0.0100442
         220      1.3914     1.36609  0.00999917
         221     1.38136     1.36616  0.00995416
         222     1.36024     1.36614  0.00990936
         223     1.35326     1.36608  0.00986509
         224     1.36705     1.36608  0.00982105
         225     1.37326     1.36611  0.00977746
         226     1.36048     1.36609  0.00973422
         227      1.3579     1.36605  0.00969141
         228     1.37989     1.36611  0.00964909
         229     1.37255     1.36614    0.009607
         230     1.34761     1.36606  0.00956557
         231     1.34992     1.36599  0.00952441
         232     1.34166     1.36589  0.00948394
         233     1.34441     1.36579  0.00944368
         234       1.326     1.36562  0.00940485
         235     1.31892     1.36543  0.00936693
         236     1.31572     1.36522  0.00932961
         237     1.31687     1.36501  0.00929248
         238      1.3415     1.36491  0.00925396
         239     1.35068     1.36485  0.00921543
         240     1.35404     1.36481  0.00917714
         241     1.36954     1.36483  0.00913908
         242     1.37318     1.36486  0.00910138
         243     1.36469     1.36486  0.00906393
         244     1.34359     1.36477   0.0090272
         245     1.32303      1.3646  0.00899196
         246     1.33309     1.36448  0.00895632
         247     1.33976     1.36438  0.00892062
         248     1.35753     1.36435  0.00888469
         249       1.367     1.36436  0.00884902
         250     1.36933     1.36438  0.00881365
