#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.07026     3.07026           0
           2     3.32357     3.19691   0.0895596
           3      3.1786     3.19081   0.0599141
           4     3.07021     3.16066   0.0519711
           5     2.98764     3.12605   0.0518319
           6     2.92889     3.09319   0.0525882
           7     2.84995     3.05844   0.0553786
           8     2.74502     3.01927   0.0607541
           9     2.62952     2.97596   0.0677007
          10     2.57502     2.93587   0.0718283
          11     2.53641     2.89955   0.0739105
          12     2.50063     2.86631    0.074855
          13     2.43838     2.83339   0.0759909
          14     2.36475     2.79992   0.0775862
          15     2.33253     2.76876   0.0784215
          16     2.28335     2.73842   0.0791712
          17      2.2731     2.71105   0.0791044
          18     2.30065     2.68825   0.0779261
          19     2.29113     2.66735   0.0765765
          20     2.24367     2.64616    0.075621
          21     2.18845     2.62437   0.0750954
          22     2.17795     2.60408    0.074373
          23     2.17944     2.58561   0.0733952
          24     2.18625     2.56897   0.0721988
          25     2.16411     2.55278   0.0711038
