#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.47905    -1.47905           0
           2    -1.73437    -1.60671   0.0902666
           3    -1.58601    -1.59981   0.0604408
           4    -1.47854    -1.56949   0.0523858
           5    -1.39482    -1.53456   0.0522748
           6    -1.33537    -1.50136   0.0530671
           7    -1.25538    -1.46622   0.0559228
           8    -1.15027    -1.42673   0.0613122
           9    -1.03421    -1.38311    0.068271
          10   -0.979512    -1.34275   0.0723975
          11   -0.940961    -1.30623   0.0744624
          12   -0.904374    -1.27274   0.0754123
          13    -0.84234    -1.23963   0.0765346
          14   -0.768388    -1.20597   0.0781199
          15   -0.735906    -1.17463   0.0789476
          16   -0.686894    -1.14415   0.0796816
          17   -0.676669    -1.11665   0.0795982
          18   -0.704371    -1.09375   0.0784023
          19   -0.694449    -1.07273    0.077041
          20   -0.646513    -1.05142   0.0760794
          21   -0.591529    -1.02952   0.0755427
          22   -0.581194    -1.00914   0.0748072
          23    -0.58243   -0.990589   0.0738194
          24   -0.589504   -0.973878   0.0726107
          25   -0.566814   -0.957595   0.0715086
