#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.5912      1.5912           0
           2      1.5892      1.5902 0.000706971
           3     1.59258       1.591 0.000801387
           4     1.59167     1.59116 0.000618388
           5     1.59282      1.5915 0.000576509
           6     1.59352     1.59183 0.000570695
           7     1.59457     1.59222 0.000608415
           8     1.59475     1.59254 0.000608819
           9      1.5953     1.59285  0.00061375
          10     1.59551     1.59311 0.000607431
          11     1.59544     1.59332 0.000588033
          12     1.59626     1.59357   0.0005876
          13     1.59604     1.59376 0.000572237
          14     1.59636     1.59394  0.00056078
          15     1.59662     1.59412 0.000551036
          16     1.59645     1.59427 0.000535523
          17     1.59643      1.5944 0.000518832
          18     1.59628      1.5945 0.000500503
          19     1.59668     1.59462 0.000487085
          20     1.59716     1.59474 0.000479086
          21     1.59692     1.59485  0.00046736
          22     1.59675     1.59493 0.000454081
          23     1.59701     1.59502 0.000443212
          24     1.59674     1.59509 0.000430503
          25      1.5973     1.59518 0.000422225
