#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.054       2.054           0
           2      2.0505     2.05225  0.00123797
           3      2.0363     2.04693   0.0044204
           4     2.00964     2.03761  0.00872905
           5     1.99963     2.03001  0.00974222
           6     1.98454     2.02243   0.0106666
           7     2.01538     2.02143  0.00919029
           8     2.04703     2.02463  0.00858059
           9     2.05978     2.02853  0.00846949
          10      2.0543     2.03111  0.00800503
          11     2.03106     2.03111   0.0072773
          12     2.02603     2.03068  0.00668316
          13     2.01225     2.02926  0.00631765
          14      1.9753     2.02541  0.00694351
          15     1.97358     2.02195  0.00728991
          16     1.97838     2.01923  0.00732533
          17       1.989     2.01745  0.00710701
          18     2.01662     2.01741  0.00671233
          19     2.01248     2.01715  0.00636405
          20     2.02488     2.01753  0.00605756
          21     2.02142     2.01772  0.00577193
          22     2.05883     2.01959  0.00580422
          23     2.06983     2.02177  0.00594878
          24     2.03685      2.0224  0.00573399
          25     2.04072     2.02313  0.00555125
          26      2.0599     2.02455  0.00551487
          27     2.05057     2.02551  0.00539418
          28     2.02989     2.02567   0.0052038
          29     2.04036     2.02617  0.00504897
          30     2.07204      2.0277  0.00510686
          31      2.0871     2.02962  0.00528941
          32     2.06556     2.03074  0.00524202
          33     2.07487     2.03208  0.00525095
          34     2.05966     2.03289  0.00515877
          35      2.0265     2.03271  0.00501461
          36     2.00291     2.03188  0.00494316
          37     1.98156     2.03052  0.00499313
          38     1.99258     2.02952  0.00496057
          39     1.97699     2.02817  0.00501292
          40     1.96671     2.02664  0.00511766
          41     1.95123      2.0248  0.00531309
          42     1.94282     2.02285  0.00553352
          43     1.96288     2.02145  0.00557779
          44     1.94978     2.01982   0.0056839
          45     1.92809     2.01779  0.00591188
          46      1.9343     2.01597  0.00605556
          47     1.92675     2.01407  0.00621712
          48     1.94568     2.01265  0.00624872
          49      1.9702     2.01178  0.00618095
          50     1.96964     2.01094  0.00611451
          51     1.95393     2.00982  0.00609593
          52     1.92911     2.00827  0.00617315
          53     1.91938     2.00659  0.00628038
          54      1.9234     2.00505   0.0063502
          55     1.94866     2.00403  0.00631696
          56     1.96653     2.00336  0.00623955
          57     1.98113     2.00297  0.00614225
          58     2.00141     2.00294  0.00603641
          59     2.03415     2.00347  0.00595723
          60       2.004     2.00348  0.00585794
          61     1.99246      2.0033  0.00576469
          62     1.99952     2.00324  0.00567204
          63     2.02619      2.0036   0.0055937
          64     2.01666      2.0038  0.00551001
          65     2.00463     2.00382  0.00542526
          66     2.00111     2.00378  0.00534321
          67     1.97867      2.0034  0.00527658
          68      1.9707     2.00292  0.00522086
          69     1.96899     2.00243  0.00516829
          70      1.9803     2.00211  0.00510412
          71     1.98776     2.00191  0.00503623
          72     2.00459     2.00195  0.00496642
          73      1.9769      2.0016  0.00491022
          74     1.95327     2.00095  0.00488711
          75     1.95699     2.00036  0.00485698
          76      1.9517     1.99972  0.00483509
          77     1.97484      1.9994  0.00478308
          78      1.9834      1.9992  0.00472616
          79      1.9669     1.99879  0.00468398
          80     1.96286     1.99834  0.00464691
          81      1.9932     1.99828  0.00458998
          82     2.00302     1.99833  0.00453436
          83     1.97641     1.99807  0.00448742
          84     1.96232     1.99764  0.00445413
          85     1.97763     1.99741  0.00440795
          86     1.97721     1.99717  0.00436295
          87     1.98604     1.99704  0.00431468
          88     2.02245     1.99733  0.00427529
          89     2.03013      1.9977  0.00424311
          90     2.00097     1.99774  0.00419612
          91     1.99196     1.99767  0.00415049
          92      2.0298     1.99802  0.00412004
          93      2.0253     1.99832  0.00408616
          94     2.01967     1.99854    0.004049
          95     2.02561     1.99883   0.0040164
          96     2.01084     1.99895  0.00397651
          97     2.03055     1.99928  0.00394883
          98     2.04201     1.99972  0.00393254
          99     2.05872     2.00031  0.00393772
         100     2.05597     2.00087  0.00393748
         101     2.06609     2.00151  0.00395109
         102     2.03155     2.00181  0.00392331
         103     2.01618     2.00195   0.0038877
         104     1.99387     2.00187   0.0038511
         105     1.96961     2.00156  0.00382666
         106     1.96695     2.00124  0.00380446
         107     1.97339     2.00098  0.00377779
         108     2.00098     2.00098  0.00374281
         109     1.99526     2.00092  0.00370884
         110     1.96279     2.00058  0.00369129
         111     1.96346     2.00024  0.00367315
         112     1.96946     1.99997  0.00365062
         113      2.0005     1.99997  0.00361832
         114     2.02917     2.00023  0.00359563
         115     2.02144     2.00041   0.0035691
         116     2.00333     2.00044  0.00353842
         117     1.97403     2.00021  0.00351537
         118      1.9904     2.00013  0.00348656
         119     2.00651     2.00018  0.00345767
         120     2.02405     2.00038  0.00343457
         121      2.0493     2.00079   0.0034299
         122     2.05827     2.00126    0.003434
         123     2.08684     2.00195  0.00347586
         124     2.07991     2.00258  0.00350422
         125     2.10304     2.00339  0.00356715
         126     2.13025     2.00439  0.00367819
         127     2.12878     2.00537  0.00377737
         128     2.11211     2.00621  0.00383879
         129     2.09019     2.00686  0.00386385
         130      2.0753     2.00738  0.00386984
         131     2.03745     2.00761   0.0038471
         132     2.01091     2.00764  0.00381803
         133     1.98898      2.0075   0.0037919
         134     1.95414      2.0071  0.00378445
         135     1.97872     2.00689  0.00376225
         136     1.99355     2.00679  0.00373587
         137      1.9958     2.00671  0.00370946
         138      1.9856     2.00656  0.00368573
         139     2.00896     2.00658  0.00365926
         140        1.98     2.00639  0.00363804
         141     1.99308     2.00629  0.00361346
         142     2.02057     2.00639  0.00358942
         143     2.00572     2.00639  0.00356432
         144     1.98311     2.00623  0.00354323
         145     1.99078     2.00612   0.0035204
         146     1.96803     2.00586  0.00350594
         147     1.98369     2.00571  0.00348533
         148      1.9976     2.00565  0.00346221
         149     2.01024     2.00568  0.00343911
         150     2.00759      2.0057  0.00341621
         151     2.00393     2.00568  0.00339361
         152     2.00122     2.00566  0.00337141
         153     2.03821     2.00587  0.00335608
         154     2.03134     2.00603  0.00333836
         155     1.99612     2.00597  0.00331743
         156     1.98685     2.00585  0.00329843
         157     1.99111     2.00575  0.00327876
         158     2.06642     2.00614  0.00328041
         159     2.10025     2.00673  0.00331275
         160     2.10084     2.00732  0.00334386
         161     2.09318     2.00785  0.00336535
         162     2.07175     2.00824  0.00336761
         163     2.06674      2.0086  0.00336602
         164     2.05016     2.00886  0.00335501
         165     2.04473     2.00907  0.00334172
         166     2.06148     2.00939  0.00333647
         167     2.04426      2.0096  0.00332301
         168     2.01709     2.00964  0.00330353
         169     2.00773     2.00963  0.00328401
         170     2.02304     2.00971  0.00326563
         171     2.02536      2.0098  0.00324782
         172     2.00233     2.00976  0.00322923
         173     1.99707     2.00969  0.00321139
         174     1.97608     2.00949  0.00319874
         175     1.96828     2.00926  0.00318912
         176      1.9792     2.00909  0.00317557
         177     1.96046     2.00881  0.00316949
         178     1.96706     2.00858  0.00316035
         179     1.93476     2.00816  0.00316949
         180     1.96134      2.0079  0.00316254
         181     1.97677     2.00773  0.00314974
         182      1.9753     2.00755  0.00313747
         183     1.98522     2.00743   0.0031227
         184     1.95863     2.00717  0.00311698
         185     1.94934     2.00685  0.00311576
         186     1.96381     2.00662  0.00310759
         187     1.97503     2.00645  0.00309556
         188     1.98167     2.00632   0.0030819
         189     1.97761     2.00617  0.00306934
         190     1.99156     2.00609  0.00305415
         191     2.00816      2.0061  0.00303817
         192     2.00737     2.00611  0.00302236
         193     2.00066     2.00608  0.00300683
         194     1.99761     2.00604  0.00299165
