#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.36933     1.36933           0
           2       1.367     1.36817 0.000825313
           3     1.35753     1.36462  0.00294693
           4     1.33976     1.35841  0.00581937
           5     1.33309     1.35334  0.00649481
           6     1.32303     1.34829  0.00711109
           7     1.34359     1.34762  0.00612686
           8     1.36469     1.34975  0.00572039
           9     1.37318     1.35236  0.00564633
          10     1.36954     1.35407  0.00533669
          11     1.35404     1.35407  0.00485153
          12     1.35068     1.35379  0.00445544
          13      1.3415     1.35284  0.00421177
          14     1.31687     1.35027  0.00462901
          15     1.31572     1.34797  0.00485994
          16     1.31892     1.34615  0.00488355
          17       1.326     1.34497  0.00473801
          18     1.34441     1.34494  0.00447489
          19     1.34166     1.34477   0.0042427
          20     1.34992     1.34502  0.00403838
          21     1.34761     1.34515  0.00384795
          22     1.37255     1.34639  0.00386948
          23     1.37989     1.34785  0.00396585
          24      1.3579     1.34827  0.00382266
          25     1.36048     1.34876  0.00370083
          26     1.37326      1.3497  0.00367658
          27     1.36705     1.35034  0.00359612
          28     1.35326     1.35044   0.0034692
          29     1.36024     1.35078  0.00336598
          30     1.38136      1.3518  0.00340457
          31      1.3914     1.35308  0.00352627
          32     1.37704     1.35383  0.00349468
          33     1.38325     1.35472  0.00350063
          34      1.3731     1.35526  0.00343918
          35       1.351     1.35514  0.00334307
          36     1.33527     1.35459  0.00329544
          37     1.32104     1.35368  0.00332876
          38     1.32839     1.35301  0.00330704
          39     1.31799     1.35212  0.00334194
          40     1.31114     1.35109  0.00341177
          41     1.30082     1.34987  0.00354206
          42     1.29521     1.34856  0.00368901
          43     1.30859     1.34764  0.00371852
          44     1.29985     1.34655  0.00378927
          45     1.28539     1.34519  0.00394125
          46     1.28953     1.34398  0.00403704
          47      1.2845     1.34271  0.00414474
          48     1.29712     1.34176  0.00416581
          49     1.31347     1.34119  0.00412063
          50      1.3131     1.34063  0.00407634
          51     1.30262     1.33988  0.00406395
          52     1.28607     1.33885  0.00411543
          53     1.27959     1.33773  0.00418692
          54     1.28227      1.3367  0.00423347
          55     1.29911     1.33602  0.00421131
          56     1.31102     1.33557   0.0041597
          57     1.32075     1.33531  0.00409483
          58     1.33427     1.33529  0.00402427
          59      1.3561     1.33565  0.00397148
          60       1.336     1.33565   0.0039053
          61     1.32831     1.33553  0.00384313
          62     1.33302     1.33549  0.00378136
          63     1.35079     1.33573  0.00372913
          64     1.34444     1.33587  0.00367334
          65     1.33642     1.33588  0.00361684
          66     1.33408     1.33585  0.00356214
          67     1.31912      1.3356  0.00351772
          68      1.3138     1.33528  0.00348057
          69     1.31266     1.33495  0.00344553
          70      1.3202     1.33474  0.00340275
          71     1.32517     1.33461  0.00335749
          72     1.33639     1.33463  0.00331095
          73     1.31794      1.3344  0.00327348
          74     1.30218     1.33397  0.00325808
          75     1.30466     1.33358  0.00323798
          76     1.30114     1.33315  0.00322339
          77     1.31656     1.33293  0.00318872
          78     1.32227      1.3328  0.00315077
          79     1.31127     1.33253  0.00312265
          80     1.30857     1.33223  0.00309794
          81      1.3288     1.33218  0.00305998
          82     1.33535     1.33222  0.00302291
          83     1.31761     1.33205  0.00299161
          84     1.30821     1.33176  0.00296942
          85     1.31842     1.33161  0.00293864
          86     1.31814     1.33145  0.00290863
          87     1.32402     1.33136  0.00287645
          88      1.3483     1.33156   0.0028502
          89     1.35342      1.3318  0.00282874
          90     1.33398     1.33183  0.00279741
          91     1.32797     1.33178  0.00276699
          92      1.3532     1.33202  0.00274669
          93      1.3502     1.33221  0.00272411
          94     1.34645     1.33236  0.00269934
          95     1.35041     1.33255   0.0026776
          96     1.34056     1.33264  0.00265101
          97      1.3537     1.33285  0.00263255
          98     1.36134     1.33314  0.00262169
          99     1.37248     1.33354  0.00262515
         100     1.37065     1.33391  0.00262498
         101      1.3774     1.33434  0.00263406
         102     1.35436     1.33454  0.00261554
         103     1.34412     1.33463   0.0025918
         104     1.32925     1.33458   0.0025674
         105     1.31308     1.33438   0.0025511
         106      1.3113     1.33416  0.00253631
         107      1.3156     1.33398  0.00251853
         108     1.33399     1.33398  0.00249521
         109     1.33017     1.33395  0.00247256
         110     1.30853     1.33372  0.00246086
         111     1.30897      1.3335  0.00244877
         112     1.31298     1.33331  0.00243375
         113     1.33367     1.33332  0.00241221
         114     1.35278     1.33349  0.00239709
         115     1.34763     1.33361   0.0023794
         116     1.33556     1.33363  0.00235894
         117     1.31602     1.33348  0.00234358
         118     1.32693     1.33342  0.00232437
         119     1.33767     1.33346  0.00230512
         120     1.34936     1.33359  0.00228972
         121      1.3662     1.33386   0.0022866
         122     1.37218     1.33417  0.00228933
         123     1.39123     1.33464  0.00231724
         124     1.38661     1.33506  0.00233615
         125     1.40202     1.33559   0.0023781
         126     1.42016     1.33626  0.00245212
         127     1.41919     1.33692  0.00251825
         128     1.40807     1.33747   0.0025592
         129     1.39346     1.33791   0.0025759
         130     1.38354     1.33826  0.00257989
         131      1.3583     1.33841  0.00256473
         132     1.34061     1.33843  0.00254535
         133     1.32599     1.33833  0.00252793
         134     1.30276     1.33807  0.00252297
         135     1.31915     1.33793  0.00250817
         136     1.32903     1.33786  0.00249058
         137     1.33053     1.33781  0.00247297
         138     1.32373     1.33771  0.00245716
         139     1.33931     1.33772  0.00243951
         140        1.32     1.33759  0.00242536
         141     1.32872     1.33753  0.00240898
         142     1.34705     1.33759  0.00239294
         143     1.33715     1.33759  0.00237621
         144     1.32207     1.33748  0.00236215
         145     1.32718     1.33741  0.00234693
         146     1.31202     1.33724  0.00233729
         147     1.32246     1.33714  0.00232355
         148     1.33174      1.3371  0.00230814
         149     1.34016     1.33712  0.00229274
         150     1.33839     1.33713  0.00227747
         151     1.33595     1.33712   0.0022624
         152     1.33415      1.3371   0.0022476
         153     1.35881     1.33725  0.00223738
         154     1.35423     1.33736  0.00222557
         155     1.33075     1.33731  0.00221162
         156     1.32457     1.33723  0.00219895
         157     1.32741     1.33717  0.00218584
         158     1.37762     1.33742  0.00218694
         159     1.40017     1.33782   0.0022085
         160     1.40056     1.33821  0.00222924
         161     1.39545     1.33857  0.00224356
         162     1.38117     1.33883  0.00224507
         163     1.37783     1.33907  0.00224401
         164     1.36677     1.33924  0.00223668
         165     1.36315     1.33938  0.00222781
         166     1.37432     1.33959  0.00222431
         167     1.36284     1.33973  0.00221534
         168     1.34473     1.33976  0.00220236
         169     1.33849     1.33975  0.00218934
         170     1.34869     1.33981  0.00217709
         171     1.35024     1.33987  0.00216521
         172     1.33489     1.33984  0.00215282
         173     1.33138     1.33979  0.00214093
         174     1.31739     1.33966  0.00213249
         175     1.31219      1.3395  0.00212608
         176     1.31946     1.33939  0.00211705
         177     1.30697     1.33921  0.00211299
         178     1.31137     1.33905   0.0021069
         179     1.28984     1.33878  0.00211299
         180     1.30756      1.3386  0.00210836
         181     1.31785     1.33849  0.00209983
         182     1.31686     1.33837  0.00209165
         183     1.32348     1.33829   0.0020818
         184     1.30575     1.33811  0.00207798
         185     1.29956      1.3379  0.00207717
         186     1.30921     1.33775  0.00207173
         187     1.31669     1.33764  0.00206371
         188     1.32111     1.33755   0.0020546
         189     1.31841     1.33745  0.00204622
         190     1.32771      1.3374   0.0020361
         191     1.33877      1.3374  0.00202545
         192     1.33824     1.33741  0.00201491
         193     1.33377     1.33739  0.00200455
         194     1.33174     1.33736  0.00199443
         195      1.3475     1.33741  0.00198488
         196     1.32789     1.33736  0.00197535
         197     1.31684     1.33726  0.00196807
         198     1.32759     1.33721  0.00195873
         199     1.34527     1.33725  0.00194931
         200     1.32637      1.3372  0.00194032
         201      1.3084     1.33705  0.00193595
         202     1.32772     1.33701  0.00192692
         203     1.35408     1.33709  0.00191926
         204     1.38358     1.33732  0.00192333
         205     1.40954     1.33767  0.00194595
         206     1.39126     1.33793  0.00195381
         207     1.37115     1.33809  0.00195095
         208     1.36932     1.33824  0.00194734
         209     1.37419     1.33841  0.00194561
         210     1.36845     1.33856   0.0019416
         211     1.34233     1.33857  0.00193248
         212     1.34233     1.33859  0.00192344
         213     1.35766     1.33868  0.00191649
         214     1.34641     1.33872  0.00190788
         215      1.3235     1.33865  0.00190032
         216     1.33228     1.33862  0.00189175
         217     1.33607     1.33861  0.00188307
         218     1.31158     1.33848  0.00187851
         219     1.30508     1.33833  0.00187611
         220     1.30491     1.33818  0.00187372
         221     1.31806     1.33809  0.00186745
         222     1.34626     1.33812  0.00185941
         223     1.35533      1.3382  0.00185267
         224     1.34008     1.33821  0.00184441
         225     1.35303     1.33827  0.00183739
         226      1.3717     1.33842  0.00183521
         227     1.37999     1.33861  0.00183623
         228     1.36872     1.33874  0.00183292
         229     1.37174     1.33888  0.00183058
         230     1.38173     1.33907  0.00183207
         231     1.36059     1.33916  0.00182651
         232     1.35576     1.33923  0.00182004
         233     1.36553     1.33935  0.00181572
         234     1.34589     1.33937  0.00180818
         235     1.33848     1.33937  0.00180048
         236     1.33083     1.33933  0.00179322
         237     1.32706     1.33928   0.0017864
         238     1.35452     1.33935  0.00178004
         239     1.34868     1.33938  0.00177302
         240     1.36535     1.33949  0.00176893
         241     1.37761     1.33965  0.00176865
         242     1.36853     1.33977  0.00176536
         243     1.34076     1.33977   0.0017581
         244      1.3262     1.33972  0.00175178
         245     1.32042     1.33964  0.00174639
         246     1.35091     1.33969   0.0017399
         247     1.38203     1.33986  0.00174128
         248     1.38871     1.34005  0.00174536
         249     1.38774     1.34025  0.00174882
         250     1.37034     1.34037  0.00174597
