#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.567637   -0.567637           0
           2   -0.589169   -0.578403  0.00761287
           3   -0.582602   -0.579803  0.00520234
           4   -0.580899   -0.580077  0.00390897
           5   -0.591786   -0.582419  0.00376386
           6   -0.647419   -0.593252   0.0103749
           7   -0.694584   -0.607728   0.0160842
           8   -0.703978   -0.619759   0.0180201
           9   -0.676674   -0.626083   0.0170916
          10   -0.687098   -0.632185   0.0164354
          11   -0.736645   -0.641681   0.0174707
          12   -0.768952   -0.652287   0.0189628
          13   -0.842623   -0.666928   0.0224559
          14   -0.905364   -0.683959   0.0265357
          15   -0.940895   -0.701088   0.0297864
          16    -0.98024   -0.718535   0.0326369
          17    -1.03519   -0.737162   0.0356382
          18    -1.15105   -0.760155   0.0404006
          19    -1.25692   -0.786301   0.0459624
          20    -1.33617   -0.813795   0.0512315
          21    -1.39569   -0.841504   0.0557844
          22    -1.47835   -0.870452   0.0602934
          23    -1.58855   -0.901673   0.0652568
          24    -1.73064   -0.936213   0.0710935
          25    -1.47945   -0.957943   0.0714935
