#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59648     1.59648           0
           2     1.59708     1.59678 0.000212335
           3     1.59684      1.5968 0.000142439
           4     1.59705     1.59686 0.000119765
           5     1.59666     1.59682 0.000102075
           6     1.59626     1.59673 0.000120949
           7     1.59654      1.5967 0.000106544
           8     1.59668      1.5967 9.32655e-05
           9     1.59642     1.59667 8.78211e-05
          10     1.59625     1.59662 8.83169e-05
          11     1.59588     1.59656 0.000102938
          12      1.5958     1.59649 0.000112085
          13     1.59575     1.59644 0.000117036
          14     1.59527     1.59635 0.000135311
          15     1.59551      1.5963 0.000137468
          16     1.59478      1.5962 0.000158153
          17     1.59433     1.59609 0.000183291
          18     1.59397     1.59597 0.000207485
          19     1.59303     1.59582 0.000247853
          20     1.59272     1.59566  0.00027981
          21     1.59195     1.59549 0.000317622
          22     1.59186     1.59532  0.00034335
          23     1.59005     1.59509 0.000397591
          24     1.59293       1.595 0.000391099
          25     1.59081     1.59484 0.000409897
