#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.12605     3.12605           0
           2     2.74568     2.93587    0.134482
           3     2.43454     2.76876    0.163264
           4     2.27838     2.64616    0.162066
           5     2.17924     2.55278    0.154229
           6     2.10691     2.47847    0.145328
           7     2.08356     2.42205    0.135074
           8     2.09138     2.38072    0.124353
           9     2.10125     2.34967    0.114347
          10     2.06446     2.32115     0.10641
          11     2.03844     2.29545   0.0997916
          12     2.01002     2.27166   0.0942677
          13     1.96765     2.24827   0.0898702
          14     1.99958     2.23051   0.0851885
          15     1.97215     2.21329   0.0812318
          16     1.99007     2.19934   0.0773435
          17     1.95148     2.18476   0.0741553
          18     1.96821     2.17273   0.0710047
          19     1.96994     2.16205    0.068065
          20     1.91838     2.14987   0.0657431
          21     1.91057     2.13847   0.0635924
          22      1.9561     2.13018   0.0612398
          23     1.96693     2.12309   0.0589871
          24      1.9211     2.11467   0.0571265
          25     1.96377     2.10863   0.0551594
          26     1.93629     2.10201   0.0534347
          27      2.0057     2.09844   0.0515745
          28     1.96864      2.0938   0.0499405
          29     1.96017      2.0892   0.0484305
          30     1.94432     2.08437   0.0470563
