# VELOCITY:     AVE_POFV:        ERROR:
       0.075           0           0
       0.225  0.00123457           0
       0.375   0.0278395           0
       0.525   0.0404321           0
       0.675   0.0606173           0
       0.825    0.101667           0
       0.975    0.111111           0
       1.125    0.143395           0
       1.275    0.214691           0
       1.425    0.220741           0
       1.575    0.203086           0
       1.725    0.269877           0
       1.875    0.387963           0
       2.025    0.389259           0
       2.175    0.292778           0
       2.325    0.351111           0
       2.475    0.821914           0
       2.625    0.837654           0
       2.775    0.514321           0
       2.925    0.467716           0
       3.075    0.366296           0
       3.225    0.273765           0
       3.375    0.166173           0
       3.525    0.127901           0
       3.675   0.0804321           0
       3.825   0.0721605           0
       3.975   0.0414198           0
       4.125    0.031358           0
       4.275   0.0115432           0
       4.425  0.00987654           0
       4.575   0.0123457           0
       4.725   0.0062963           0
       4.875  0.00308642           0
       5.025  0.00314815           0
       5.175  0.00345679           0
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075           0           0
       0.225  0.00790123  0.00471405
       0.375   0.0339506  0.00432121
       0.525   0.0784259   0.0268657
       0.675    0.104506   0.0310341
       0.825    0.136265    0.024465
       0.975    0.155185   0.0311651
       1.125    0.220062   0.0542115
       1.275     0.29142   0.0542552
       1.425    0.322654   0.0720638
       1.575    0.307747   0.0740061
       1.725    0.329938   0.0424701
       1.875    0.380062  0.00558702
       2.025    0.399475  0.00722384
       2.175    0.342407   0.0350934
       2.325    0.360494  0.00663458
       2.475     0.63642    0.131164
       2.625    0.583241    0.179898
       2.775     0.39608   0.0836088
       2.925    0.351728   0.0820157
       3.075    0.292037   0.0525092
       3.225    0.237809   0.0254253
       3.375    0.151358   0.0104757
       3.525    0.169414   0.0293537
       3.675   0.0984259   0.0127236
       3.825   0.0883642   0.0114577
       3.975   0.0536111  0.00862059
       4.125   0.0489198    0.012418
       4.275   0.0243519  0.00905708
       4.425   0.0237963  0.00984275
       4.575   0.0174691  0.00362283
       4.725   0.0115432  0.00371013
       4.875  0.00654321  0.00244432
       5.025  0.00283951 0.000218243
       5.175  0.00222222 0.000872971
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00582305   0.0047545
       0.225   0.0147325  0.00640214
       0.375   0.0384979  0.00469941
       0.525   0.0817695   0.0181173
       0.675    0.125206   0.0267152
       0.825    0.131193   0.0168276
       0.975    0.174918   0.0262917
       1.125    0.267366    0.052896
       1.275    0.323992   0.0448951
       1.425    0.334383   0.0489876
       1.575    0.353519   0.0618941
       1.725    0.386543   0.0542008
       1.875    0.405062   0.0207495
       2.025     0.46144   0.0508229
       2.175    0.395453   0.0492262
       2.325    0.329918   0.0253541
       2.475    0.534527    0.120697
       2.625     0.48465    0.144443
       2.775    0.346687    0.068799
       2.925    0.331008   0.0572346
       3.075    0.278416   0.0367304
       3.225    0.188889   0.0433905
       3.375     0.17142    0.017807
       3.525    0.163436   0.0201685
       3.675    0.100576  0.00866215
       3.825   0.0709877   0.0161134
       3.975   0.0455556  0.00873442
       4.125   0.0556379  0.00993102
       4.275   0.0176543  0.00814633
       4.425   0.0203292  0.00714643
       4.575   0.0116461  0.00533278
       4.725  0.00769547  0.00399848
       4.875  0.00436214  0.00241388
       5.025    0.001893 0.000786392
       5.175  0.00148148 0.000839345
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00617284  0.00357872
       0.225   0.0157099  0.00487564
       0.375   0.0477315  0.00873878
       0.525     0.11625   0.0328072
       0.675    0.129043   0.0203101
       0.825    0.143426   0.0164775
       0.975    0.193472   0.0254368
       1.125    0.277963   0.0407196
       1.275    0.332299   0.0344314
       1.425    0.358735   0.0423632
       1.575    0.404352   0.0639757
       1.725    0.439614   0.0613585
       1.875    0.405309   0.0155636
       2.025    0.474552   0.0397727
       2.175     0.36284   0.0464842
       2.325    0.336034   0.0197395
       2.475    0.480278    0.101988
       2.625    0.449444    0.112541
       2.775    0.312377   0.0595433
       2.925    0.320694   0.0438454
       3.075    0.259923   0.0318649
       3.225     0.16784   0.0373008
       3.375    0.197284   0.0260783
       3.525    0.136682   0.0276703
       3.675   0.0795216   0.0193565
