# VELOCITY:     BLOCK_POFV:
0.075 0
0.225 0.00123457
0.375 0.0278395
0.525 0.0404321
0.675 0.0606173
0.825 0.101667
0.975 0.111111
1.125 0.143395
1.275 0.214691
1.425 0.220741
1.575 0.203086
1.725 0.269877
1.875 0.387963
2.025 0.389259
2.175 0.292778
2.325 0.351111
2.475 0.821914
2.625 0.837654
2.775 0.514321
2.925 0.467716
3.075 0.366296
3.225 0.273765
3.375 0.166173
3.525 0.127901
3.675 0.0804321
3.825 0.0721605
3.975 0.0414198
4.125 0.031358
4.275 0.0115432
4.425 0.00987654
4.575 0.0123457
4.725 0.0062963
4.875 0.00308642
5.025 0.00314815
5.175 0.00345679
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.0145679
0.375 0.0400617
0.525 0.11642
0.675 0.148395
0.825 0.170864
0.975 0.199259
1.125 0.296728
1.275 0.368148
1.425 0.424568
1.575 0.412407
1.725 0.39
1.875 0.37216
2.025 0.409691
2.175 0.392037
2.325 0.369877
2.475 0.450926
2.625 0.328827
2.775 0.27784
2.925 0.235741
3.075 0.217778
3.225 0.201852
3.375 0.136543
3.525 0.210926
3.675 0.11642
3.825 0.104568
3.975 0.0658025
4.125 0.0664815
4.275 0.0371605
4.425 0.037716
4.575 0.0225926
4.725 0.0167901
4.875 0.01
5.025 0.00253086
5.175 0.000987654
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0.0174691
0.225 0.0283951
0.375 0.0475926
0.525 0.0884568
0.675 0.166605
0.825 0.121049
0.975 0.214383
1.125 0.361975
1.275 0.389136
1.425 0.35784
1.575 0.445062
1.725 0.499753
1.875 0.455062
2.025 0.58537
2.175 0.501543
2.325 0.268765
2.475 0.330741
2.625 0.287469
2.775 0.247901
2.925 0.289568
3.075 0.251173
3.225 0.0910494
3.375 0.211543
3.525 0.151481
3.675 0.104877
3.825 0.0362346
3.975 0.0294444
4.125 0.0690741
4.275 0.00425926
4.425 0.0133951
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0.00722222
0.225 0.018642
0.375 0.0754321
0.525 0.219691
0.675 0.140556
0.825 0.180123
0.975 0.249136
1.125 0.309753
1.275 0.357222
1.425 0.43179
1.575 0.556852
1.725 0.598827
1.875 0.406049
2.025 0.513889
2.175 0.265
2.325 0.354383
2.475 0.317531
2.625 0.343827
2.775 0.209444
2.925 0.289753
3.075 0.204444
3.225 0.104691
3.375 0.274877
3.525 0.0564198
3.675 0.016358
3.825 0.035679
3.975 0.0264198
4.125 0.0593827
4.275 0.0389506
4.425 0.00432099
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.0208642
0.375 0.110185
0.525 0.082037
0.675 0.151667
0.825 0.274136
0.975 0.462222
1.125 0.33642
1.275 0.357346
1.425 0.576975
1.575 0.445062
1.725 0.602222
1.875 0.432531
2.025 0.324012
2.175 0.328025
2.325 0.348086
2.475 0.322037
2.625 0.276975
2.775 0.209815
2.925 0.231605
3.075 0.11642
3.225 0.102099
3.375 0.21216
3.525 0.0991358
3.675 0.1
3.825 0.0390741
3.975 0.0243827
4.125 0.0588889
4.275 0.022284
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0.00154321
0.225 0.0205556
0.375 0.037716
0.525 0.0855556
0.675 0.219198
0.825 0.396173
0.975 0.300802
1.125 0.294198
1.275 0.416543
1.425 0.597099
1.575 0.660988
1.725 0.575988
1.875 0.324074
2.025 0.329259
2.175 0.325062
2.325 0.409136
2.475 0.256667
2.625 0.279444
2.775 0.320494
2.925 0.146235
3.075 0.187593
3.225 0.0488272
3.375 0.12037
3.525 0.0444444
3.675 0.0658025
3.825 0.0772222
3.975 0.0845062
4.125 0.012284
4.275 0.0183951
4.425 0.00833333
4.575 0.00216049
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.0054321
0.375 0.0461111
0.525 0.0643827
0.675 0.15142
0.825 0.338642
0.975 0.369877
1.125 0.365123
1.275 0.60321
1.425 0.509938
1.575 0.477654
1.725 0.553951
1.875 0.326173
2.025 0.448951
2.175 0.402531
2.325 0.280123
2.475 0.316914
2.625 0.182099
2.775 0.405556
2.925 0.142963
3.075 0.172099
3.225 0.0888889
3.375 0.168272
3.525 0.133025
3.675 0.0479012
3.825 0.0360494
3.975 0.0293827
4.125 0
4.275 0
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.0214198
0.375 0.0209877
0.525 0.0938889
0.675 0.201728
0.825 0.246728
0.975 0.211852
1.125 0.368765
1.275 0.495926
1.425 0.599815
1.575 0.63642
1.725 0.428889
1.875 0.337716
2.025 0.492716
