#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.53456    -1.53456           0
           2    -1.15095    -1.34275    0.135626
           3   -0.838394    -1.17463    0.164372
           4   -0.681779    -1.05142    0.163046
           5   -0.582294   -0.957595    0.155101
           6   -0.509937   -0.882985    0.146098
           7   -0.486566   -0.826354     0.13576
           8    -0.49437   -0.784856    0.124971
           9   -0.504303   -0.753684    0.114908
          10   -0.467429   -0.725058    0.106923
          11   -0.441477   -0.699278    0.100262
          12   -0.413055   -0.675426   0.0947019
          13   -0.370577   -0.651976   0.0902738
          14    -0.40257   -0.634161   0.0855654
          15   -0.375116   -0.616892   0.0815852
          16   -0.393205   -0.602911   0.0776747
          17   -0.354603   -0.588305   0.0744663
          18   -0.371211   -0.576244   0.0712993
          19   -0.372904   -0.565542   0.0683452
          20   -0.321334   -0.553332   0.0660096
          21   -0.313584   -0.541915   0.0638459
          22   -0.359109   -0.533606   0.0614822
          23    -0.36981   -0.526484   0.0592201
          24     -0.3241   -0.518051   0.0573498
          25   -0.366881   -0.512005   0.0553737
          26   -0.339535   -0.505371   0.0536398
          27   -0.408976   -0.501801   0.0517718
          28    -0.37175   -0.497156   0.0501307
          29   -0.363166   -0.492536   0.0486145
          30   -0.347322   -0.487695   0.0472344
