#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.08404     2.08404           0
           2     1.83045     1.95724    0.089655
           3     1.62303     1.84584    0.108843
           4     1.51892     1.76411    0.108044
           5     1.45283     1.70185    0.102819
           6     1.40461     1.65231   0.0968851
           7     1.38904      1.6147   0.0900491
           8     1.39426     1.58715   0.0829019
           9     1.40083     1.56644   0.0762315
          10     1.37631     1.54743   0.0709398
          11     1.35896      1.5303   0.0665277
          12     1.34001     1.51444   0.0628452
          13     1.31177     1.49885   0.0599134
          14     1.33305     1.48701   0.0567923
          15     1.31477     1.47552   0.0541545
          16     1.32672     1.46622   0.0515623
          17     1.30099      1.4565   0.0494369
          18     1.31214     1.44848   0.0473364
          19     1.31329     1.44137   0.0453767
          20     1.27892     1.43325   0.0438287
          21     1.27371     1.42565   0.0423949
          22     1.30406     1.42012   0.0408265
          23     1.31129     1.41539   0.0393247
          24     1.28074     1.40978   0.0380843
          25     1.30918     1.40576   0.0367729
          26     1.29086     1.40134   0.0356231
          27     1.33714     1.39896    0.034383
          28     1.31243     1.39587   0.0332937
          29     1.30678      1.3928    0.032287
          30     1.29621     1.38958   0.0313709
