#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.5915      1.5915           0
           2     1.59473     1.59311  0.00114369
           3     1.59614     1.59412  0.00112343
           4      1.5966     1.59474  0.00099882
           5     1.59695     1.59518 0.000890909
           6     1.59698     1.59548 0.000791022
           7     1.59699      1.5957 0.000706791
           8     1.59701     1.59586 0.000637267
           9     1.59695     1.59598 0.000577743
          10     1.59704     1.59609 0.000529488
          11     1.59696     1.59617 0.000487271
          12     1.59696     1.59623 0.000451132
          13     1.59708      1.5963 0.000421049
          14     1.59701     1.59635 0.000393991
          15     1.59704     1.59639 0.000370396
          16     1.59687     1.59642 0.000348426
          17     1.59688     1.59645 0.000328949
          18       1.597     1.59648 0.000312101
          19     1.59704     1.59651 0.000297032
          20     1.59705     1.59654 0.000283399
          21     1.59699     1.59656 0.000270711
          22     1.59699     1.59658  0.00025911
          23     1.59712      1.5966 0.000248901
          24     1.59701     1.59662 0.000239097
          25     1.59689     1.59663 0.000229776
          26     1.59675     1.59663 0.000220988
          27     1.59673     1.59664 0.000212831
          28     1.59689     1.59665 0.000205423
          29       1.597     1.59666 0.000198707
          30     1.59699     1.59667 0.000192394
