# step r x y z
1 173.205 100 100 100
2 172.591 100.355 99.4908 99.0873
3 172.591 100.355 99.4908 99.0873
4 173.12 100.349 99.8374 99.6646
5 173.12 100.349 99.8374 99.6646
6 172.744 100.672 99.8642 98.6552
7 172.525 101.199 100.124 97.4634
8 171.815 100.33 99.2043 98.0457
9 171.212 99.8996 99.6945 96.926
10 171.212 99.8996 99.6945 96.926
11 171.212 99.8996 99.6945 96.926
12 171.413 99.8729 99.4185 97.5907
13 171.283 100.188 98.5535 97.9159
14 171.357 100.368 97.7613 98.651
15 170.878 99.2413 97.5702 99.1492
16 169.584 98.8458 96.3884 98.4752
17 168.7 98.1302 95.9473 98.1034
18 168.7 98.1302 95.9473 98.1034
19 168.078 98.369 95.028 97.6898
20 167.786 98.4473 94.5877 97.5375
21 167.535 97.8399 94.0681 98.2171
22 167.535 97.8399 94.0681 98.2171
23 167.045 97.8347 94.141 97.3138
24 166.881 97.346 94.5054 97.1695
25 166.928 97.7599 93.9294 97.3918
26 167.243 98.9395 94.0374 96.6345
27 166.628 99.2886 93.3331 95.894
28 166.57 100.451 92.1894 95.6884
29 166.405 100.974 91.5745 95.4416
30 166.1 100.105 91.8399 95.5692
31 164.792 99.3207 91.4667 94.4759
32 165.059 98.966 92.2246 94.5764
33 165.026 99.6791 92.5806 93.4153
34 164.145 99.8293 91.4096 92.8548
35 164.145 99.8293 91.4096 92.8548
36 164.088 100.439 91.7753 91.7286
37 163.162 100.176 91.0705 91.0648
38 162.073 99.0553 90.9172 90.4972
39 162.102 99.0186 91.8677 89.6253
40 161.492 98.4647 90.76 90.2611
41 162.234 98.0823 91.6797 91.0747
42 161.916 97.1327 92.7739 90.4153
43 161.676 96.2485 92.1101 91.6038
44 161.676 96.2485 92.1101 91.6038
45 160.835 96.0086 91.013 91.4698
46 160.835 96.0086 91.013 91.4698
47 160.769 96.7786 91.2701 90.2786
48 160.988 95.8775 91.5595 91.3316
49 160.985 95.6081 91.8172 91.3497
50 161.393 96.5351 90.9086 92.0009
51 161.509 97.2471 91.0207 91.3424
52 161.509 97.2471 91.0207 91.3424
53 161.493 97.9694 90.9093 90.6498
54 161.588 97.0955 91.2984 91.3652
55 161.429 96.2213 91.1379 92.1662
56 161.973 97.0115 92.0304 91.4025
57 161.973 97.0115 92.0304 91.4025
58 161.973 97.0115 92.0304 91.4025
59 161.404 96.8278 92.2645 90.3482
60 161.404 96.8278 92.2645 90.3482
61 161.404 96.8278 92.2645 90.3482
62 161.404 96.8278 92.2645 90.3482
63 161.549 97.0183 92.0002 90.6733
64 161.84 96.5384 92.278 91.4185
65 161.84 96.5384 92.278 91.4185
66 161.471 96.6081 92.4519 90.511
67 161.45 97.647 91.9202 89.8984
68 161.395 97.8366 91.6675 89.8519
69 161.32 98.5598 91.0075 89.5982
70 160.828 97.798 91.2708 89.2791
71 159.681 96.9595 91.1842 88.218
72 159.93 96.4296 92.2689 88.1221
73 159.93 96.4296 92.2689 88.1221
74 159.524 95.7175 92.4372 87.9853
75 160.145 94.8 93.6342 88.8374
76 160.145 94.8 93.6342 88.8374
77 159.246 93.8977 93.0828 88.7587
78 158.323 93.4184 92.1628 88.573
79 158.323 93.4184 92.1628 88.573
80 158.33 94.1464 91.6274 88.3699
81 156.762 93.414 90.6376 87.3669
82 156.029 92.6217 89.5891 87.9779
83 155.145 91.9153 89.0701 87.6819
84 155.053 91.2092 88.5355 88.7899
85 155.053 91.2092 88.5355 88.7899
86 155.053 91.2092 88.5355 88.7899
87 155.053 91.2092 88.5355 88.7899
88 154.41 90.778 88.6851 87.9585
89 154.23 89.7757 88.996 88.3572
90 154.23 89.7757 88.996 88.3572
91 154.23 89.7757 88.996 88.3572
92 154.23 89.7757 88.996 88.3572
93 153.109 88.6137 88.9064 87.6678
94 152.818 88.3561 89.1633 87.1579
95 153.725 88.8924 89.5108 87.8481
96 153.662 88.7841 90.4487 86.8816
97 153.958 89.6793 90.6048 86.3224
98 154.826 89.0888 91.6935 87.3299
99 153.39 88.4184 90.6493 86.5638
100 153.311 88.5457 90.8521 86.0805
101 153.311 88.5457 90.8521 86.0805
102 153.408 87.9572 90.4607 87.261
103 153.408 87.9572 90.4607 87.261
104 153.056 87.7701 89.8605 87.4501
105 152.462 87.0955 88.6798 88.289
106 152.462 87.0955 88.6798 88.289
107 151.155 86.318 87.564 87.9179
108 151.368 85.7485 88.2558 88.1496
109 151.786 86.6575 88.8543 87.375
110 152.023 85.8856 89.6519 87.7332
111 151.496 85.9284 88.7565 87.6906
112 150.386 84.9447 88.9585 86.5263
113 150.386 84.9447 88.9585 86.5263
114 149.358 84.4635 88.6189 85.56
115 151.069 85.3796 89.6181 86.6065
116 151.069 85.3796 89.6181 86.6065
117 151.302 86.1139 89.8298 86.0649
118 149.861 85.3135 88.6612 85.5515
119 148.981 85.4772 87.7412 84.7968
120 148.405 85.9352 86.7909 84.3006
121 148.879 86.8533 86.0044 84.9983
122 148.394 85.9842 86.0191 85.0185
123 148.394 85.9842 86.0191 85.0185
124 148.394 85.9842 86.0191 85.0185
125 147.95 86.216 85.6333 84.3976
126 146.397 85.517 84.6341 83.4025
127 146.26 85.0168 83.7824 84.5255
128 146.122 84.2461 84.6313 84.212
129 146.122 84.2461 84.6313 84.212
130 146.122 84.2461 84.6313 84.212
131 145.417 83.1447 84.1457 84.5735
132 145.417 83.1447 84.1457 84.5735
133 144.895 84.1132 83.0515 83.7974
134 144.166 84.4915 82.1817 83.0128
135 144.166 84.4915 82.1817 83.0128
136 143.262 83.8661 82.2678 81.991
137 142.54 82.9688 81.5791 82.3332
138 142.015 83.2158 80.7194 82.0235
139 142.015 83.2158 80.7194 82.0235
140 142.015 83.2158 80.7194 82.0235
141 142.559 83.9233 81.6938 81.277
142 141.359 82.7332 81.1417 80.9542
143 140.928 81.5333 81.1802 81.3798
144 141.174 82.5992 81.4081 80.5006
145 141.174 82.5992 81.4081 80.5006
146 141.307 81.5233 82.5851 80.6303
147 141.307 81.5233 82.5851 80.6303
148 141.785 82.6993 82.7023 80.1499
149 141.291 81.8985 81.5655 81.2584
150 140.776 80.8209 80.8387 82.1648
151 140.776 80.8209 80.8387 82.1648
152 140.103 79.7549 80.9771 81.9186
153 140.103 79.7549 80.9771 81.9186
154 140.371 78.8637 81.5564 82.6619
155 140.371 78.8637 81.5564 82.6619
