# step r x y z
1 173.205 100 100 100
2 173.205 100 100 100
3 173.205 100 100 100
4 173.205 100 100 100
5 172.349 98.3128 101.216 98.9648
6 170.128 96.4073 100.451 97.7681
7 170.128 96.4073 100.451 97.7681
8 167.876 93.717 98.6025 98.3722
9 167.876 93.717 98.6025 98.3722
10 168.347 96.5426 97.6533 97.3862
11 168.256 98.3274 97.0899 95.9971
12 167.148 98.9901 96.8803 93.5607
13 167.148 98.9901 96.8803 93.5607
14 165.647 98.0001 94.3473 94.5166
15 165.179 99.5167 94.6387 91.7834
16 165.179 99.5167 94.6387 91.7834
17 164.114 100.879 92.5562 90.4996
18 159.442 98.4254 89.7746 87.6056
19 156.731 96.1604 87.5106 87.5197
20 156.737 95.8982 85.4229 89.8495
21 157.006 98.7975 82.9558 89.4897
22 157.006 98.7975 82.9558 89.4897
23 156.422 100.479 80.6436 88.7041
24 156.696 101.578 79.686 88.8012
25 156.696 101.578 79.686 88.8012
26 156.696 101.578 79.686 88.8012
27 156.696 101.578 79.686 88.8012
28 155.972 99.2772 79.749 90.0635
29 153.768 97.3562 77.5586 90.2832
30 153.768 97.3562 77.5586 90.2832
31 153.768 97.3562 77.5586 90.2832
32 153.504 98.6394 76.1085 89.6733
33 153.61 98.564 78.9457 87.4563
34 153.261 97.6277 77.9245 88.8003
35 151.285 99.2219 75.1965 85.9514
36 150.592 98.1153 77.2865 84.1316
37 150.592 98.1153 77.2865 84.1316
38 151.426 98.9929 78.0183 83.9251
39 151.426 98.9929 78.0183 83.9251
40 149.21 96.1561 75.2475 85.7646
41 147.884 95.0849 76.9458 83.114
42 147.237 92.6404 78.5417 83.2333
43 146.997 89.6577 78.6398 85.9391
44 146.574 86.8706 79.4884 87.2875
45 146.052 84.5442 80.5307 87.7395
46 144.832 83.7405 77.888 88.8661
47 143.36 80.857 74.959 91.6261
48 143.36 80.857 74.959 91.6261
49 143.36 80.857 74.959 91.6261
50 143.36 80.857 74.959 91.6261
51 140.576 80.6516 73.4084 88.7019
52 140.576 80.6516 73.4084 88.7019
53 139.767 79.9686 71.0439 89.9586
54 139.767 79.9686 71.0439 89.9586
55 138.118 78.5388 69.3701 89.9783
56 137.68 80.3437 67.0824 89.4469
57 137.68 80.3437 67.0824 89.4469
58 137.68 80.3437 67.0824 89.4469
59 134.911 77.7759 66.0449 88.2612
60 134.911 77.7759 66.0449 88.2612
61 133.938 78.5996 64.203 87.4041
62 131.557 76.7415 63.6918 85.7983
63 131.557 76.7415 63.6918 85.7983
64 131.305 79.5843 63.0833 83.2334
65 130.504 76.7389 64.9362 83.2213
66 130.504 76.7389 64.9362 83.2213
67 128.535 77.3434 62.8066 81.207
68 127.034 74.4093 64.7998 80.0111
69 125.787 73.5833 65.9864 77.8046
70 123.938 73.7852 65.0399 75.4063
