# block block_average progressive_average error acceptance
1 1.53294 1.53294 0 0.5129
2 1.53805 1.53549 0.00255584 0.506
3 1.50076 1.52392 0.0116709 0.5031
4 1.49382 1.51639 0.0111674 0.511
5 1.46693 1.5065 0.0131408 0.4973
6 1.49887 1.50523 0.0108046 0.4987
7 1.46533 1.49953 0.0107644 0.5035
8 1.46655 1.49541 0.0101931 0.5033
9 1.5285 1.49908 0.00971241 0.516
10 1.46161 1.49534 0.00946072 0.5068
11 1.48479 1.49438 0.00861111 0.5075
12 1.55884 1.49975 0.00952103 0.5138
13 1.51292 1.50076 0.00881647 0.5032
14 1.55856 1.50489 0.00914715 0.5174
15 1.492 1.50403 0.0085588 0.507
16 1.47843 1.50243 0.00816433 0.5018
17 1.56046 1.50585 0.0083944 0.5071
18 1.45912 1.50325 0.00832912 0.4937
19 1.59167 1.5079 0.00915041 0.5092
20 1.46831 1.50592 0.00890375 0.5032
21 1.542 1.50764 0.00864164 0.5091
22 1.56447 1.51023 0.00863489 0.5137
23 1.44791 1.50752 0.00868431 0.4943
24 1.44168 1.50477 0.00875547 0.4947
25 1.58142 1.50784 0.00894004 0.5049
26 1.52621 1.50854 0.00861832 0.5095
27 1.44608 1.50623 0.00860967 0.5057
28 1.54754 1.50771 0.00842662 0.4949
29 1.52486 1.5083 0.00815234 0.5112
30 1.44543 1.5062 0.00814997 0.5033
31 1.48805 1.50562 0.0079044 0.5108
32 1.52374 1.50618 0.00767433 0.5036
33 1.44638 1.50437 0.0076557 0.4955
34 1.48289 1.50374 0.00745395 0.5032
35 1.56053 1.50536 0.00741751 0.5069
36 1.50339 1.50531 0.00720873 0.5078
37 1.59576 1.50775 0.00742516 0.5179
38 1.47218 1.50682 0.0072875 0.4997
39 1.48255 1.50619 0.00712541 0.51
40 1.40022 1.50354 0.00743316 0.4899
41 1.53144 1.50422 0.00728145 0.5012
42 1.52178 1.50464 0.00711825 0.5114
43 1.55658 1.50585 0.00705492 0.4993
44 1.44309 1.50442 0.00703876 0.496
45 1.56233 1.50571 0.00699985 0.5157
46 1.54815 1.50663 0.00690789 0.5065
47 1.44113 1.50524 0.00690149 0.5033
48 1.51882 1.50552 0.0067621 0.5031
49 1.43021 1.50399 0.00679867 0.503
50 1.4651 1.50321 0.00670655 0.4917
51 1.4795 1.50274 0.00659014 0.5034
52 1.44233 1.50158 0.00656578 0.4977
53 1.5093 1.50173 0.00644235 0.5155
54 1.45052 1.50078 0.00639264 0.5052
55 1.44092 1.49969 0.00636902 0.5056
56 1.52429 1.50013 0.00626966 0.5112
57 1.49962 1.50012 0.00615869 0.4941
58 1.51471 1.50037 0.0060568 0.5104
59 1.47616 1.49996 0.00596738 0.5003
60 1.54165 1.50066 0.00590807 0.5117
61 1.50486 1.50073 0.00581082 0.5093
62 1.49018 1.50056 0.00571886 0.4998
63 1.49735 1.5005 0.00562758 0.5051
64 1.48634 1.50028 0.00554338 0.4893
65 1.47419 1.49988 0.00547217 0.5015
66 1.44094 1.49899 0.00546211 0.5042
67 1.45844 1.49838 0.00541391 0.4996
68 1.57892 1.49957 0.00546363 0.5094
69 1.45531 1.49893 0.00542193 0.5009
70 1.51038 1.49909 0.00534641 0.4969
71 1.55598 1.49989 0.00533114 0.5165
72 1.48391 1.49967 0.00526126 0.4933
73 1.4532 1.49903 0.00522759 0.5069
74 1.52614 1.4994 0.00516945 0.5089
75 1.46288 1.49891 0.00512324 0.4906
76 1.46481 1.49846 0.00507526 0.4989
77 1.56132 1.49928 0.005075 0.5131
78 1.47198 1.49893 0.00502173 0.509
79 1.46125 1.49845 0.00498064 0.4949
80 1.45296 1.49788 0.00495076 0.5056
81 1.50049 1.49792 0.00488936 0.5062
82 1.48893 1.49781 0.00483061 0.5187
83 1.43615 1.49706 0.00482953 0.5021
84 1.4486 1.49649 0.00480644 0.5099
85 1.54991 1.49712 0.00479096 0.5024
86 1.44161 1.49647 0.00477872 0.5009
87 1.53199 1.49688 0.00474108 0.5145
88 1.42069 1.49601 0.00476619 0.5041
89 1.56752 1.49682 0.00478033 0.5095
90 1.55235 1.49743 0.00476702 0.5114
91 1.51616 1.49764 0.00471883 0.5086
92 1.45567 1.49718 0.0046895 0.5007
93 1.51224 1.49734 0.00464162 0.5021
94 1.48996 1.49727 0.00459265 0.5049
95 1.43513 1.49661 0.00459089 0.5018
96 1.49774 1.49662 0.00454283 0.5027
97 1.46642 1.49631 0.00450653 0.4972
98 1.55997 1.49696 0.00450736 0.5065
99 1.52514 1.49725 0.00447067 0.5126
100 1.47763 1.49705 0.00443008 0.5067
