# block block_average progressive_average error acceptance
1 1.45628 1.45628 0 0.4978
2 1.60545 1.53086 0.0745881 0.5266
3 1.44716 1.50296 0.0513129 0.5041
4 1.56571 1.51865 0.0395297 0.5112
5 1.53619 1.52216 0.0308199 0.5206
6 1.48368 1.51574 0.0259685 0.5068
7 1.55497 1.52135 0.0226513 0.5157
8 1.4406 1.51125 0.0220609 0.503
9 1.45083 1.50454 0.0205817 0.4973
10 1.50762 1.50485 0.0184114 0.5106
11 1.46814 1.50151 0.0169849 0.5064
12 1.48462 1.5001 0.0155687 0.5128
13 1.47013 1.4978 0.0145056 0.5094
14 1.43582 1.49337 0.0141404 0.4983
15 1.49726 1.49363 0.0131665 0.514
16 1.46441 1.4918 0.0124508 0.51
17 1.46818 1.49042 0.0117778 0.4982
18 1.50182 1.49105 0.0111222 0.51
19 1.45274 1.48903 0.010712 0.4986
20 1.50244 1.4897 0.0101844 0.5082
21 1.52931 1.49159 0.00986923 0.5107
22 1.47614 1.49089 0.00943612 0.5102
23 1.56381 1.49406 0.0095577 0.5073
24 1.50691 1.49459 0.00916647 0.5118
25 1.4917 1.49448 0.00879293 0.5106
26 1.52423 1.49562 0.0085251 0.5154
27 1.53297 1.497 0.00831909 0.5145
28 1.55493 1.49907 0.00827911 0.5111
29 1.50387 1.49924 0.00799024 0.5088
30 1.50168 1.49932 0.00771973 0.5104
31 1.53715 1.50054 0.00756564 0.5118
32 1.52932 1.50144 0.0073804 0.5123
33 1.45779 1.50012 0.0072745 0.5017
34 1.47218 1.4993 0.00710498 0.5018
35 1.5284 1.50013 0.00694893 0.5051
36 1.45286 1.49881 0.00687961 0.497
37 1.46336 1.49786 0.00675936 0.5044
38 1.55791 1.49944 0.00676622 0.5037
39 1.44299 1.49799 0.00674753 0.5182
40 1.52902 1.49876 0.00662226 0.5148
41 1.50426 1.4989 0.00646012 0.5121
42 1.54428 1.49998 0.00639636 0.5146
43 1.4815 1.49955 0.00626061 0.5085
44 1.49331 1.49941 0.00611831 0.5039
45 1.48939 1.49918 0.00598495 0.504
46 1.5017 1.49924 0.00585365 0.5107
47 1.53265 1.49995 0.0057717 0.5034
48 1.52158 1.5004 0.00566811 0.5125
49 1.47096 1.4998 0.00558365 0.5074
50 1.50764 1.49996 0.00547309 0.5063
51 1.51653 1.50028 0.00537454 0.5128
52 1.49922 1.50026 0.00527021 0.5088
53 1.48358 1.49995 0.00517938 0.5214
54 1.47114 1.49941 0.00511049 0.5072
55 1.59977 1.50124 0.00533824 0.5182
56 1.49819 1.50118 0.00524233 0.4981
57 1.55319 1.5021 0.00522974 0.5082
58 1.55849 1.50307 0.00522995 0.5173
59 1.57718 1.50432 0.00529177 0.5135
60 1.51524 1.50451 0.005206 0.5126
61 1.53057 1.50493 0.00513774 0.5205
62 1.51765 1.50514 0.00505836 0.5123
63 1.48993 1.5049 0.00498327 0.5108
64 1.46905 1.50434 0.00493665 0.5003
65 1.41855 1.50302 0.00503613 0.4934
66 1.45121 1.50223 0.00502099 0.5087
67 1.50495 1.50227 0.00494565 0.5061
68 1.52411 1.50259 0.00488294 0.5122
69 1.5161 1.50279 0.00481563 0.5094
70 1.45808 1.50215 0.00478911 0.5034
71 1.44322 1.50132 0.00479358 0.5079
72 1.49872 1.50128 0.00472667 0.5129
73 1.44832 1.50056 0.00471761 0.5068
74 1.44896 1.49986 0.00470538 0.5073
75 1.40974 1.49866 0.00479521 0.4947
76 1.48079 1.49843 0.00473753 0.5089
77 1.52176 1.49873 0.00468541 0.5109
78 1.51664 1.49896 0.00463064 0.5038
79 1.55175 1.49963 0.00462023 0.5114
80 1.46796 1.49923 0.00457925 0.5047
81 1.53199 1.49963 0.0045404 0.5106
82 1.49368 1.49956 0.00448528 0.5073
83 1.52641 1.49989 0.0044427 0.5036
84 1.51588 1.50008 0.00439362 0.5106
85 1.47503 1.49978 0.00435161 0.5033
86 1.50615 1.49986 0.00430135 0.5092
87 1.44855 1.49927 0.00429233 0.4929
88 1.5515 1.49986 0.00428458 0.516
89 1.50248 1.49989 0.00423627 0.514
90 1.50141 1.49991 0.00418897 0.5026
91 1.48886 1.49978 0.00414446 0.5031
92 1.54476 1.50027 0.00412821 0.5094
93 1.46344 1.49988 0.00410274 0.5074
94 1.45228 1.49937 0.00409032 0.5011
95 1.49637 1.49934 0.00404716 0.502
96 1.5241 1.4996 0.00401308 0.5053
97 1.50233 1.49962 0.00397159 0.5069
98 1.53929 1.50003 0.00395164 0.5146
99 1.49949 1.50002 0.00391152 0.51
100 1.57949 1.50082 0.00395291 0.5217
