# block block_average progressive_average error acceptance
1 4.99365 4.99365 0 0.5054
2 5.00485 4.99925 0.0055982 0.5085
3 4.90511 4.96787 0.031545 0.5163
4 5.04734 4.98774 0.0298717 0.5107
5 5.05562 5.00131 0.0268275 0.5115
6 5.02819 5.00579 0.022358 0.5006
7 5.10027 5.01929 0.0232206 0.5148
8 4.96778 5.01285 0.0211151 0.4972
9 5.04545 5.01647 0.0189708 0.5119
10 4.9401 5.00884 0.0186076 0.5062
11 5.22597 5.02858 0.0259413 0.4944
12 4.98131 5.02464 0.0240064 0.5079
13 4.76021 5.0043 0.030023 0.4931
14 4.90751 4.99738 0.0286427 0.5033
15 5.14751 5.00739 0.0284813 0.5151
16 5.11704 5.01425 0.027509 0.4996
17 4.85808 5.00506 0.0274244 0.4959
18 4.81334 4.99441 0.0279638 0.5008
19 5.04467 4.99705 0.0265831 0.5064
20 5.00358 4.99738 0.025221 0.504
21 5.0191 4.99841 0.0240123 0.5073
22 4.9301 4.99531 0.0231044 0.5054
23 4.94014 4.99291 0.0222069 0.5038
24 5.00445 4.99339 0.021267 0.503
25 4.84274 4.98737 0.02127 0.5036
26 5.04788 4.98969 0.0205677 0.5079
27 5.10881 4.9941 0.020277 0.5046
28 4.79863 4.98712 0.0207491 0.5028
29 4.94911 4.98581 0.0200637 0.5064
30 4.93437 4.9841 0.0194591 0.5083
31 5.03393 4.98571 0.0188895 0.4944
32 4.98102 4.98556 0.0182902 0.4993
33 5.06796 4.98806 0.0179023 0.5087
34 5.01967 4.98899 0.0173927 0.503
35 4.98161 4.98877 0.0168897 0.4958
36 4.95791 4.98792 0.0164362 0.5043
37 4.86913 4.98471 0.0163051 0.4947
38 4.92494 4.98313 0.0159479 0.501
39 5.03167 4.98438 0.0155834 0.5071
40 5.0478 4.98596 0.0152713 0.5033
41 5.06625 4.98792 0.0150224 0.5024
42 4.95925 4.98724 0.0146762 0.5144
43 5.07241 4.98922 0.0144671 0.5042
44 4.88708 4.9869 0.0143238 0.4981
45 5.01125 4.98744 0.0140124 0.5011
46 4.96128 4.98687 0.0137161 0.5123
47 4.73289 4.98147 0.0144682 0.5008
48 5.16315 4.98525 0.0146606 0.5054
49 5.0657 4.98689 0.0144518 0.498
50 4.97783 4.98671 0.014161 0.4977
51 4.96784 4.98634 0.0138855 0.502
52 4.82715 4.98328 0.0139558 0.4945
53 5.01185 4.98382 0.0137005 0.4938
54 5.02665 4.98461 0.0134678 0.5083
55 5.1012 4.98673 0.0133895 0.5057
56 4.90792 4.98533 0.0132234 0.5047
57 5.04746 4.98642 0.013035 0.4976
58 4.86173 4.98427 0.0129874 0.5027
59 4.82952 4.98164 0.0130321 0.5017
60 4.99303 4.98183 0.0128144 0.5088
61 4.91106 4.98067 0.0126559 0.5068
62 4.88738 4.97917 0.0125407 0.511
63 5.08765 4.98089 0.0124596 0.5012
64 5.16332 4.98374 0.0125903 0.5066
65 5.11453 4.98575 0.0125573 0.5095
66 5.12917 4.98793 0.0125551 0.5038
67 5.13369 4.9901 0.0125562 0.5053
68 5.05731 4.99109 0.0124096 0.5111
69 4.87163 4.98936 0.0123503 0.5002
70 4.97296 4.98912 0.0121749 0.5003
71 4.96024 4.98872 0.0120091 0.5074
72 4.94186 4.98807 0.011859 0.503
73 5.02403 4.98856 0.0117058 0.4978
74 4.95866 4.98816 0.0115536 0.5219
75 4.98374 4.9881 0.0113986 0.5036
76 5.01029 4.98839 0.0112514 0.4942
77 5.10582 4.98991 0.0112086 0.5087
78 5.0021 4.99007 0.0110651 0.5033
79 5.05407 4.99088 0.0109541 0.5118
80 5.11111 4.99238 0.0109202 0.5094
81 5.25285 4.9956 0.0112537 0.509
82 5.02421 4.99595 0.0111211 0.5084
83 4.93825 4.99525 0.0110083 0.5019
84 4.9155 4.9943 0.0109178 0.508
85 5.00395 4.99442 0.0107892 0.5067
86 4.9093 4.99343 0.0107088 0.5022
87 5.06042 4.9942 0.010613 0.5083
88 4.93803 4.99356 0.0105111 0.5023
89 4.9916 4.99354 0.0103924 0.5027
90 4.84951 4.99194 0.0104001 0.5037
91 4.94386 4.99141 0.0102987 0.5009
92 4.96482 4.99112 0.0101903 0.5143
93 4.9091 4.99024 0.0101186 0.5021
94 4.88845 4.98915 0.0100688 0.5015
95 5.08829 4.9902 0.0100167 0.5114
96 5.09091 4.99125 0.00996722 0.51
97 4.95593 4.99088 0.00987065 0.502
98 4.96867 4.99066 0.00977204 0.5107
99 4.94846 4.99023 0.00968221 0.5028
100 4.88228 4.98915 0.0096455 0.4937
