# block block_average progressive_average error acceptance
1 5.13051 5.13051 0 0.4978
2 5.18154 5.15603 0.0255163 0.5044
3 4.98184 5.09796 0.0599028 0.5022
4 5.07358 5.09187 0.0427939 0.5029
5 5.04222 5.08194 0.0346032 0.5043
6 5.14849 5.09303 0.0303528 0.5035
7 5.26872 5.11813 0.0358889 0.5052
8 4.94616 5.09663 0.0377902 0.5005
9 5.05246 5.09173 0.0336873 0.4876
10 4.86649 5.0692 0.0376191 0.4957
11 4.8446 5.04878 0.0396838 0.4857
12 4.83309 5.03081 0.0404404 0.4885
13 5.04311 5.03175 0.0372118 0.4992
14 5.24648 5.04709 0.0377112 0.5018
15 4.99756 5.04379 0.0352622 0.5035
16 4.90653 5.03521 0.0340822 0.4986
17 4.95303 5.03038 0.0323776 0.4973
18 4.843 5.01997 0.0322521 0.4987
19 4.86348 5.01173 0.0315996 0.4961
20 4.86532 5.00441 0.030859 0.4976
21 5.02453 5.00537 0.0293684 0.497
22 5.0539 5.00757 0.0280884 0.4968
23 5.09603 5.01142 0.0271135 0.4976
24 5.03458 5.01238 0.0259771 0.4947
25 5.16541 5.01851 0.0256572 0.4945
26 4.98035 5.01704 0.0246943 0.5015
27 5.11356 5.02061 0.0240295 0.4988
28 4.95388 5.01823 0.0232777 0.4937
29 4.97553 5.01676 0.0225089 0.4956
30 4.85511 5.01137 0.0224033 0.4844
31 5.01369 5.01144 0.0216687 0.5023
32 5.04663 5.01254 0.0210094 0.506
33 4.84851 5.00757 0.0209607 0.4866
34 5.09923 5.01027 0.0205128 0.4948
35 5.15189 5.01431 0.0203249 0.5018
36 5.07896 5.01611 0.0198337 0.5027
37 5.15582 5.01989 0.0196563 0.5038
38 5.0139 5.01973 0.0191327 0.5056
39 4.96155 5.01824 0.0186953 0.4926
40 4.89212 5.01508 0.0184926 0.4958
41 5.04612 5.01584 0.0180518 0.4914
42 5.11174 5.01812 0.0177641 0.4996
43 4.8804 5.01492 0.0176393 0.4896
44 5.07753 5.01634 0.0172924 0.5076
45 5.05321 5.01716 0.0169236 0.5038
46 5.01707 5.01716 0.0165516 0.5043
47 4.84309 5.01346 0.0166137 0.4866
48 5.02695 5.01374 0.0162663 0.4951
49 5.07322 5.01495 0.0159771 0.5067
50 4.94389 5.01353 0.0157187 0.5031
51 4.88753 5.01106 0.0156042 0.5002
52 5.0663 5.01212 0.015338 0.4943
53 5.0974 5.01373 0.0151316 0.4957
54 4.92694 5.01213 0.0149355 0.5056
55 4.92383 5.01052 0.0147491 0.4875
56 4.94671 5.00938 0.0145281 0.4983
57 5.00903 5.00937 0.0142709 0.5058
58 5.00401 5.00928 0.014023 0.4918
59 4.87572 5.00702 0.0139679 0.4943
60 4.95972 5.00623 0.0137558 0.4993
61 4.92928 5.00497 0.0135871 0.4873
62 5.12289 5.00687 0.0135008 0.5029
63 5.08588 5.00812 0.0133438 0.502
64 5.13986 5.01018 0.013294 0.4928
65 5.00054 5.01003 0.0130887 0.5049
66 4.78961 5.00669 0.0133146 0.4859
67 4.96743 5.00611 0.0131274 0.4983
68 5.02521 5.00639 0.012936 0.5052
69 5.04699 5.00698 0.0127607 0.4985
70 5.22091 5.01003 0.0129431 0.5017
71 4.83777 5.00761 0.0129881 0.4867
72 5.09942 5.00888 0.0128698 0.4989
73 5.22639 5.01186 0.0130373 0.4999
74 5.07921 5.01277 0.0128921 0.5014
75 5.07293 5.01357 0.0127443 0.5019
76 4.8702 5.01169 0.0127162 0.4904
77 5.1029 5.01287 0.0126057 0.5003
78 5.11848 5.01423 0.0125165 0.493
79 4.90058 5.01279 0.0124405 0.4959
80 5.08391 5.01368 0.0123162 0.4969
81 5.05857 5.01423 0.0121758 0.5097
82 5.24971 5.0171 0.0123645 0.5003
83 5.00825 5.017 0.0122151 0.5096
84 5.04734 5.01736 0.0120742 0.4988
85 5.01283 5.0173 0.0119314 0.5059
86 5.02447 5.01739 0.0117921 0.4987
87 4.89238 5.01595 0.011744 0.5023
88 4.84752 5.01404 0.0117665 0.496
89 5.10938 5.01511 0.0116828 0.4957
90 4.93668 5.01424 0.0115851 0.4968
91 5.0147 5.01424 0.0114571 0.5013
92 4.74854 5.01135 0.0116941 0.4953
93 4.90373 5.0102 0.0116254 0.4905
94 5.00785 5.01017 0.0115011 0.4988
95 4.78312 5.00778 0.0116277 0.4853
96 5.08773 5.00861 0.011536 0.4979
97 4.95692 5.00808 0.0114289 0.4993
98 4.78923 5.00585 0.01153 0.4974
99 5.08844 5.00668 0.0114434 0.4969
100 5.10007 5.00762 0.0113668 0.4959
