#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.4588      0.4588           0
           2    0.469182    0.463991  0.00367059
           3    0.495572    0.474518  0.00893681
           4    0.458796    0.470588  0.00751742
           5     0.46129    0.468728  0.00623968
           6    0.464432    0.468012  0.00524065
           7    0.454608    0.466097  0.00482916
           8     0.49135    0.469254  0.00515496
           9    0.437852    0.465765   0.0056407
          10    0.386702    0.457858  0.00905706
          11    0.463972    0.458414  0.00825073
          12      0.4833    0.460488  0.00781945
          13    0.460178    0.460464  0.00721799
          14    0.452696    0.459909  0.00672371
          15     0.43413    0.458191   0.0064914
          16     0.40387    0.454796  0.00691675
          17    0.393928    0.451215  0.00737862
          18    0.407686    0.448797  0.00735432
          19    0.382812    0.445324  0.00774395
          20    0.428344    0.444475  0.00740314
          21    0.513738    0.447773  0.00775058
          22    0.458196    0.448247  0.00741275
          23    0.488322    0.449989  0.00729236
          24    0.500318    0.452086  0.00728379
          25     0.52163    0.454868  0.00750485
          26    0.421796    0.453596   0.0073232
          27      0.4861      0.4548  0.00715024
          28    0.440014    0.454272  0.00691434
          29    0.614938    0.459812  0.00861414
          30    0.460078    0.459821  0.00832701
          31    0.385588    0.457426  0.00839565
          32    0.431106    0.456604  0.00817347
          33    0.505464    0.458084  0.00805878
          34    0.426002    0.457141  0.00787681
          35      0.3519    0.454134  0.00820563
          36    0.441704    0.453789  0.00798496
          37    0.419892    0.452873  0.00782153
          38    0.436622    0.452445  0.00762738
          39    0.407166    0.451284  0.00751965
          40    0.565172    0.454131   0.0078522
          41     0.47552    0.454653  0.00767799
          42     0.40445    0.453458  0.00758766
          43    0.416878    0.452607  0.00745873
          44    0.431878    0.452136  0.00730408
          45    0.501944    0.453243  0.00722515
          46    0.407956    0.452258  0.00713484
          47    0.364474     0.45039  0.00722336
          48    0.519056    0.451821  0.00721314
          49    0.402676    0.450818  0.00713532
          50    0.456064    0.450923  0.00699338
