#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934104   -0.934104           0
           2    -0.93454   -0.934322 0.000154149
           3   -0.931448   -0.933364 0.000788926
           4   -0.930188    -0.93257 0.000907154
           5   -0.926584   -0.931373  0.00129356
           6   -0.936452   -0.932219  0.00132635
           7   -0.937896    -0.93303  0.00136241
           8   -0.926808   -0.932252  0.00139659
           9   -0.936828   -0.932761  0.00133073
          10   -0.939836   -0.933468  0.00137292
          11    -0.93218   -0.933351  0.00125309
          12   -0.934592   -0.933455  0.00115293
          13   -0.945252   -0.934362  0.00137579
          14   -0.928732    -0.93396    0.001335
          15     -0.9402   -0.934376  0.00130921
          16    -0.93856   -0.934637  0.00125323
          17   -0.937456   -0.934803  0.00119043
          18   -0.929732   -0.934522  0.00115715
          19   -0.933632   -0.934475  0.00109719
          20   -0.941064   -0.934804  0.00109068
          21   -0.934888   -0.934808  0.00103875
          22   -0.935656   -0.934847 0.000992248
          23   -0.936032   -0.934898 0.000950444
          24   -0.931492   -0.934756 0.000921378
          25    -0.94028   -0.934977 0.000910629
          26   -0.932796   -0.934893 0.000879461
          27    -0.93948   -0.935063 0.000863139
          28   -0.932624   -0.934976 0.000836697
          29    -0.93238   -0.934887 0.000812621
          30   -0.931404   -0.934771 0.000793782
          31   -0.933852   -0.934741 0.000768729
          32   -0.933948   -0.934716 0.000745105
          33    -0.93714    -0.93479 0.000726138
          34   -0.936148    -0.93483 0.000705879
          35   -0.938384   -0.934931 0.000692978
          36   -0.936164   -0.934965 0.000674574
          37   -0.942036   -0.935156 0.000682874
          38   -0.929976    -0.93502 0.000678376
          39   -0.928736   -0.934859 0.000679848
          40   -0.940264   -0.934994 0.000676148
          41   -0.941232   -0.935146 0.000676557
          42      -0.937    -0.93519 0.000661887
          43   -0.927984   -0.935023 0.000667374
          44   -0.930316   -0.934916 0.000660724
          45   -0.934344   -0.934903 0.000646163
          46   -0.938256   -0.934976 0.000636214
          47   -0.931764   -0.934908 0.000626337
          48     -0.9389   -0.934991 0.000618786
          49    -0.93904   -0.935073 0.000611651
          50   -0.936744   -0.935107  0.00060033
