#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.31397     4.31397           0
           2     4.62628     4.47012    0.110418
           3     4.61295     4.51773   0.0832453
           4     4.38752     4.48518    0.068504
           5     4.37871     4.46389   0.0580186
           6      4.4067     4.45435   0.0491253
           7     4.46834     4.45635   0.0421481
           8     4.35741     4.44398   0.0386517
           9     4.37232     4.43602   0.0351678
          10      4.2481     4.41723   0.0363266
          11      4.1969      4.3972   0.0381485
          12      4.3241     4.39111   0.0354525
          13      4.2396     4.37945   0.0345881
          14     4.29731     4.37359   0.0326114
          15     4.40117     4.37542   0.0304891
          16     4.55397     4.38658   0.0305575
          17     4.52689     4.39484   0.0298538
          18     4.51247     4.40137   0.0289017
          19     4.65644      4.4148   0.0303387
          20     4.17625     4.40287   0.0310781
          21     4.36915     4.40126   0.0296396
          22     4.53095     4.40716   0.0288726
          23     4.60267     4.41566   0.0288415
          24     4.16916     4.40539   0.0294117
          25     4.19673     4.39704   0.0293956
          26     4.57436     4.40386   0.0290454
          27     4.21213     4.39676   0.0288247
          28     4.50973      4.4008   0.0280761
          29     3.99259     4.38672   0.0304326
          30     4.29348     4.38361   0.0295765
          31     4.51573     4.38787   0.0289279
          32     4.40807      4.3885   0.0280307
          33     4.30553     4.38599   0.0272939
          34     4.31349     4.38386   0.0265743
          35     4.68498     4.39246    0.027172
          36     4.55318     4.39693   0.0267815
          37     4.47776     4.39911   0.0261466
          38     4.36428     4.39819   0.0254746
          39     4.34162     4.39674   0.0248627
          40     4.59857     4.40179   0.0247478
          41     4.46737     4.40339   0.0241958
          42     4.50781     4.40587   0.0237471
          43     4.44198     4.40671   0.0232097
          44     4.55885     4.41017   0.0229383
          45     4.40707      4.4101   0.0224287
          46     4.22414     4.40606   0.0223025
          47     4.35892     4.40506   0.0218505
          48     4.28476     4.40255   0.0215385
          49      4.3934     4.40236   0.0210998
          50     4.66646     4.40765   0.0213287
