#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200686    0.200686           0
           2    0.200458    0.200572 8.08984e-05
           3    0.197141    0.199428 0.000935403
           4    0.194127    0.198103  0.00134509
           5    0.193934    0.197269  0.00130924
           6    0.198687    0.197506  0.00111216
           7     0.19494    0.197139  0.00101187
           8    0.200612    0.197573 0.000974061
           9    0.198844    0.197714 0.000876003
          10    0.199041    0.197847 0.000798389
          11    0.193463    0.197448 0.000819261
          12    0.197248    0.197432  0.00075116
          13    0.196052    0.197326 0.000700838
          14    0.193836    0.197076 0.000693697
          15    0.198639    0.197181 0.000655231
          16    0.197592    0.197206 0.000614784
          17    0.198759    0.197298 0.000585368
          18    0.200249    0.197462 0.000575352
          19    0.198903    0.197537 0.000550052
          20    0.193095    0.197315 0.000565616
          21    0.197584    0.197328 0.000538827
          22    0.199883    0.197444   0.0005267
          23    0.195895    0.197377 0.000508086
          24    0.193929    0.197233 0.000506816
          25    0.195395     0.19716 0.000491849
          26    0.195679    0.197103 0.000476219
          27    0.198504    0.197155 0.000461401
          28     0.19509    0.197081 0.000450773
          29    0.193623    0.196962 0.000450723
          30     0.19625    0.196938 0.000436323
          31    0.195953    0.196906 0.000423403
          32     0.19497    0.196846 0.000414474
          33    0.194725    0.196781 0.000406863
          34    0.193985    0.196699 0.000403123
          35    0.195291    0.196659 0.000393607
          36    0.194341    0.196595 0.000387904
          37    0.193667    0.196515 0.000385408
          38    0.193817    0.196444 0.000381751
          39    0.199579    0.196525  0.00038033
          40    0.197306    0.196544 0.000371322
          41    0.198093    0.196582 0.000364182
          42     0.19764    0.196607 0.000356381
          43    0.198861     0.19666 0.000351925
          44     0.19367    0.196592 0.000350425
          45    0.195954    0.196578 0.000342924
          46    0.195938    0.196564 0.000335751
          47    0.192455    0.196476   0.0003398
          48    0.196079    0.196468 0.000332822
          49    0.198489    0.196509 0.000328574
          50    0.198812    0.196555 0.000325214
