#   N_BLOCK:  ACCEPTANCE:
           1    0.231565
           2    0.231373
           3    0.231638
           4    0.231272
           5    0.231133
           6    0.231223
           7    0.231101
           8    0.231446
           9    0.231493
          10    0.231479
          11    0.231403
          12    0.231263
          13    0.231197
          14    0.231438
          15    0.231377
          16     0.23116
          17    0.231397
          18    0.231418
          19    0.231374
          20    0.231295
          21    0.231261
          22    0.231225
          23     0.23132
          24    0.231443
          25    0.231383
          26    0.231356
          27    0.231299
          28    0.231238
          29    0.231286
          30    0.231337
          31    0.231361
          32     0.23136
          33    0.231331
          34    0.231287
          35    0.231314
          36     0.23132
          37    0.231305
          38    0.231256
          39    0.231242
          40     0.23129
          41    0.231305
          42    0.231326
          43    0.231374
          44    0.231354
          45    0.231299
          46    0.231252
          47    0.231271
          48    0.231306
          49    0.231352
          50    0.231286
