#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.13369     0.13369           0
           2    0.143266    0.138478  0.00338563
           3      0.1273    0.134752  0.00378812
           4    0.150594    0.138713  0.00445376
           5    0.141524    0.139275  0.00359833
           6     0.15069    0.141177  0.00346525
           7    0.163268    0.144333  0.00416637
           8     0.12466    0.141874  0.00431064
           9     0.14121      0.1418  0.00383231
          10    0.130834    0.140704  0.00360257
          11    0.166776    0.143074   0.0039791
          12    0.146898    0.143392  0.00366025
          13      0.1281    0.142216  0.00356271
          14    0.148232    0.142646  0.00333404
          15    0.145026    0.142805  0.00311555
          16    0.164416    0.144155  0.00320025
          17    0.122006    0.142852  0.00326647
          18     0.16293    0.143968  0.00326991
          19    0.158508    0.144733   0.0031861
          20    0.141988    0.144596  0.00302975
          21     0.15486    0.145085  0.00292464
          22    0.152862    0.145438  0.00281298
          23    0.141618    0.145272  0.00269558
          24    0.143826    0.145212  0.00258394
          25    0.139486    0.144983  0.00249071
          26     0.13094    0.144443  0.00245277
          27     0.15927    0.144992  0.00242263
          28    0.124586    0.144263  0.00244326
          29    0.124658    0.143587  0.00245075
          30    0.152044    0.143869  0.00238522
          31    0.145508    0.143922  0.00230886
          32    0.129638    0.143475  0.00227945
          33    0.136886    0.143276  0.00221911
          34     0.14206     0.14324  0.00215413
          35    0.159034    0.143691  0.00213932
          36    0.131428    0.143351  0.00210684
          37    0.159692    0.143792  0.00209568
          38    0.125396    0.143308   0.0020957
          39    0.164042     0.14384  0.00210832
          40    0.119538    0.143232  0.00214136
          41     0.15762    0.143583  0.00211769
          42     0.15334    0.143815  0.00207997
          43     0.12569    0.143394  0.00207388
          44    0.151554    0.143579  0.00203502
          45    0.143438    0.143576   0.0019898
          46    0.139516    0.143488   0.0019485
          47    0.134436    0.143295  0.00191653
          48    0.161476    0.143674  0.00191367
          49    0.132548    0.143447  0.00188804
          50    0.144418    0.143466  0.00185038
