#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.432078    0.432078           0
           2     0.42519    0.428634  0.00243515
           3    0.446866    0.434711  0.00522096
           4    0.422734    0.431717  0.00469656
           5    0.410313    0.427436  0.00536445
           6     0.43425    0.428572  0.00458903
           7    0.411001    0.426062  0.00456866
           8     0.40866    0.423887   0.0044856
           9    0.429705    0.424533  0.00403352
          10    0.424602     0.42454  0.00363017
          11      0.4374    0.425709  0.00348333
          12    0.441906    0.427059  0.00344463
          13    0.411025    0.425825  0.00339328
          14    0.427137    0.425919  0.00315219
          15    0.421651    0.425635  0.00295486
          16    0.427642     0.42576  0.00277285
          17    0.411604    0.424927  0.00273192
          18    0.416584    0.424464  0.00261917
          19    0.437821    0.425167  0.00257393
          20    0.406291    0.424223  0.00261255
          21    0.394697    0.422817  0.00284139
          22    0.453484    0.424211  0.00303496
          23    0.437913    0.424807   0.0029609
          24    0.427127    0.424903   0.0028391
          25     0.42257     0.42481  0.00272707
          26    0.413324    0.424368  0.00265773
          27    0.420178    0.424213  0.00256382
          28    0.404125    0.423496  0.00257068
          29    0.423481    0.423495  0.00248203
          30     0.41565    0.423234  0.00241303
          31    0.436803    0.423671  0.00237456
          32    0.402847    0.423021  0.00238787
          33    0.386792    0.421923  0.00255544
          34    0.433106    0.422252  0.00250136
          35    0.449396    0.423027  0.00254729
          36    0.434563    0.423348  0.00249661
          37    0.418243     0.42321  0.00243294
          38    0.403468     0.42269  0.00242375
          39    0.413751    0.422461  0.00237242
          40    0.407684    0.422092  0.00234169
          41    0.413335    0.421878   0.0022943
          42     0.41863    0.421801  0.00224097
          43    0.407115    0.421459  0.00221473
          44    0.433555    0.421734  0.00218139
          45    0.422081    0.421742  0.00213293
          46    0.392992    0.421117   0.0021762
          47    0.423107    0.421159  0.00213031
          48    0.451758    0.421797  0.00217923
          49    0.442301    0.422215  0.00217456
          50    0.414232    0.422055  0.00213692
