#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      15.358      15.358           0
           2     15.2691     15.3135   0.0314115
           3     15.3031     15.3101   0.0211328
           4     15.9748     15.4762    0.144793
           5     15.8888     15.5588    0.137344
           6     16.4343     15.7047    0.175624
           7     14.5095     15.5339    0.218284
           8     16.4761     15.6517    0.220489
           9     14.6594     15.5414     0.22185
          10     15.0232     15.4896     0.20563
          11     15.5971     15.4994    0.187168
          12     13.9731     15.3722    0.210392
          13     15.4368     15.3772    0.194267
          14     14.6633     15.3262    0.186963
          15     15.2878     15.3236    0.174517
          16     15.9431     15.3623    0.167849
          17     14.9139      15.336    0.160035
          18     15.8971     15.3671    0.154151
          19     15.8824     15.3943    0.148404
          20     15.6151     15.4053    0.141394
          21     13.6139       15.32    0.158316
          22     13.5004     15.2373    0.171367
          23     14.6005     15.2096    0.166138
          24     14.2102      15.168    0.164352
          25     14.9162     15.1579    0.158086
          26     14.8471     15.1459    0.152458
          27     15.6187     15.1634    0.147813
          28     14.7572     15.1489    0.143244
          29     15.0277     15.1447    0.138366
          30     15.7968     15.1665     0.13545
          31     14.6496     15.1498    0.132103
          32     15.0243     15.1459    0.128033
          33      15.029     15.1423    0.124202
          34     15.7748     15.1609    0.121934
          35     15.1296       15.16    0.118454
          36     13.9206     15.1256    0.120063
          37     15.8693     15.1457    0.118488
          38      15.229     15.1479     0.11539
          39     14.3357     15.1271    0.114296
          40     15.5791     15.1384    0.111995
          41     15.4948     15.1471    0.109601
          42     14.5524     15.1329    0.107902
          43     15.0263     15.1304    0.105421
          44     14.5498     15.1172    0.103848
          45     14.9957     15.1145    0.101575
          46     15.9116     15.1319    0.100834
          47     15.3152     15.1358   0.0987639
          48      15.674      15.147   0.0973408
          49     15.3838     15.1518   0.0954741
          50     15.0531     15.1498   0.0935851
