#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.584212   -0.584212           0
           2   -0.581348    -0.58278  0.00101258
           3   -0.582564   -0.582708 0.000677606
           4   -0.585064   -0.583297 0.000720044
           5   -0.583068   -0.583251  0.00057749
           6   -0.582504   -0.583127 0.000494487
           7   -0.584128    -0.58327 0.000444055
           8    -0.58244   -0.583166 0.000400477
           9   -0.581072   -0.582933 0.000418139
          10     -0.5841    -0.58305 0.000392263
          11   -0.582504      -0.583  0.00035973
          12   -0.583336   -0.583028 0.000330838
          13   -0.580752   -0.582853 0.000348661
          14     -0.5834   -0.582892 0.000325937
          15   -0.581752   -0.582816 0.000312947
          16   -0.582272   -0.582782 0.000295231
          17   -0.581036    -0.58268 0.000295194
          18     -0.5842   -0.582764 0.000290629
          19   -0.582972   -0.582775 0.000275539
          20    -0.58056   -0.582664 0.000283145
          21   -0.582592   -0.582661 0.000269683
          22   -0.584344   -0.582737 0.000268058
          23   -0.582608   -0.582732 0.000256462
          24   -0.583568   -0.582767 0.000248133
          25    -0.58274   -0.582765  0.00023821
          26   -0.582672   -0.582762 0.000229075
          27   -0.580852   -0.582691 0.000231254
          28   -0.584524   -0.582757 0.000232075
          29   -0.582296   -0.582741 0.000224615
          30   -0.582248   -0.582724 0.000217727
          31   -0.583308   -0.582743 0.000211516
          32   -0.582052   -0.582722 0.000206006
          33   -0.582276   -0.582708 0.000200205
          34   -0.581428    -0.58267 0.000197825
          35    -0.58278   -0.582673 0.000192198
          36    -0.58288   -0.582679 0.000186944
          37    -0.58496   -0.582741 0.000191786
          38   -0.583164   -0.582752 0.000187062
          39    -0.58488   -0.582807 0.000190057
          40   -0.581788   -0.582781 0.000187003
          41   -0.584208   -0.582816 0.000185652
          42    -0.58166   -0.582788 0.000183261
          43   -0.581604   -0.582761 0.000181057
          44   -0.583308   -0.582773 0.000177369
          45   -0.583448   -0.582788  0.00017406
          46   -0.582244   -0.582776 0.000170677
          47   -0.582064   -0.582761 0.000167718
          48   -0.580524   -0.582715 0.000170577
          49   -0.583572   -0.582732 0.000167991
          50   -0.583972   -0.582757 0.000166451
