#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.13238    -5.13238           0
           2    -4.27436    -4.70337    0.303356
           3    -3.67889    -4.36188    0.344449
           4    -2.86404    -3.98742    0.414611
           5    -2.53835     -3.6976    0.420965
           6    -2.36983    -3.47631    0.404812
           7    -2.12243     -3.2829    0.390462
           8    -2.13995    -3.14003    0.366862
           9    -1.71844    -2.98208    0.358494
          10    -1.47219    -2.83109    0.353012
          11    -1.26762    -2.68895     0.34836
          12    -1.20935    -2.56565    0.340452
          13    -1.61504    -2.49253    0.322021
          14    -1.11885    -2.39441    0.313612
          15   -0.799662    -2.28809    0.310202
          16   -0.695688    -2.18857    0.306365
          17   -0.582608     -2.0941    0.302558
          18   -0.848064    -2.02488    0.293561
          19   -0.793914    -1.96009     0.28517
          20   -0.780991    -1.90113    0.276939
          21    -1.00401    -1.85841    0.267026
          22   -0.570758    -1.79988    0.261224
          23   -0.620529    -1.74861    0.254849
          24   -0.965278    -1.71597    0.246312
          25    -1.21075    -1.69576    0.237287
          26    -0.80723    -1.66159    0.230608
          27   -0.585878    -1.62174    0.225483
          28   -0.646069     -1.5869    0.220106
          29   -0.408256    -1.54626    0.216236
          30   -0.331072    -1.50575    0.212788
          31  -0.0559638    -1.45898       0.211
          32   0.0774028    -1.41097    0.209798
          33  -0.0906104    -1.37096    0.207221
          34   -0.384725    -1.34195    0.203146
          35   -0.321722     -1.3128    0.199422
          36   -0.272158     -1.2839    0.195967
          37   -0.334182    -1.25823    0.192344
          38  -0.0649694    -1.22683    0.189828
          39   -0.131012    -1.19873    0.187029
          40  -0.0784803    -1.17072    0.184438
          41  -0.0463333     -1.1433    0.181967
          42   0.0678081    -1.11446    0.179905
          43    0.309065    -1.08136    0.178741
          44   0.0314115    -1.05607    0.176459
          45    0.130588     -1.0297    0.174497
          46   0.0851327    -1.00546    0.172378
          47   0.0744655   -0.982485    0.170235
          48   0.0766869   -0.960418    0.168112
          49    0.145897   -0.937841    0.166191
          50  -0.0745245   -0.920574    0.163761
          51    -0.12896   -0.905052    0.161284
          52   -0.173303    -0.89098    0.158795
          53   -0.372685   -0.881201      0.1561
          54   -0.345098   -0.871273    0.153525
          55   -0.327871   -0.861393    0.151051
          56  0.00787461   -0.845871    0.149149
          57    0.338717   -0.825088    0.147973
          58     0.71408   -0.798551    0.147782
          59    0.329564    -0.77943    0.146509
          60    0.363549   -0.760381    0.145301
          61    0.286661   -0.743216    0.143929
          62    0.324354   -0.725997    0.142634
          63    0.293781    -0.70981    0.141285
          64  -0.0700712   -0.699814    0.139431
          65  -0.0160609   -0.689295    0.137682
          66   -0.313527   -0.683602    0.135713
          67   -0.107262      -0.675     0.13396
          68   -0.263583   -0.668949    0.132127
          69   -0.165061   -0.661647    0.130414
          70   -0.247813   -0.655735    0.128684
          71   -0.071693   -0.647509    0.127135
          72    0.255894   -0.634961    0.125987
          73    0.824101   -0.614974    0.125836
          74    0.106159   -0.605229    0.124512
          75    0.325317   -0.592822    0.123469
          76    0.547833   -0.577813    0.122753
          77    0.845293   -0.559331    0.122542
          78    0.567874    -0.54488     0.12182
          79    0.940769   -0.526074    0.121721
          80     1.16829   -0.504895    0.122028
          81     1.16217   -0.484314    0.122245
          82    0.515123   -0.472126     0.12136
          83    0.846737   -0.456236    0.120934
          84    0.835962   -0.440852    0.120469
          85    0.712357   -0.427285    0.119813
          86    0.832275   -0.412639    0.119312
          87    0.541738   -0.401669    0.118444
          88    0.793486   -0.388088    0.117874
          89    0.734588   -0.375474    0.117222
          90       1.128   -0.358768    0.117104
          91     1.16413   -0.342033    0.117007
          92     1.04061   -0.327005    0.116696
          93    0.766285   -0.315249    0.116032
          94     0.81904   -0.303182    0.115423
          95    0.800379   -0.291565    0.114792
          96    0.673107   -0.281517    0.114035
          97     1.52384   -0.262905    0.114368
          98     1.23074   -0.247664    0.114212
          99    0.992499   -0.235137    0.113743
         100     1.00484   -0.222737     0.11328
         101     1.40896   -0.206581    0.113304
         102     1.35049   -0.191316    0.113217
         103     1.17998   -0.178003    0.112898
         104     1.55501   -0.161339    0.113035
         105     1.28663   -0.147549    0.112797
         106    0.892261   -0.137739    0.112159
         107    0.995777   -0.127146     0.11161
         108     1.10961   -0.115694    0.111162
         109     1.37304   -0.102036    0.110978
         110    0.997466  -0.0920407    0.110418
         111    0.869147  -0.0833813    0.109763
         112    0.863171    -0.07493    0.109108
         113    0.778633  -0.0673763    0.108403
         114    0.544903  -0.0620054    0.107585
         115    0.762901  -0.0548323    0.106889
         116    0.918273  -0.0464435    0.106296
         117    0.978662  -0.0376819    0.105748
         118     1.03614  -0.0285817    0.105242
         119      1.1698  -0.0185113    0.104839
         120    0.525537  -0.0139776    0.104063
         121    0.670494 -0.00832078    0.103357
         122    0.807209 -0.00163611    0.102725
         123     1.15903  0.00780021    0.102323
         124    0.555656   0.0122184    0.101593
         125    0.448161   0.0157059     0.10084
         126    0.834227   0.0222021    0.100249
         127    0.519303   0.0261163   0.0995357
         128    0.415133   0.0291555   0.0988045
         129     0.46385   0.0325252    0.098096
         130    0.492705   0.0360651   0.0974053
         131     0.98706   0.0433246   0.0969319
         132    0.744514   0.0486366    0.096343
         133    0.875548    0.054854    0.095819
         134    0.732067   0.0599078   0.0952371
         135    0.443317   0.0627479    0.094574
         136     1.02238    0.069804   0.0941415
         137    0.932824   0.0761034   0.0936648
         138    0.827615   0.0815492   0.0931443
         139    0.575317   0.0851014   0.0925419
         140     0.77318   0.0900163   0.0920113
         141    0.620821   0.0937809   0.0914357
         142     0.56225   0.0970799   0.0908513
         143    0.734564    0.101538   0.0903253
         144      0.9762    0.107612    0.089902
         145    0.782077    0.112263   0.0894022
         146     1.44376    0.121383   0.0892538
         147      1.3815    0.129955   0.0890574
         148    0.637983    0.133388   0.0885218
         149     0.73935    0.137455    0.088021
         150    0.934076    0.142766   0.0875943
         151    0.869804    0.147581   0.0871464
         152      1.1489    0.154168   0.0868217
         153     1.41937    0.162438   0.0866472
         154     1.16404    0.168941   0.0863283
         155    0.858195    0.173388   0.0858858
         156     1.27756    0.180466   0.0856264
         157     1.03696    0.185922   0.0852546
         158    0.878673    0.190306   0.0848277
         159    0.472798    0.192083   0.0843128
         160    0.694943    0.195226   0.0838444
         161    0.194985    0.195224   0.0833236
         162    0.577163    0.197582   0.0828426
