#   N_BLOCK:  ACCEPTANCE:
           1    0.510167
           2    0.510299
           3    0.510975
           4    0.511066
           5    0.510841
           6    0.510689
           7    0.510771
           8    0.510228
           9    0.510326
          10    0.510226
          11    0.510149
          12    0.510094
          13    0.510198
          14    0.510224
          15    0.510198
          16    0.510134
          17    0.510138
          18    0.510167
          19    0.510156
          20    0.510172
          21    0.510202
          22    0.510227
          23    0.510223
          24    0.510251
          25    0.510258
          26    0.510264
          27     0.51028
          28    0.510255
          29     0.51022
          30    0.510163
          31     0.51018
          32    0.510175
          33    0.510141
          34    0.510108
          35    0.510081
          36    0.510074
          37    0.510077
          38    0.510088
          39    0.510088
          40    0.510055
          41    0.510055
          42    0.510032
          43    0.510044
          44    0.510063
          45    0.510119
          46    0.510118
          47     0.51015
          48    0.510166
          49    0.510191
          50    0.510191
          51    0.510191
          52      0.5102
          53    0.510164
          54    0.510161
          55    0.510181
          56    0.510155
          57    0.510112
          58      0.5101
          59    0.510115
          60    0.510098
          61     0.51011
          62    0.510093
          63    0.510096
          64    0.510101
          65     0.51009
          66    0.510043
          67    0.510039
          68    0.510041
          69    0.510072
          70    0.510058
          71    0.510074
          72    0.510095
          73     0.51008
          74    0.510075
          75    0.510082
          76    0.510081
          77    0.510054
          78    0.510048
          79    0.510044
          80    0.510022
          81    0.510015
          82    0.510018
          83     0.50998
          84    0.509985
          85    0.509984
          86    0.510003
          87    0.510005
          88    0.510021
          89    0.510029
          90    0.510044
          91    0.510026
          92    0.510022
          93    0.510029
          94    0.510012
          95    0.510008
          96     0.50999
          97    0.509979
          98    0.509987
          99    0.510003
         100     0.51001
