#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263 5.83569e-05 5.83569e-05           0
           1    0.884913  0.00177908  0.00177908           0
           1    0.910562   0.0256025   0.0256025           0
           1    0.936212    0.168565    0.168565           0
           1    0.961861    0.575367    0.575367           0
           1    0.987511     1.21059     1.21059           0
           1     1.01316     1.87842     1.87842           0
           1     1.03881      2.3449      2.3449           0
           1     1.06446     2.55899     2.55899           0
           1     1.09011      2.5245      2.5245           0
           1     1.11576     2.40719     2.40719           0
           1     1.14141     2.19009     2.19009           0
           1     1.16706     1.97001     1.97001           0
           1     1.19271     1.75821     1.75821           0
           1     1.21836     1.54866     1.54866           0
           1     1.24401     1.38982     1.38982           0
           1     1.26966      1.2352      1.2352           0
           1     1.29531     1.11872     1.11872           0
           1     1.32096     1.02019     1.02019           0
           1     1.34661    0.940142    0.940142           0
           1     1.37226    0.870835    0.870835           0
           1     1.39791    0.820253    0.820253           0
           1     1.42355    0.766722    0.766722           0
           1      1.4492    0.736936    0.736936           0
           1     1.47485    0.709929    0.709929           0
           1      1.5005    0.690855    0.690855           0
           1     1.52615    0.681635    0.681635           0
           1      1.5518    0.671283    0.671283           0
           1     1.57745     0.66951     0.66951           0
           1      1.6031    0.677644    0.677644           0
           1     1.62875     0.69504     0.69504           0
           1      1.6544    0.706134    0.706134           0
           1     1.68005    0.725039    0.725039           0
           1      1.7057    0.753486    0.753486           0
           1     1.73135    0.788226    0.788226           0
           1       1.757    0.820296    0.820296           0
           1     1.78265    0.854922    0.854922           0
           1      1.8083    0.897721    0.897721           0
           1     1.83395     0.94397     0.94397           0
           1      1.8596    0.981952    0.981952           0
           1     1.88525     1.02121     1.02121           0
           1      1.9109     1.06035     1.06035           0
           1     1.93655     1.09552     1.09552           0
           1      1.9622     1.13124     1.13124           0
           1     1.98785     1.15576     1.15576           0
           1      2.0135     1.18451     1.18451           0
           1     2.03915     1.20185     1.20185           0
           1      2.0648     1.20925     1.20925           0
           1     2.09045     1.21758     1.21758           0
           1      2.1161      1.2082      1.2082           0
           1     2.14174     1.19043     1.19043           0
           1     2.16739     1.17198     1.17198           0
           1     2.19304     1.14323     1.14323           0
           1     2.21869     1.11741     1.11741           0
           1     2.24434     1.08975     1.08975           0
           1     2.26999     1.06452     1.06452           0
           1     2.29564     1.03162     1.03162           0
           1     2.32129     1.00958     1.00958           0
           1     2.34694     0.98601     0.98601           0
           1     2.37259    0.964256    0.964256           0
           1     2.39824    0.946647    0.946647           0
           1     2.42389    0.929606    0.929606           0
           1     2.44954    0.917311    0.917311           0
           1     2.47519    0.912124    0.912124           0
           1     2.50084    0.899298    0.899298           0
           1     2.52649    0.887463    0.887463           0
           1     2.55214    0.892187    0.892187           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0 2.91784e-05 2.06323e-05
           2    0.884913 0.000990416  0.00138475 0.000278835
           2    0.910562   0.0245978   0.0251001 0.000355214
           2    0.936212    0.169237    0.168901  0.00023753
           2    0.961861    0.565369    0.570368  0.00353464
           2    0.987511     1.20143     1.20601  0.00323886
           2     1.01316     1.85794     1.86818  0.00724221
           2     1.03881     2.32526     2.33508  0.00694547
           2     1.06446     2.54867     2.55383    0.003648
           2     1.09011     2.54191     2.53321  0.00615763
           2     1.11576     2.40746     2.40733 9.38162e-05
           2     1.14141     2.19198     2.19104 0.000666508
           2     1.16706      1.9795     1.97476  0.00335544
           2     1.19271     1.76127     1.75974   0.0010816
           2     1.21836     1.56101     1.55483  0.00436511
           2     1.24401     1.39084     1.39033 0.000360945
           2     1.26966     1.24388     1.23954  0.00306818
           2     1.29531     1.12661     1.12267   0.0027905
           2     1.32096     1.02538     1.02278  0.00183632
           2     1.34661    0.938787    0.939464 0.000478864
           2     1.37226     0.86799    0.869412  0.00100586
           2     1.39791    0.818562    0.819408 0.000597682
           2     1.42355    0.782548    0.774635   0.0055955
           2      1.4492    0.739767    0.738352  0.00100101
           2     1.47485    0.710642    0.710286  0.00025213
           2      1.5005    0.690261    0.690558 0.000209753
           2     1.52615    0.678639    0.680137  0.00105959
           2      1.5518    0.673771    0.672527 0.000879353
           2     1.57745    0.674693    0.672102  0.00183259
           2      1.6031    0.674905    0.676275 0.000968221
           2     1.62875     0.68504     0.69004  0.00353556
           2      1.6544    0.708102    0.707118 0.000695746
           2     1.68005    0.724902    0.724971 4.85758e-05
           2      1.7057    0.756029    0.754757 0.000898883
           2     1.73135    0.782189    0.785208  0.00213453
           2       1.757    0.819175    0.819736 0.000396438
           2     1.78265    0.854316    0.854619 0.000214129
           2      1.8083     0.89353    0.895625  0.00148153
           2     1.83395    0.941228    0.942599 0.000969312
           2      1.8596     0.97828    0.980116  0.00129813
           2     1.88525     1.01803     1.01962  0.00112445
