#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45266    -5.45266           0
           2    -5.46273     -5.4577  0.00356115
           3    -5.47703    -5.46414  0.00577236
           4    -5.47188    -5.46608  0.00464255
           5    -5.47424    -5.46771  0.00399059
           6     -5.4584    -5.46616  0.00361438
           7    -5.47878    -5.46796  0.00351939
           8    -5.44056    -5.46454  0.00444397
           9    -5.47648    -5.46586  0.00414361
          10    -5.46257    -5.46553  0.00374227
          11    -5.46666    -5.46564  0.00340347
          12    -5.46538    -5.46561  0.00311992
          13    -5.48247    -5.46691  0.00313793
          14    -5.47736    -5.46766  0.00300131
          15    -5.46049    -5.46718  0.00283905
          16     -5.4641    -5.46699  0.00266812
          17    -5.47449    -5.46743   0.0025474
          18    -5.45311    -5.46663   0.0025271
          19    -5.46735    -5.46667  0.00239438
          20    -5.46715    -5.46669  0.00227478
          21    -5.47566    -5.46712  0.00220616
          22    -5.45989    -5.46679  0.00213023
          23    -5.46758    -5.46683  0.00203789
          24    -5.46475    -5.46674  0.00195482
          25    -5.46351    -5.46661  0.00188088
          26      -5.462    -5.46643  0.00181687
          27    -5.46712    -5.46646  0.00174976
          28    -5.47147    -5.46664  0.00169639
          29    -5.46796    -5.46668  0.00163851
          30    -5.45276    -5.46622  0.00164835
          31    -5.46638    -5.46622  0.00159518
          32    -5.46485    -5.46618  0.00154591
          33    -5.46184    -5.46605  0.00150466
          34    -5.46058    -5.46589  0.00146897
          35    -5.46227    -5.46579  0.00143062
          36    -5.46328    -5.46572  0.00139258
          37    -5.46851    -5.46579  0.00135699
          38    -5.46555    -5.46579  0.00132129
          39    -5.46762    -5.46583  0.00128825
          40    -5.44878    -5.46541  0.00132472
          41    -5.46163    -5.46531   0.0012956
          42    -5.45052    -5.46496  0.00131179
          43     -5.4726    -5.46514  0.00129325
          44    -5.46874    -5.46522  0.00126645
          45    -5.47949    -5.46554  0.00127737
          46    -5.46232    -5.46547  0.00125151
          47    -5.47492    -5.46567  0.00124095
          48    -5.47016    -5.46576  0.00121861
          49    -5.46451    -5.46574  0.00119401
          50     -5.4649    -5.46572  0.00117025
          51    -5.46435    -5.46569  0.00114761
          52    -5.47334    -5.46584  0.00113492
          53    -5.45095    -5.46556  0.00114777
          54    -5.47201    -5.46568  0.00113271
          55    -5.47708    -5.46589  0.00113091
          56    -5.45516    -5.46569  0.00112683
          57    -5.45833    -5.46557  0.00111444
          58    -5.46291    -5.46552  0.00109617
          59    -5.46808    -5.46556  0.00107845
          60     -5.4576    -5.46543   0.0010686
          61    -5.46842    -5.46548  0.00105221
          62    -5.45837    -5.46537  0.00104148
          63    -5.45251    -5.46516  0.00104473
          64    -5.46262    -5.46512  0.00102916
          65    -5.46253    -5.46508  0.00101409
          66    -5.44842    -5.46483  0.00102969
          67    -5.47073    -5.46492  0.00101808
          68    -5.46844    -5.46497  0.00100443
          69    -5.46914    -5.46503 0.000991685
          70    -5.46497    -5.46503 0.000977518
          71    -5.47616    -5.46519 0.000976234
          72    -5.46999    -5.46525 0.000964955
          73     -5.4577    -5.46515 0.000957262
          74    -5.46527    -5.46515 0.000944327
          75    -5.46708    -5.46518 0.000932087
          76    -5.46219    -5.46514  0.00092065
          77    -5.46088    -5.46508 0.000910353
          78    -5.46226    -5.46505 0.000899402
          79     -5.4569    -5.46494 0.000893904
          80    -5.44462    -5.46469 0.000918106
          81    -5.46485    -5.46469 0.000906773
          82    -5.46977    -5.46475 0.000897829
          83    -5.44546    -5.46452  0.00091661
          84    -5.46489    -5.46452 0.000905708
          85    -5.46467    -5.46453 0.000895054
          86     -5.4757    -5.46466 0.000894027
          87    -5.46937    -5.46471 0.000885394
          88    -5.47639    -5.46484  0.00088523
          89    -5.45816    -5.46477 0.000878461
          90    -5.47464    -5.46488 0.000875519
          91    -5.45657    -5.46479 0.000870644
          92    -5.45562    -5.46469 0.000866867
          93    -5.47275    -5.46477 0.000861875
          94    -5.44998    -5.46462 0.000866957
          95    -5.46395    -5.46461  0.00085786
          96    -5.45193    -5.46448 0.000859023
          97    -5.46011    -5.46443 0.000851346
          98     -5.4722    -5.46451 0.000846339
          99    -5.47244    -5.46459 0.000841566
         100    -5.46785    -5.46462 0.000833782
