#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.45456     1.45456           0
           2     1.39352     1.42404   0.0215782
           3     1.32901     1.39236   0.0295953
           4     1.36207     1.38479   0.0231453
           5      1.3802     1.38387   0.0185344
           6     1.41336     1.38879   0.0160836
           7     1.33287      1.3808   0.0156444
           8     1.52693     1.39906   0.0218943
           9     1.34898      1.3935   0.0201563
          10     1.39974     1.39412   0.0181504
          11      1.3804     1.39288   0.0165432
          12     1.39766     1.39327   0.0151694
          13     1.30767     1.38669   0.0153655
          14     1.32548     1.38232    0.014877
          15     1.42891     1.38542   0.0142058
          16     1.39436     1.38598   0.0133289
          17     1.35986     1.38445   0.0126331
          18     1.44978     1.38808   0.0124418
          19     1.35897     1.38654   0.0118809
          20     1.38592     1.38651   0.0112869
          21     1.35325     1.38493     0.01086
          22     1.39734     1.38549    0.010381
          23      1.3829     1.38538  0.00993029
          24     1.39554      1.3858  0.00952554
          25     1.40632     1.38662  0.00917979
          26     1.38568     1.38659  0.00882679
          27     1.38453     1.38651   0.0085002
          28     1.35137     1.38526  0.00828877
          29     1.37973     1.38507  0.00800514
          30     1.46805     1.38783  0.00820236
          31     1.37511     1.38742  0.00794804
          32      1.3925     1.38758  0.00770124
          33     1.42947     1.38885  0.00757179
          34     1.41819     1.38971   0.0073981
          35     1.40567     1.39017  0.00720075
          36     1.39217     1.39022  0.00700095
          37     1.39938     1.39047   0.0068161
          38     1.40263     1.39079  0.00664423
          39     1.37992     1.39051  0.00647971
          40      1.4835     1.39284  0.00672183
          41     1.40925     1.39324  0.00656978
          42     1.47731     1.39524  0.00671137
          43      1.3543     1.39429  0.00662248
          44      1.3882     1.39415  0.00647341
          45     1.30824     1.39224  0.00660504
          46     1.39253     1.39225  0.00646146
          47     1.34194     1.39118  0.00641202
          48     1.37466     1.39083  0.00628765
          49     1.38278     1.39067  0.00616148
          50     1.38093     1.39047  0.00604133
          51     1.38848     1.39043    0.005923
          52     1.34797     1.38962  0.00586512
          53      1.4782     1.39129  0.00598789
          54     1.34389     1.39041  0.00594098
          55     1.33729     1.38944  0.00591094
          56     1.42514     1.39008  0.00583965
          57      1.4482      1.3911  0.00582555
          58     1.42959     1.39177  0.00576278
          59     1.35474     1.39114  0.00569918
          60     1.42876     1.39176  0.00563858
          61     1.35325     1.39113  0.00558137
          62     1.42272     1.39164  0.00551455
          63     1.44405     1.39247  0.00548941
          64     1.41496     1.39283  0.00541487
          65     1.40201     1.39297  0.00533341
          66     1.48494     1.39436  0.00543162
          67     1.38471     1.39422  0.00535246
          68     1.37507     1.39394  0.00528115
          69      1.3601     1.39344  0.00522733
          70     1.39279     1.39344  0.00515266
          71     1.34589     1.39277  0.00512342
          72     1.36856     1.39243  0.00506328
          73     1.45126     1.39324  0.00505765
          74      1.3888     1.39318  0.00498966
          75     1.37238      1.3929  0.00493083
          76     1.40148     1.39301  0.00486724
          77     1.43001     1.39349   0.0048277
          78     1.42463     1.39389  0.00478228
          79     1.42375     1.39427  0.00473666
          80     1.49138     1.39548  0.00483048
          81      1.3879     1.39539  0.00477175
          82     1.36715     1.39504  0.00472597
          83     1.51666     1.39651  0.00489092
          84     1.38698      1.3964  0.00483401
          85     1.41342      1.3966  0.00478128
          86     1.33593     1.39589  0.00477743
          87      1.3753     1.39565  0.00472838
          88     1.34239     1.39505  0.00471324
          89     1.41167     1.39524  0.00466398
          90     1.35185     1.39475    0.004637
          91      1.4562     1.39543  0.00463495
          92      1.4157     1.39565   0.0045898
          93     1.35258     1.39519  0.00456376
          94     1.45269      1.3958  0.00455602
          95     1.39038     1.39574  0.00450842
          96     1.46191     1.39643  0.00451383
          97     1.42043     1.39668  0.00447407
          98      1.3633     1.39634  0.00444136
          99     1.34661     1.39583  0.00442481
         100     1.38864     1.39576  0.00438115
