#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.979       2.979           0
           2     2.97889     2.97895 3.79064e-05
           3     2.97857     2.97882 0.000105114
           4     2.97804     2.97863 0.000187349
           5     2.97729     2.97836 0.000282419
           6     2.97632     2.97802 0.000388967
           7     2.97514     2.97761 0.000506103
           8     2.97374     2.97712 0.000633224
           9     2.97211     2.97657 0.000769924
          10     2.97025     2.97593 0.000915935
          11     2.96816     2.97523   0.0010711
          12     2.96583     2.97444  0.00123534
          13     2.96325     2.97358  0.00140866
          14     2.96043     2.97264  0.00159102
          15     2.95734     2.97162  0.00178248
          16     2.95397     2.97052  0.00198323
          17     2.95034     2.96933  0.00219339
          18     2.94641     2.96806  0.00241312
          19     2.94218      2.9667  0.00264268
          20     2.93764     2.96524  0.00288237
          21     2.93277      2.9637  0.00313254
          22     2.92756     2.96206  0.00339355
          23       2.922     2.96031  0.00366579
          24     2.91606     2.95847  0.00394963
          25     2.90974     2.95652  0.00424546
          26     2.90301     2.95446  0.00455372
          27     2.89587     2.95229  0.00487485
          28     2.88828     2.95001  0.00520932
          29     2.88023      2.9476  0.00555763
          30     2.87171     2.94507  0.00592021
          31     2.86269     2.94241  0.00629754
          32     2.85315     2.93962  0.00669012
          33     2.84307      2.9367  0.00709847
          34     2.83242     2.93363  0.00752313
          35     2.82119     2.93042  0.00796465
          36     2.80935     2.92706  0.00842358
          37     2.79687     2.92354  0.00890043
          38     2.78375     2.91986  0.00939565
          39     2.76997     2.91601  0.00990969
          40     2.75549       2.912    0.010443
          41     2.74031     2.90781   0.0109959
          42      2.7244     2.90345   0.0115688
          43     2.70775      2.8989   0.0121621
          44     2.69035     2.89416   0.0127759
          45     2.67219     2.88922   0.0134104
          46     2.65325     2.88409   0.0140658
          47     2.63354     2.87876   0.0147422
          48     2.61306     2.87323   0.0154394
          49      2.5918     2.86748   0.0161572
          50     2.56979     2.86153   0.0168955
          51     2.54703     2.85536   0.0176538
          52     2.52353     2.84898   0.0184316
          53     2.49934     2.84239   0.0192283
          54     2.47446     2.83557    0.020043
          55     2.44895     2.82854   0.0208749
          56     2.42283      2.8213    0.021723
          57     2.39616     2.81384   0.0225861
          58     2.36898     2.80617   0.0234629
          59     2.34135     2.79829    0.024352
          60     2.31333     2.79021   0.0252519
          61     2.28498     2.78193    0.026161
          62     2.25635     2.77345   0.0270776
          63     2.22753     2.76478   0.0280001
          64     2.19856     2.75594   0.0289265
          65     2.16953     2.74691   0.0298552
          66      2.1405     2.73773   0.0307843
          67     2.11152     2.72838   0.0317119
          68     2.08268     2.71888   0.0326362
          69     2.05402     2.70925   0.0335555
          70     2.02562     2.69948   0.0344681
          71     1.99752      2.6896   0.0353722
          72      1.9698      2.6796   0.0362661
          73      1.9425      2.6695   0.0371484
          74     1.91568     2.65931   0.0380174
          75     1.88939     2.64905   0.0388718
          76     1.86369     2.63872   0.0397101
          77     1.83862     2.62832   0.0405311
          78     1.81424     2.61789   0.0413334
          79     1.79059     2.60742   0.0421159
          80     1.76772     2.59692   0.0428775
          81     1.74568     2.58641    0.043617
          82     1.72452      2.5759   0.0443334
          83     1.70427      2.5654   0.0450259
          84     1.68499     2.55492   0.0456934
          85     1.66672     2.54447   0.0463353
          86     1.64948     2.53406   0.0469506
          87     1.63333     2.52371   0.0475388
          88      1.6183     2.51342   0.0480991
          89      1.6044      2.5032    0.048631
          90     1.59167     2.49308    0.049134
          91     1.58013     2.48304   0.0496077
          92     1.56979     2.47312   0.0500518
          93     1.56065     2.46331   0.0504661
          94     1.55271     2.45362   0.0508505
          95     1.54596     2.44406   0.0512049
          96     1.54037     2.43465   0.0515295
          97     1.53592     2.42539   0.0518246
          98     1.53257     2.41628   0.0520904
          99     1.53026     2.40733   0.0523274
         100     1.52894     2.39854   0.0525362
         101     1.52855     2.38993   0.0527174
         102     1.52901     2.38149   0.0528719
         103     1.53025     2.37322   0.0530006
         104     1.53219     2.36514   0.0531043
         105     1.53474     2.35723   0.0531842
         106     1.53782      2.3495   0.0532413
         107     1.54135     2.34195   0.0532767
         108     1.54525     2.33457   0.0532917
         109     1.54943     2.32737   0.0532874
         110     1.55382     2.32033   0.0532649
         111     1.55835     2.31347   0.0532256
         112     1.56295     2.30677   0.0531705
         113     1.56757     2.30023   0.0531008
         114     1.57215     2.29384   0.0530177
         115     1.57666      2.2876   0.0529222
         116     1.58104     2.28151   0.0528153
         117     1.58528     2.27556   0.0526981
         118     1.58934     2.26975   0.0525714
         119     1.59321     2.26406   0.0524361
         120     1.59688      2.2585   0.0522931
         121     1.60033     2.25306    0.052143
         122     1.60357     2.24774   0.0519867
         123      1.6066     2.24252   0.0518247
         124     1.60942     2.23742   0.0516577
         125     1.61204     2.23242   0.0514861
         126     1.61447     2.22751   0.0513105
         127     1.61673      2.2227   0.0511314
         128     1.61882     2.21798   0.0509491
         129     1.62077     2.21336   0.0507641
