#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79299    -6.79299           0
           2    -6.79266    -6.79283 0.000113597
           3    -6.79213    -6.79259  0.00020392
           4    -6.79138    -6.79229 0.000303916
           5    -6.79042    -6.79191 0.000414202
           6    -6.78923    -6.79147 0.000534476
           7    -6.78783    -6.79095 0.000664385
           8     -6.7862    -6.79036 0.000803651
           9    -6.78435    -6.78969 0.000952082
          10    -6.78226    -6.78894  0.00110957
          11    -6.77993    -6.78812  0.00127608
          12    -6.77735    -6.78723  0.00145162
          13    -6.77422    -6.78623   0.0016491
          14    -6.77113    -6.78515  0.00185052
          15    -6.76762    -6.78398   0.0020634
          16    -6.76353     -6.7827  0.00229644
          17    -6.75915    -6.78132  0.00254519
          18    -6.75462    -6.77983  0.00280275
          19    -6.74978    -6.77825  0.00306932
          20    -6.74446    -6.77656   0.0033488
          21     -6.7391    -6.77478  0.00363357
          22    -6.73293    -6.77288   0.0039349
          23    -6.72639    -6.77085  0.00425128
          24    -6.71947    -6.76871   0.0045817
          25    -6.71199    -6.76644  0.00492835
          26    -6.70424    -6.76405  0.00528776
          27    -6.69605    -6.76153  0.00566007
          28    -6.68709    -6.75887  0.00605015
          29    -6.67797    -6.75608  0.00645279
          30    -6.66789    -6.75314  0.00687482
          31    -6.65775    -6.75007  0.00730941
          32    -6.64661    -6.74683  0.00776312
          33    -6.63536    -6.74346  0.00823003
          34    -6.62338    -6.73992  0.00871286
          35    -6.61139    -6.73625  0.00920543
          36    -6.59877    -6.73243  0.00970966
          37    -6.58489    -6.72845   0.0102333
          38     -6.5705    -6.72429   0.0107751
          39    -6.55527    -6.71996   0.0113369
          40    -6.53904    -6.71543   0.0119216
          41    -6.52237    -6.71072   0.0125263
          42    -6.50512    -6.70583   0.0131498
          43    -6.48727    -6.70075   0.0137914
          44    -6.46866    -6.69547   0.0144515
          45    -6.44927       -6.69   0.0151306
          46    -6.42956    -6.68434   0.0158255
          47    -6.40968    -6.67849   0.0165326
          48    -6.38828    -6.67245   0.0172584
          49    -6.36626     -6.6662   0.0180019
          50    -6.34335    -6.65974   0.0187642
          51       -6.32    -6.65308    0.019543
          52     -6.2955     -6.6462    0.020341
          53    -6.27002    -6.63911   0.0211594
          54    -6.24466     -6.6318   0.0219923
          55    -6.21854    -6.62429     0.02284
          56    -6.19216    -6.61657   0.0236998
          57    -6.16529    -6.60865   0.0245709
          58    -6.13766    -6.60053   0.0254539
          59    -6.10933    -6.59221   0.0263488
          60    -6.08143     -6.5837   0.0272502
          61     -6.0525    -6.57499   0.0281605
          62    -6.02367    -6.56609   0.0290764
          63    -5.99485    -6.55703   0.0299954
          64    -5.96657     -6.5478    0.030913
          65    -5.93753    -6.53841   0.0318312
          66    -5.90916    -6.52888   0.0327457
          67    -5.87971    -6.51919   0.0336599
          68    -5.85105    -6.50936   0.0345692
          69    -5.82309    -6.49942   0.0354702
          70    -5.79515    -6.48936   0.0363624
          71    -5.76712    -6.47918   0.0372459
          72    -5.74042    -6.46892   0.0381157
          73    -5.71345    -6.45858   0.0389732
          74     -5.6867    -6.44814   0.0398179
          75    -5.66115    -6.43765   0.0406462
          76    -5.63683    -6.42711   0.0414547
          77    -5.61245    -6.41653   0.0422448
          78     -5.5891    -6.40593   0.0430145
          79    -5.56668     -6.3953   0.0437622
          80    -5.54464    -6.38467   0.0444883
          81    -5.52347    -6.37404   0.0451916
          82    -5.50368    -6.36342   0.0458701
          83    -5.48439    -6.35283    0.046524
          84    -5.46566    -6.34227   0.0471537
          85    -5.44843    -6.33175   0.0477571
          86    -5.43288     -6.3213    0.048332
          87    -5.41799    -6.31092    0.048879
          88    -5.40425    -6.30062   0.0493975
          89    -5.39182    -6.29041   0.0498867
          90    -5.38012    -6.28029   0.0503473
          91    -5.37054    -6.27029   0.0507769
          92     -5.3617    -6.26042   0.0511764
          93    -5.35391    -6.25067    0.051546
          94    -5.34701    -6.24106   0.0518864
          95    -5.34188    -6.23159   0.0521964
          96    -5.33713    -6.22227   0.0524777
          97    -5.33378    -6.21312     0.05273
          98    -5.33147    -6.20412   0.0529538
          99    -5.32986    -6.19529   0.0531502
         100    -5.32977    -6.18663   0.0533187
         101    -5.33039    -6.17816   0.0534605
         102    -5.33179    -6.16986   0.0535765
