#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.986       1.986           0
           2     1.98593     1.98596 2.52709e-05
           3     1.98571     1.98588 7.00759e-05
           4     1.98536     1.98575 0.000124899
           5     1.98486     1.98557  0.00018828
           6     1.98421     1.98535 0.000259312
           7     1.98343     1.98507 0.000337402
           8     1.98249     1.98475  0.00042215
           9     1.98141     1.98438 0.000513283
          10     1.98017     1.98396 0.000610623
          11     1.97877     1.98349 0.000714066
          12     1.97722     1.98296 0.000823561
          13      1.9755     1.98239 0.000939106
          14     1.97362     1.98176  0.00106068
          15     1.97156     1.98108  0.00118832
          16     1.96932     1.98035  0.00132215
          17     1.96689     1.97956  0.00146226
          18     1.96427     1.97871  0.00160875
          19     1.96145      1.9778  0.00176178
          20     1.95843     1.97683  0.00192158
          21     1.95518      1.9758  0.00208836
          22     1.95171      1.9747  0.00226237
          23       1.948     1.97354  0.00244386
          24     1.94404     1.97231  0.00263308
          25     1.93983     1.97101  0.00283031
          26     1.93534     1.96964  0.00303581
          27     1.93058      1.9682   0.0032499
          28     1.92552     1.96667  0.00347288
          29     1.92015     1.96507  0.00370509
          30     1.91447     1.96338  0.00394681
          31     1.90846     1.96161  0.00419836
          32      1.9021     1.95975  0.00446008
          33     1.89538      1.9578  0.00473231
          34     1.88828     1.95575  0.00501542
          35     1.88079     1.95361  0.00530977
          36      1.8729     1.95137  0.00561572
          37     1.86458     1.94902  0.00593362
          38     1.85584     1.94657  0.00626377
          39     1.84664     1.94401  0.00660646
          40     1.83699     1.94133  0.00696199
          41     1.82687     1.93854   0.0073306
          42     1.81627     1.93563  0.00771256
          43     1.80517      1.9326  0.00810805
          44     1.79357     1.92944  0.00851724
          45     1.78146     1.92615  0.00894027
          46     1.76884     1.92273  0.00937722
          47      1.7557     1.91918  0.00982811
          48     1.74204     1.91549   0.0102929
          49     1.72787     1.91166   0.0107715
          50     1.71319     1.90769   0.0112637
          51     1.69802     1.90358   0.0117692
          52     1.68236     1.89932   0.0122877
          53     1.66622     1.89492   0.0128188
          54     1.64964     1.89038    0.013362
          55     1.63263     1.88569   0.0139166
          56     1.61522     1.88086    0.014482
          57     1.59744     1.87589   0.0150574
          58     1.57932     1.87078   0.0156419
          59      1.5609     1.86553   0.0162347
          60     1.54222     1.86014   0.0168346
          61     1.52332     1.85462   0.0174406
          62     1.50424     1.84897   0.0180517
          63     1.48502     1.84319   0.0186667
          64     1.46571     1.83729   0.0192843
          65     1.44635     1.83128   0.0199035
          66       1.427     1.82515   0.0205228
          67     1.40768     1.81892   0.0211412
          68     1.38845     1.81259   0.0217575
          69     1.36935     1.80617   0.0223704
          70     1.35041     1.79965   0.0229787
          71     1.33168     1.79306   0.0235814
          72      1.3132      1.7864   0.0241774
          73       1.295     1.77967   0.0247656
          74     1.27712     1.77288   0.0253449
          75      1.2596     1.76603   0.0259145
          76     1.24246     1.75914   0.0264734
          77     1.22575     1.75222   0.0270207
          78     1.20949     1.74526   0.0275556
