#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81399    -3.81399           0
           2    -3.81377    -3.81388 7.56903e-05
           3    -3.81356    -3.81377 0.000100839
           4    -3.81334    -3.81366 0.000119618
           5    -3.81313    -3.81356 0.000135526
           6    -3.81291    -3.81345 0.000149782
           7    -3.81269    -3.81334 0.000162987
           8    -3.81247    -3.81323 0.000175491
           9    -3.81224    -3.81312  0.00018753
          10      -3.812    -3.81301 0.000199269
          11    -3.81177     -3.8129 0.000210835
          12    -3.81152    -3.81278 0.000222329
          13    -3.81097    -3.81264 0.000245219
          14    -3.81071     -3.8125 0.000263832
          15    -3.81028    -3.81236 0.000284746
          16    -3.80955    -3.81218 0.000316235
          17    -3.80881    -3.81198 0.000354282
          18    -3.80821    -3.81177 0.000391648
          19     -3.8076    -3.81155 0.000428306
          20    -3.80682    -3.81132 0.000467804
          21    -3.80633    -3.81108 0.000502293
          22    -3.80537    -3.81082 0.000542422
          23    -3.80439    -3.81054  0.00058639
          24     -3.8034    -3.81024 0.000632848
          25    -3.80225    -3.80992 0.000683581
          26    -3.80122    -3.80959 0.000734642
          27    -3.80018    -3.80924 0.000785749
          28    -3.79881    -3.80887 0.000841288
          29    -3.79774    -3.80848 0.000895571
          30    -3.79618    -3.80807 0.000954969
          31    -3.79506    -3.80765  0.00101222
          32    -3.79346    -3.80721  0.00107332
          33     -3.7923    -3.80676  0.00113194
          34    -3.79096    -3.80629  0.00119023
          35     -3.7902    -3.80583  0.00124189
          36    -3.78942    -3.80538  0.00128838
          37    -3.78802    -3.80491  0.00133625
          38    -3.78675    -3.80443   0.0013839
          39    -3.78531    -3.80394  0.00143266
          40    -3.78355    -3.80343  0.00148479
          41    -3.78207    -3.80291  0.00153729
          42    -3.78072    -3.80238  0.00158885
          43    -3.77952    -3.80185  0.00163843
          44    -3.77831    -3.80131  0.00168631
          45    -3.77708    -3.80078  0.00173268
          46    -3.77631    -3.80024  0.00177478
          47    -3.77614    -3.79973  0.00180963
          48    -3.77522    -3.79922  0.00184259
          49    -3.77445    -3.79872  0.00187302
          50    -3.77356    -3.79821  0.00190195
          51    -3.77298    -3.79772  0.00192794
          52    -3.77197    -3.79722  0.00195341
          53    -3.77069    -3.79672  0.00197968
          54    -3.77019    -3.79623  0.00200304
          55    -3.76959    -3.79575  0.00202434
          56    -3.76934    -3.79527  0.00204238
          57    -3.76913    -3.79482  0.00205741
          58    -3.76868    -3.79436  0.00207071
          59    -3.76798    -3.79392  0.00208334
          60     -3.7681    -3.79349  0.00209259
          61    -3.76752    -3.79306  0.00210113
          62    -3.76732    -3.79265  0.00210788
          63    -3.76733    -3.79224  0.00211239
          64    -3.76801    -3.79187  0.00211306
          65      -3.768     -3.7915   0.0021122
          66    -3.76866    -3.79115  0.00210834
          67    -3.76818    -3.79081  0.00210456
          68    -3.76837    -3.79048  0.00209933
          69    -3.76907    -3.79017   0.0020917
          70    -3.76953    -3.78987   0.0020825
          71     -3.7696    -3.78959  0.00207266
          72    -3.77062    -3.78933  0.00206055
          73    -3.77095    -3.78907  0.00204765
          74    -3.77102    -3.78883  0.00203445
          75    -3.77176     -3.7886  0.00202003
          76    -3.77314     -3.7884  0.00200366
          77    -3.77383    -3.78821  0.00198656
          78    -3.77486    -3.78804  0.00196845
          79    -3.77609    -3.78789  0.00194933
          80    -3.77692    -3.78775  0.00192978
          81    -3.77779    -3.78763  0.00190987
          82    -3.77916    -3.78752  0.00188937
          83    -3.78012    -3.78743  0.00186871
          84    -3.78067    -3.78735   0.0018482
          85    -3.78171    -3.78729  0.00182765
          86    -3.78339    -3.78724  0.00180696
          87    -3.78466    -3.78721  0.00178643
          88    -3.78595     -3.7872  0.00176619
          89    -3.78742     -3.7872  0.00174635
          90    -3.78845    -3.78721    0.001727
          91     -3.7904    -3.78725  0.00170838
          92    -3.79191     -3.7873  0.00169056
          93    -3.79326    -3.78736   0.0016736
          94     -3.7943    -3.78744  0.00165742
          95    -3.79592    -3.78753  0.00164237
          96    -3.79676    -3.78762  0.00162808
          97    -3.79786    -3.78773  0.00161471
          98    -3.79891    -3.78784  0.00160225
          99     -3.7996    -3.78796  0.00159046
         100    -3.80083    -3.78809  0.00157975
         101    -3.80184    -3.78823  0.00156997
         102    -3.80277    -3.78837  0.00156104
         103    -3.80348    -3.78852  0.00155276
         104     -3.8041    -3.78867  0.00154504
         105    -3.80478    -3.78882  0.00153793
