#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263 0.000213975 0.000213975           0
           1    0.884913  0.00242102  0.00242102           0
           1    0.910562   0.0285646   0.0285646           0
           1    0.936212    0.180527    0.180527           0
           1    0.961861    0.561256    0.561256           0
           1    0.987511      1.1948      1.1948           0
           1     1.01316     1.84317     1.84317           0
           1     1.03881     2.32181     2.32181           0
           1     1.06446     2.53372     2.53372           0
           1     1.09011     2.56171     2.56171           0
           1     1.11576     2.41859     2.41859           0
           1     1.14141     2.16939     2.16939           0
           1     1.16706     1.98709     1.98709           0
           1     1.19271     1.78195     1.78195           0
           1     1.21836     1.58163     1.58163           0
           1     1.24401     1.38582     1.38582           0
           1     1.26966     1.25065     1.25065           0
           1     1.29531     1.12511     1.12511           0
           1     1.32096     1.02332     1.02332           0
           1     1.34661    0.952355    0.952355           0
           1     1.37226    0.879759    0.879759           0
           1     1.39791    0.816886    0.816886           0
           1     1.42355     0.78836     0.78836           0
           1      1.4492    0.754998    0.754998           0
           1     1.47485    0.719543    0.719543           0
           1      1.5005    0.696143    0.696143           0
           1     1.52615    0.672361    0.672361           0
           1      1.5518    0.660213    0.660213           0
           1     1.57745    0.644909    0.644909           0
           1      1.6031    0.663515    0.663515           0
           1     1.62875     0.67465     0.67465           0
           1      1.6544    0.686565    0.686565           0
           1     1.68005     0.71247     0.71247           0
           1      1.7057    0.745183    0.745183           0
           1     1.73135    0.766631    0.766631           0
           1       1.757    0.809512    0.809512           0
           1     1.78265    0.850045    0.850045           0
           1      1.8083    0.892722    0.892722           0
           1     1.83395    0.934011    0.934011           0
           1      1.8596    0.982546    0.982546           0
           1     1.88525     1.01404     1.01404           0
           1      1.9109     1.05624     1.05624           0
           1     1.93655     1.09521     1.09521           0
           1      1.9622     1.13377     1.13377           0
           1     1.98785     1.16247     1.16247           0
           1      2.0135     1.18266     1.18266           0
           1     2.03915     1.21061     1.21061           0
           1      2.0648     1.21081     1.21081           0
           1     2.09045      1.2272      1.2272           0
           1      2.1161     1.21918     1.21918           0
           1     2.14174     1.21381     1.21381           0
           1     2.16739     1.15384     1.15384           0
           1     2.19304     1.14171     1.14171           0
           1     2.21869     1.11697     1.11697           0
           1     2.24434     1.11216     1.11216           0
           1     2.26999     1.09247     1.09247           0
           1     2.29564     1.04697     1.04697           0
           1     2.32129     1.01839     1.01839           0
           1     2.34694    0.995017    0.995017           0
           1     2.37259    0.972808    0.972808           0
           1     2.39824    0.950623    0.950623           0
           1     2.42389    0.939326    0.939326           0
           1     2.44954    0.919681    0.919681           0
           1     2.47519    0.898079    0.898079           0
           1     2.50084    0.894987    0.894987           0
           1     2.52649    0.882555    0.882555           0
           1     2.55214    0.894306    0.894306           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263 0.000155618 0.000184797 2.06323e-05
           2    0.884913  0.00155899     0.00199 0.000304773
           2    0.910562   0.0285126   0.0285386 1.83731e-05
           2    0.936212     0.16868    0.174604  0.00418864
           2    0.961861    0.583765    0.572511  0.00795843
           2    0.987511     1.21027     1.20253  0.00546753
           2     1.01316     1.86753     1.85535   0.0086125
           2     1.03881     2.34957     2.33569  0.00981589
           2     1.06446     2.51973     2.52672  0.00494317
           2     1.09011     2.52504     2.54338   0.0129648
           2     1.11576     2.40851     2.41355  0.00356502
           2     1.14141     2.20847     2.18893   0.0138174
           2     1.16706     1.99122     1.98916  0.00145775
           2     1.19271     1.74732     1.76463   0.0122439
           2     1.21836     1.53063     1.55613   0.0180317
           2     1.24401     1.38929     1.38755  0.00122721
           2     1.26966     1.22395      1.2373  0.00944081
           2     1.29531      1.1153     1.12021  0.00347148
           2     1.32096     1.00524     1.01428  0.00639366
           2     1.34661    0.958652    0.955504   0.0022263
           2     1.37226    0.884884    0.882322  0.00181216
           2     1.39791    0.817379    0.817133 0.000174107
           2     1.42355    0.773264    0.780812   0.0053374
           2      1.4492    0.741402      0.7482   0.0048068
           2     1.47485     0.71016    0.714852  0.00331738
           2      1.5005    0.699078     0.69761  0.00103749
           2     1.52615    0.677011    0.674686   0.0016439
           2      1.5518    0.688741    0.674477   0.0100862
           2     1.57745    0.676569    0.660739   0.0111935
           2      1.6031    0.668064     0.66579  0.00160843
           2     1.62875     0.68818    0.681415  0.00478363
           2      1.6544    0.706826    0.696696   0.0071634
           2     1.68005    0.728031    0.720251  0.00550166
           2      1.7057    0.754696    0.749939  0.00336339
           2     1.73135    0.785188     0.77591  0.00656114
           2       1.757    0.808474    0.808993 0.000366829
           2     1.78265    0.835537    0.842791  0.00512951
           2      1.8083    0.893473    0.893098 0.000265557
           2     1.83395     0.91956    0.926785  0.00510927
           2      1.8596    0.956001    0.969274  0.00938498
           2     1.88525     1.02196       1.018  0.00280041
