#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65374     1.65374           0
           2     1.64116     1.64745  0.00445104
           3      1.6518      1.6489  0.00319435
           4     1.63199     1.64467  0.00437418
           5     1.63538     1.64281  0.00387411
           6     1.63905     1.64219  0.00327872
           7     1.64698     1.64287  0.00288081
           8     1.64797     1.64351  0.00259026
           9     1.64236     1.64338  0.00230561
          10     1.64641     1.64368   0.0020949
          11     1.64898     1.64417  0.00195897
          12     1.62922     1.64292  0.00215561
          13     1.64578     1.64314  0.00200101
          14     1.64406     1.64321  0.00185916
          15     1.64825     1.64354  0.00176539
          16     1.62091     1.64213  0.00214825
          17     1.64253     1.64215  0.00202201
          18     1.65151     1.64267  0.00197536
          19      1.6441     1.64275  0.00187281
          20     1.65081     1.64315  0.00182206
          21     1.64796     1.64338  0.00174963
          22     1.66028     1.64415  0.00183095
          23     1.64656     1.64425  0.00175434
          24     1.65142     1.64455  0.00170645
          25      1.6538     1.64492  0.00167786
          26     1.64895     1.64508  0.00162048
          27     1.67148     1.64605  0.00183188
          28     1.65318     1.64631  0.00178406
          29     1.64551     1.64628  0.00172275
          30     1.64993      1.6464  0.00166961
          31     1.63447     1.64602  0.00165953
          32     1.64115     1.64586  0.00161462
          33     1.65008     1.64599  0.00157073
          34     1.64361     1.64592   0.0015261
          35     1.65302     1.64613   0.0014959
          36     1.65848     1.64647  0.00149321
          37      1.6474     1.64649  0.00145306
          38     1.66415     1.64696  0.00148725
          39     1.65082     1.64706  0.00145242
          40     1.64687     1.64705  0.00141611
          41     1.64738     1.64706   0.0013816
          42     1.64486     1.64701  0.00134969
          43     1.65378     1.64717  0.00132745
          44     1.64272     1.64706  0.00130112
          45     1.65023     1.64713  0.00127411
          46     1.64731     1.64714  0.00124641
          47      1.6546      1.6473  0.00122997
          48     1.64767     1.64731  0.00120437
          49     1.64857     1.64733  0.00118007
          50     1.65948     1.64757  0.00118121
          51     1.64623     1.64755  0.00115834
          52     1.64585     1.64751  0.00113652
          53     1.65796     1.64771  0.00113202
          54     1.64888     1.64773  0.00111127
          55     1.65644     1.64789  0.00110227
          56     1.64306     1.64781  0.00108596
          57     1.64817     1.64781  0.00106693
          58     1.65309      1.6479   0.0010524
          59     1.62761     1.64756  0.00108931
          60     1.66324     1.64782  0.00110205
          61     1.65511     1.64794  0.00109044
          62     1.63657     1.64776  0.00108815
          63     1.64971     1.64779  0.00107132
          64     1.64273     1.64771  0.00105749
          65     1.62716     1.64739  0.00108743
          66     1.64337     1.64733  0.00107266
          67     1.65136     1.64739  0.00105834
          68      1.6378     1.64725  0.00105213
          69     1.65078      1.6473  0.00103812
          70     1.63879     1.64718  0.00103039
          71     1.64875      1.6472  0.00101612
          72     1.63619     1.64705  0.00101345
          73     1.64951     1.64708  0.00100013
          74     1.66744     1.64736  0.00102375
          75     1.65469     1.64746  0.00101476
          76      1.6473     1.64745  0.00100141
          77     1.65955     1.64761  0.00100065
          78     1.64335     1.64756 0.000989307
          79     1.64716     1.64755 0.000976797
          80     1.64718     1.64755 0.000964598
          81     1.65556     1.64765 0.000957747
          82     1.64893     1.64766 0.000946196
          83     1.63404      1.6475  0.00094892
          84     1.65304     1.64756 0.000939911
          85     1.64562     1.64754 0.000929131
          86     1.65963     1.64768   0.0009289
          87     1.63765     1.64757 0.000925344
          88     1.65669     1.64767 0.000920616
          89     1.64514     1.64764 0.000910709
          90     1.62594      1.6474 0.000931965
          91     1.65488     1.64748 0.000925342
          92     1.62895     1.64728 0.000936959
          93     1.63302     1.64713 0.000939345
          94     1.63867     1.64704 0.000933649
          95     1.66147     1.64719   0.0009361
          96     1.65076     1.64723 0.000927089
          97     1.64738     1.64723 0.000917533
          98     1.64985     1.64725  0.00090856
          99      1.6492     1.64727 0.000899594
         100      1.6499      1.6473  0.00089098
