#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46153    -5.46153           0
           2    -5.44882    -5.45517  0.00449288
           3    -5.45851    -5.45628  0.00312968
           4    -5.43823    -5.45177  0.00455942
           5    -5.44212    -5.44984  0.00403564
           6    -5.44608    -5.44921  0.00341127
           7     -5.4535    -5.44982  0.00297844
           8    -5.45374    -5.45031  0.00264606
           9    -5.44898    -5.45017  0.00235619
          10    -5.45272    -5.45042  0.00213439
          11    -5.45603    -5.45093  0.00200036
          12    -5.43642    -5.44972   0.0021685
          13    -5.45277    -5.44996  0.00201435
          14    -5.45026    -5.44998  0.00187058
          15    -5.45441    -5.45027  0.00176903
          16    -5.42682    -5.44881  0.00218299
          17    -5.44916    -5.44883  0.00205468
          18    -5.45871    -5.44938  0.00201252
          19    -5.45059    -5.44944   0.0019076
          20    -5.45638    -5.44979  0.00184351
          21    -5.45465    -5.45002  0.00177022
          22    -5.46753    -5.45082  0.00186019
          23    -5.45252    -5.45089  0.00178078
          24    -5.45751    -5.45117  0.00172781
          25     -5.4607    -5.45155  0.00170028
          26    -5.45538    -5.45169  0.00164125
          27     -5.4779    -5.45266  0.00184527
          28    -5.46045    -5.45294  0.00180018
          29    -5.45186    -5.45291  0.00173849
          30    -5.45698    -5.45304  0.00168584
          31    -5.44173    -5.45268  0.00167045
          32    -5.44782    -5.45252  0.00162515
          33    -5.45591    -5.45263  0.00157913
          34    -5.45036    -5.45256  0.00153409
          35    -5.46029    -5.45278  0.00150606
          36    -5.46467    -5.45311  0.00150002
          37    -5.45413    -5.45314  0.00145973
          38     -5.4717    -5.45363  0.00150081
          39    -5.45652     -5.4537  0.00146416
          40    -5.45359     -5.4537  0.00142755
          41     -5.4548    -5.45373  0.00139299
          42    -5.45117    -5.45366  0.00136116
          43    -5.46049    -5.45382  0.00133873
          44    -5.44936    -5.45372  0.00131214
          45    -5.45702     -5.4538  0.00128503
          46    -5.45309    -5.45378  0.00125719
          47     -5.4616    -5.45395   0.0012414
          48    -5.45435    -5.45395  0.00121556
          49    -5.45487    -5.45397   0.0011909
          50    -5.46617    -5.45422  0.00119179
          51    -5.45365    -5.45421  0.00116848
          52    -5.45153    -5.45415  0.00114714
          53    -5.46555    -5.45437  0.00114545
          54    -5.45428    -5.45437  0.00112424
          55    -5.46341    -5.45453  0.00111577
          56    -5.44997    -5.45445  0.00109882
          57    -5.45508    -5.45446  0.00107959
          58    -5.46047    -5.45457  0.00106594
          59    -5.43456    -5.45423  0.00110048
          60    -5.47027    -5.45449  0.00111413
          61    -5.46175    -5.45461   0.0011022
          62    -5.44338    -5.45443  0.00109921
          63    -5.45651    -5.45446  0.00108226
          64    -5.44956    -5.45439  0.00106806
          65    -5.43314    -5.45406   0.0011005
          66    -5.44985      -5.454  0.00108567
          67    -5.45747    -5.45405   0.0010707
          68    -5.44448    -5.45391  0.00106416
          69    -5.45725    -5.45396  0.00104984
          70    -5.44407    -5.45382   0.0010443
          71    -5.45512    -5.45383  0.00102975
          72    -5.44295    -5.45368  0.00102649
          73    -5.45555    -5.45371  0.00101274
          74    -5.47461    -5.45399  0.00103771
          75    -5.46201     -5.4541  0.00102936
          76    -5.45395     -5.4541  0.00101582
          77    -5.46649    -5.45426   0.0010153
          78    -5.44917    -5.45419  0.00100438
          79    -5.45363    -5.45418 0.000991696
          80    -5.45411    -5.45418   0.0009793
          81    -5.46321     -5.4543 0.000973528
          82    -5.45576    -5.45431 0.000961819
          83    -5.44034    -5.45414 0.000964858
          84    -5.46007    -5.45422 0.000955948
          85    -5.45255     -5.4542 0.000944902
          86      -5.466    -5.45433 0.000943827
          87    -5.44417    -5.45422 0.000940174
          88    -5.46387    -5.45433 0.000935869
          89    -5.45116    -5.45429 0.000926028
          90    -5.43219    -5.45404  0.00094773
          91    -5.46197    -5.45413 0.000941309
          92    -5.43551    -5.45393 0.000952595
          93    -5.43942    -5.45377 0.000955048
          94     -5.4452    -5.45368  0.00094923
          95    -5.46854    -5.45384 0.000952039
          96    -5.45687    -5.45387 0.000942647
          97     -5.4542    -5.45387 0.000932935
          98    -5.45686     -5.4539 0.000923913
          99     -5.4563    -5.45393 0.000914899
         100    -5.45619    -5.45395  0.00090603
