#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41007     1.41007           0
           2     1.45024     1.43015   0.0142023
           3     1.46749      1.4426    0.013889
           4     1.54003     1.46696   0.0235268
           5     1.43349     1.46026   0.0197509
           6     1.48134     1.46377   0.0167684
           7     1.45649     1.46273   0.0144052
           8      1.5208     1.46999   0.0143169
           9     1.49963     1.47329   0.0130993
          10     1.48725     1.47468   0.0118636
          11     1.43798     1.47135   0.0112445
          12     1.48685     1.47264   0.0103814
          13     1.45675     1.47142  0.00965448
          14      1.4463     1.46962  0.00913007
          15     1.42081     1.46637  0.00908274
          16     1.58758     1.47394   0.0112387
          17     1.46907     1.47366   0.0105813
          18     1.40546     1.46987   0.0106501
          19     1.45733     1.46921     0.01011
          20     1.47081     1.46929  0.00960483
          21     1.47344     1.46949  0.00914949
          22     1.34529     1.46384   0.0103295
          23     1.47902      1.4645  0.00990146
          24     1.44865     1.46384  0.00951089
          25     1.36785        1.46  0.00987507
          26     1.47636     1.46063  0.00951527
          27     1.37338      1.4574  0.00969606
          28     1.39735     1.45525  0.00958398
          29     1.47884     1.45607  0.00928795
          30     1.42815     1.45514  0.00902486
          31       1.477     1.45584  0.00876126
          32     1.45194     1.45572  0.00848832
          33     1.43098     1.45497  0.00826415
          34     1.46882     1.45538  0.00803112
          35     1.41743     1.45429   0.0078745
          36     1.41082     1.45309   0.0077478
          37     1.47059     1.45356  0.00755283
          38     1.38728     1.45181  0.00755278
          39     1.44768     1.45171  0.00735986
          40     1.43936      1.4514  0.00718233
          41     1.41238     1.45045  0.00706993
          42     1.45101     1.45046  0.00690161
          43     1.42311     1.44983  0.00677036
          44     1.51223     1.45124   0.0067634
          45     1.42366     1.45063  0.00664082
          46     1.48684     1.45142  0.00654294
          47     1.39438      1.4502   0.0065153
          48     1.43493     1.44989  0.00638733
          49     1.47401     1.45038  0.00627592
          50     1.41258     1.44962  0.00619577
          51     1.40398     1.44873  0.00613858
          52     1.49659     1.44965  0.00608914
          53     1.37338     1.44821  0.00614194
          54     1.46423     1.44851  0.00603536
          55     1.41963     1.44798  0.00594842
          56     1.46256     1.44824  0.00584789
          57      1.4546     1.44835  0.00574636
          58     1.44379     1.44827  0.00564782
          59     1.49061     1.44899  0.00559749
          60     1.37051     1.44768  0.00565497
          61     1.42299     1.44728  0.00557673
          62     1.50357     1.44819   0.0055602
          63     1.42763     1.44786  0.00548151
          64     1.42623     1.44752  0.00540627
          65     1.48983     1.44817  0.00536214
          66     1.46015     1.44835  0.00528396
          67     1.42022     1.44793  0.00522176
          68     1.49032     1.44856  0.00518205
          69     1.44047     1.44844  0.00510827
          70     1.50601     1.44926  0.00510106
          71      1.4147     1.44878  0.00505239
          72     1.43667     1.44861  0.00498502
          73     1.42055     1.44822  0.00493152
          74     1.32286     1.44653  0.00514763
          75     1.37299     1.44555  0.00517153
          76      1.4563     1.44569  0.00510542
          77     1.40359     1.44514  0.00506831
          78       1.459     1.44532  0.00500645
          79     1.43743     1.44522  0.00494407
          80     1.51791     1.44613  0.00496507
          81     1.37261     1.44522  0.00498604
          82     1.41232     1.44482  0.00494135
          83     1.52889     1.44583  0.00498456
          84     1.41856     1.44551  0.00493578
          85     1.41421     1.44514  0.00489143
          86     1.40818     1.44471   0.0048534
          87     1.52215      1.4456  0.00487856
          88     1.37443     1.44479   0.0048897
          89      1.4555     1.44491  0.00483624
          90     1.57074     1.44631  0.00498049
          91     1.38402     1.44563  0.00497258
          92     1.51879     1.44642   0.0049817
          93     1.53544     1.44738  0.00501925
          94     1.46557     1.44757  0.00496958
          95     1.40639     1.44714  0.00493614
          96     1.49878     1.44768  0.00491394
          97     1.44927     1.44769   0.0048633
          98     1.44192     1.44763  0.00481404
          99     1.42411      1.4474  0.00477127
         100     1.40876     1.44701  0.00473917
