#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1025      1.1025           0
           2      1.0941      1.0983  0.00296736
           3      1.1012     1.09927  0.00212957
           4       1.088     1.09645  0.00291612
           5     1.09025     1.09521  0.00258274
           6      1.0927     1.09479  0.00218581
           7     1.09798     1.09525  0.00192054
           8     1.09865     1.09567  0.00172684
           9      1.0949     1.09559  0.00153707
          10     1.09761     1.09579   0.0013966
          11     1.09932     1.09611  0.00130598
          12     1.08615     1.09528  0.00143707
          13     1.09719     1.09543    0.001334
          14     1.09604     1.09547  0.00123944
          15     1.09883      1.0957  0.00117693
          16     1.08061     1.09475  0.00143217
          17     1.09502     1.09477  0.00134801
          18     1.10101     1.09511  0.00131691
          19     1.09606     1.09516  0.00124854
          20     1.10054     1.09543   0.0012147
          21     1.09864     1.09559  0.00116642
          22     1.10685      1.0961  0.00122063
          23      1.0977     1.09617  0.00116956
          24     1.10094     1.09637  0.00113764
          25     1.10254     1.09661  0.00111857
          26      1.0993     1.09672  0.00108032
          27     1.11432     1.09737  0.00122126
          28     1.10212     1.09754  0.00118937
          29     1.09701     1.09752   0.0011485
          30     1.09995      1.0976  0.00111307
          31     1.08965     1.09734  0.00110635
          32      1.0941     1.09724  0.00107641
          33     1.10005     1.09733  0.00104715
          34     1.09574     1.09728   0.0010174
          35     1.10201     1.09742 0.000997267
          36     1.10565     1.09765 0.000995472
          37     1.09827     1.09766 0.000968708
          38     1.10943     1.09797 0.000991503
          39     1.10055     1.09804 0.000968277
          40     1.09791     1.09803 0.000944075
          41     1.09825     1.09804 0.000921064
          42     1.09657     1.09801 0.000899796
          43     1.10252     1.09811  0.00088497
          44     1.09515     1.09804 0.000867414
          45     1.10015     1.09809 0.000849405
          46      1.0982     1.09809 0.000830943
          47     1.10307      1.0982  0.00081998
          48     1.09845      1.0982 0.000802913
          49     1.09905     1.09822 0.000786712
          50     1.10632     1.09838 0.000787471
          51     1.09749     1.09837 0.000772226
          52     1.09723     1.09834 0.000757681
          53      1.1053     1.09847 0.000754681
          54     1.09926     1.09849 0.000740844
          55     1.10429     1.09859 0.000734846
          56     1.09537     1.09854 0.000723976
          57     1.09878     1.09854 0.000711288
          58     1.10206      1.0986 0.000701602
          59     1.08507     1.09837 0.000726208
          60     1.10882     1.09855 0.000734701
          61     1.10341     1.09863 0.000726962
          62     1.09105      1.0985 0.000725436
          63     1.09981     1.09852 0.000714215
          64     1.09515     1.09847 0.000704995
          65     1.08478     1.09826 0.000724956
          66     1.09558     1.09822  0.00071511
          67     1.10091     1.09826 0.000705561
          68     1.09187     1.09817 0.000701418
          69     1.10052      1.0982  0.00069208
          70     1.09253     1.09812 0.000686927
          71     1.09917     1.09813 0.000677411
          72     1.09079     1.09803 0.000675633
          73     1.09967     1.09806 0.000666752
          74     1.11163     1.09824 0.000682501
          75     1.10313      1.0983  0.00067651
          76      1.0982      1.0983  0.00066761
          77     1.10636     1.09841 0.000667099
          78     1.09557     1.09837 0.000659538
          79      1.0981     1.09837 0.000651198
          80     1.09812     1.09836 0.000643066
          81     1.10371     1.09843 0.000638498
          82     1.09929     1.09844 0.000630797
          83     1.08936     1.09833 0.000632613
          84     1.10202     1.09838 0.000626607
          85     1.09708     1.09836 0.000619421
          86     1.10642     1.09845 0.000619266
          87     1.09177     1.09838 0.000616896
          88     1.10446     1.09845 0.000613744
          89     1.09676     1.09843  0.00060714
          90     1.08396     1.09827  0.00062131
          91     1.10325     1.09832 0.000616895
          92     1.08596     1.09819 0.000624639
          93     1.08868     1.09808  0.00062623
          94     1.09245     1.09802 0.000622433
          95     1.10765     1.09813 0.000624067
          96     1.10051     1.09815  0.00061806
          97     1.09826     1.09815 0.000611689
          98      1.0999     1.09817 0.000605706
          99     1.09946     1.09818 0.000599729
         100     1.09993      1.0982 0.000593987
