#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80778    -3.80778           0
           2    -3.80766    -3.80772  4.1846e-05
           3    -3.80671    -3.80738  0.00027666
           4    -3.80623     -3.8071  0.00032415
           5    -3.80674    -3.80702 0.000267218
           6    -3.80703    -3.80702 0.000222682
           7    -3.80652    -3.80695 0.000202017
           8    -3.80577    -3.80681 0.000224446
           9    -3.80662    -3.80679 0.000200401
          10    -3.80631    -3.80674 0.000185952
          11    -3.80705    -3.80677 0.000171242
          12     -3.8072     -3.8068 0.000160798
          13    -3.80699    -3.80682 0.000149081
          14    -3.80619    -3.80677 0.000144938
          15    -3.80616    -3.80673 0.000140995
          16    -3.80591    -3.80668  0.00014129
          17    -3.80663    -3.80668 0.000133014
          18     -3.8072    -3.80671 0.000128776
          19    -3.80649    -3.80669 0.000122495
          20    -3.80557    -3.80664 0.000128616
          21    -3.80669    -3.80664 0.000122518
          22    -3.80726    -3.80667 0.000120117
          23    -3.80596    -3.80664 0.000118775
          24    -3.80609    -3.80662 0.000115985
          25     -3.8069    -3.80663 0.000111895
          26    -3.80642    -3.80662 0.000107863
          27    -3.80642    -3.80661 0.000104111
          28    -3.80727    -3.80664 0.000102994
          29    -3.80635    -3.80663    9.99e-05
          30    -3.80705    -3.80664 9.75871e-05
          31    -3.80726    -3.80666 9.64999e-05
          32    -3.80666    -3.80666 9.34844e-05
          33    -3.80583    -3.80663  9.3985e-05
          34    -3.80675    -3.80664 9.12829e-05
          35    -3.80727    -3.80666  9.0438e-05
          36    -3.80619    -3.80664 8.88374e-05
          37    -3.80674    -3.80665 8.64718e-05
          38    -3.80755    -3.80667 8.74108e-05
          39    -3.80569    -3.80664 8.86811e-05
          40    -3.80672    -3.80665 8.64854e-05
          41    -3.80742    -3.80667  8.6418e-05
          42    -3.80631    -3.80666 8.47842e-05
          43    -3.80671    -3.80666  8.2823e-05
          44    -3.80664    -3.80666 8.09421e-05
          45    -3.80679    -3.80666 7.91985e-05
          46    -3.80578    -3.80664 7.97531e-05
          47      -3.807    -3.80665 7.84116e-05
          48    -3.80668    -3.80665 7.67808e-05
          49     -3.8063    -3.80664 7.55409e-05
          50    -3.80669    -3.80664 7.40362e-05
          51    -3.80742    -3.80666  7.4123e-05
          52    -3.80567    -3.80664 7.50817e-05
          53    -3.80759    -3.80666  7.5773e-05
          54    -3.80539    -3.80663 7.79039e-05
          55    -3.80698    -3.80664 7.67352e-05
          56    -3.80691    -3.80665 7.55175e-05
          57    -3.80691    -3.80665  7.4335e-05
          58    -3.80739    -3.80666 7.41329e-05
          59    -3.80695    -3.80667 7.30364e-05
          60    -3.80703    -3.80667 7.20672e-05
          61    -3.80664    -3.80667 7.08876e-05
          62    -3.80681    -3.80668 6.97768e-05
          63     -3.8068    -3.80668 6.86991e-05
          64    -3.80683    -3.80668 6.76663e-05
          65    -3.80598    -3.80667 6.74738e-05
          66    -3.80648    -3.80667 6.65118e-05
          67    -3.80611    -3.80666 6.60338e-05
          68    -3.80668    -3.80666 6.50635e-05
          69    -3.80648    -3.80666 6.41738e-05
          70    -3.80529    -3.80664 6.61732e-05
          71    -3.80636    -3.80663 6.53524e-05
          72    -3.80676    -3.80663 6.44682e-05
          73    -3.80604    -3.80663 6.40908e-05
          74    -3.80717    -3.80663 6.36473e-05
          75    -3.80731    -3.80664 6.34424e-05
          76    -3.80665    -3.80664 6.26077e-05
          77    -3.80695    -3.80665 6.19182e-05
          78    -3.80581    -3.80664  6.2043e-05
          79    -3.80648    -3.80663 6.12909e-05
          80    -3.80693    -3.80664  6.0635e-05
          81    -3.80765    -3.80665 6.11659e-05
          82    -3.80682    -3.80665 6.04571e-05
          83     -3.8063    -3.80665 5.98803e-05
          84    -3.80704    -3.80665 5.93451e-05
          85    -3.80693    -3.80666 5.87362e-05
          86    -3.80637    -3.80665 5.81483e-05
          87    -3.80652    -3.80665    5.75e-05
          88    -3.80718    -3.80666 5.71644e-05
          89    -3.80602    -3.80665 5.69669e-05
          90    -3.80625    -3.80665 5.65036e-05
          91    -3.80709    -3.80665 5.60948e-05
          92    -3.80656    -3.80665 5.54933e-05
          93     -3.8064    -3.80665 5.49636e-05
          94    -3.80653    -3.80665 5.43925e-05
          95    -3.80707    -3.80665 5.40055e-05
          96    -3.80611    -3.80664 5.37346e-05
          97    -3.80681    -3.80665 5.32089e-05
          98    -3.80702    -3.80665    5.28e-05
          99    -3.80711    -3.80665 5.24678e-05
         100     -3.8063    -3.80665 5.20646e-05
