#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.95        1.95           0
           2     1.94993     1.94996 2.48133e-05
           3     1.94972     1.94988 6.88069e-05
           4     1.94937     1.94975 0.000122636
           5     1.94888     1.94958 0.000184864
           6     1.94825     1.94936   0.0002546
           7     1.94747     1.94909 0.000331259
           8     1.94655     1.94877 0.000414442
           9     1.94549     1.94841 0.000503882
          10     1.94428     1.94799 0.000599398
          11     1.94291     1.94753 0.000700884
          12     1.94138     1.94702 0.000808287
          13      1.9397     1.94646 0.000921599
          14     1.93785     1.94584  0.00104079
          15     1.93583     1.94517  0.00116591
          16     1.93363     1.94445  0.00129707
          17     1.93126     1.94368  0.00143436
          18     1.92869     1.94284  0.00157786
          19     1.92593     1.94195  0.00172773
          20     1.92297       1.941  0.00188416
          21     1.91979     1.93999  0.00204737
          22     1.91639     1.93892   0.0022176
          23     1.91277     1.93778  0.00239507
          24      1.9089     1.93658  0.00258005
          25     1.90478     1.93531  0.00277279
          26      1.9004     1.93397  0.00297354
          27     1.89574     1.93255   0.0031826
          28     1.89081     1.93106  0.00340025
          29     1.88557     1.92949  0.00362681
          30     1.88003     1.92784  0.00386258
          31     1.87416     1.92611  0.00410785
          32     1.86796     1.92429  0.00436293
          33     1.86141     1.92239  0.00462816
          34      1.8545     1.92039  0.00490388
          35     1.84721      1.9183  0.00519044
          36     1.83952     1.91611  0.00548819
          37     1.83143     1.91382  0.00579745
          38     1.82292     1.91143  0.00611851
          39     1.81398     1.90893  0.00645167
          40      1.8046     1.90632  0.00679721
          41     1.79476      1.9036  0.00715537
          42     1.78446     1.90077  0.00752638
          43     1.77367     1.89781  0.00791046
          44      1.7624     1.89473  0.00830777
          45     1.75064     1.89153  0.00871843
          46     1.73838      1.8882  0.00914252
          47     1.72562     1.88474  0.00958009
          48     1.71236     1.88115   0.0100311
          49     1.69859     1.87743   0.0104955
          50     1.68434     1.87356   0.0109731
          51      1.6696     1.86956   0.0114636
          52     1.65438     1.86543   0.0119668
          53      1.6387     1.86115   0.0124822
          54     1.62258     1.85673   0.0130094
          55     1.60604     1.85217   0.0135478
          56     1.58911     1.84747   0.0140968
          57      1.5718     1.84264   0.0146556
          58     1.55416     1.83766   0.0152236
          59     1.53622     1.83256   0.0157996
          60     1.51802     1.82731   0.0163829
          61     1.49958     1.82194   0.0169725
          62     1.48096     1.81644   0.0175672
          63      1.4622     1.81082   0.0181659
          64     1.44333     1.80508   0.0187676
          65     1.42441     1.79922   0.0193711
          66     1.40547     1.79325   0.0199752
          67     1.38656     1.78718   0.0205787
          68     1.36771     1.78102   0.0211805
          69     1.34898     1.77475   0.0217793
          70      1.3304     1.76841   0.0223742
          71       1.312     1.76198   0.0229639
          72     1.29384     1.75548   0.0235475
          73     1.27593     1.74891   0.0241238
          74     1.25833     1.74228   0.0246919
          75     1.24106     1.73559   0.0252509
          76     1.22415     1.72886   0.0257998
          77     1.20764      1.7221   0.0263378
          78     1.19157     1.71529    0.026864
          79     1.17596     1.70847   0.0273777
          80     1.16084     1.70162   0.0278781
          81     1.14625     1.69477   0.0283645
          82     1.13222      1.6879   0.0288363
          83     1.11876     1.68105   0.0292929
          84     1.10592      1.6742   0.0297335
          85     1.09371     1.66737   0.0301578
          86     1.08217     1.66057   0.0305652
          87     1.07132     1.65379   0.0309552
          88     1.06117     1.64706   0.0313274
          89     1.05176     1.64037   0.0316814
          90     1.04309     1.63373   0.0320169
          91     1.03519     1.62716   0.0323337
          92     1.02805     1.62064   0.0326314
          93     1.02169      1.6142     0.03291
          94      1.0161     1.60784   0.0331693
          95     1.01129     1.60156   0.0334092
          96     1.00723     1.59537   0.0336299
          97     1.00392     1.58927   0.0338315
          98     1.00133     1.58327    0.034014
          99    0.999441     1.57738   0.0341779
         100    0.998208     1.57159   0.0343233
         101    0.997599      1.5659   0.0344507
         102    0.997568     1.56033   0.0345606
         103     0.99807     1.55487   0.0346535
         104    0.999055     1.54953     0.03473
         105     1.00047      1.5443   0.0347907
         106     1.00226     1.53918   0.0348362
         107     1.00438     1.53419   0.0348674
         108     1.00677      1.5293   0.0348848
         109     1.00938     1.52453   0.0348894
         110     1.01216     1.51988   0.0348817
         111     1.01506     1.51533   0.0348627
