#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       3.045       3.045           0
           2     3.04489     3.04495 3.87452e-05
           3     3.04456     3.04482  0.00010744
           4     3.04402     3.04462 0.000191498
           5     3.04325     3.04434 0.000288681
           6     3.04226       3.044 0.000397606
           7     3.04105     3.04358 0.000517369
           8     3.03962     3.04308 0.000647359
           9     3.03795     3.04251 0.000787168
          10     3.03606     3.04187 0.000936528
          11     3.03392     3.04114  0.00109529
          12     3.03153     3.04034  0.00126337
          13      3.0289     3.03946  0.00144074
          14       3.026      3.0385  0.00162739
          15     3.02284     3.03746  0.00182346
          16     3.01939     3.03633   0.0020291
          17     3.01566     3.03511  0.00224445
          18     3.01164     3.03381  0.00246972
          19      3.0073     3.03241  0.00270517
          20     3.00264     3.03092  0.00295114
          21     2.99765     3.02934  0.00320796
          22      2.9923     3.02766  0.00347602
          23     2.98658     3.02587  0.00375569
          24     2.98048     3.02398  0.00404739
          25     2.97399     3.02198  0.00435155
          26     2.96707     3.01987  0.00466863
          27     2.95971     3.01764   0.0049991
          28      2.9519     3.01529  0.00534347
          29     2.94362     3.01282  0.00570222
          30     2.93483     3.01022  0.00607585
          31     2.92554     3.00749  0.00646486
          32      2.9157     3.00462  0.00686979
          33      2.9053     3.00161  0.00729118
          34     2.89431     2.99845  0.00772961
          35     2.88271     2.99515  0.00818566
          36     2.87048     2.99168  0.00865989
          37     2.85759     2.98806  0.00915281
          38     2.84403     2.98427   0.0096649
          39     2.82977     2.98031   0.0101967
          40      2.8148     2.97617   0.0107485
          41     2.79909     2.97185   0.0113209
          42     2.78263     2.96735   0.0119142
          43     2.76539     2.96265   0.0125287
          44     2.74737     2.95776   0.0131646
          45     2.72857     2.95266   0.0138223
          46     2.70896     2.94737   0.0145016
          47     2.68854     2.94186   0.0152028
          48     2.66732     2.93614   0.0159256
          49     2.64531      2.9302     0.01667
          50     2.62251     2.92405   0.0174355
          51     2.59895     2.91768   0.0182217
          52     2.57463     2.91108   0.0190281
          53     2.54958     2.90426   0.0198539
          54     2.52385     2.89721   0.0206983
          55     2.49747     2.88995   0.0215603
