# block progressive_energy error block_energy acceptance
1 -0.135149 0 -0.135149 0.5
2 -0.117063 0.0180864 -0.0989763 0.476
3 -0.112465 0.0114098 -0.103268 0.503
4 -0.136734 0.0255757 -0.209544 0.492
5 -0.132781 0.0202014 -0.116968 0.512
6 -0.143982 0.019938 -0.199986 0.512
7 -0.140803 0.0171478 -0.121733 0.478
8 -0.149383 0.0171504 -0.209437 0.543
9 -0.149648 0.0151276 -0.151768 0.511
10 -0.147505 0.0136991 -0.128223 0.493
11 -0.14404 0.0128668 -0.109384 0.484
12 -0.140598 0.0122396 -0.10274 0.502
13 -0.135693 0.0122807 -0.0768366 0.489
14 -0.136925 0.0114363 -0.15294 0.508
15 -0.135838 0.010702 -0.120618 0.492
16 -0.139441 0.0106393 -0.193482 0.502
17 -0.147233 0.0126725 -0.271904 0.55
18 -0.148381 0.0120028 -0.167901 0.497
19 -0.146109 0.0115787 -0.105207 0.458
20 -0.14683 0.0110082 -0.160536 0.48
21 -0.144645 0.0106965 -0.100938 0.464
22 -0.142488 0.0104242 -0.0972021 0.498
23 -0.142704 0.00996299 -0.147459 0.49
24 -0.145346 0.00989786 -0.206104 0.515
25 -0.144752 0.00951224 -0.130506 0.499
26 -0.147249 0.00947397 -0.209668 0.517
27 -0.145495 0.00928356 -0.0998875 0.487
28 -0.145708 0.00894841 -0.151469 0.506
29 -0.143204 0.00899012 -0.0730897 0.472
30 -0.14162 0.0088286 -0.0956733 0.5
31 -0.143354 0.00871327 -0.195363 0.53
32 -0.145844 0.0087964 -0.223037 0.526
33 -0.149209 0.00916579 -0.256895 0.547
34 -0.148192 0.00895006 -0.114641 0.493
35 -0.146839 0.00879528 -0.100837 0.485
36 -0.146737 0.00854808 -0.143155 0.509
37 -0.146715 0.00831387 -0.145947 0.506
38 -0.148371 0.00825979 -0.209634 0.512
39 -0.147096 0.00814565 -0.098637 0.48
40 -0.148049 0.00799643 -0.185231 0.511
41 -0.148512 0.00781269 -0.167028 0.522
42 -0.149046 0.0076431 -0.170952 0.513
43 -0.150507 0.00760471 -0.211828 0.516
44 -0.149188 0.00754587 -0.0925111 0.512
45 -0.1484 0.00741831 -0.113705 0.497
46 -0.148333 0.00725555 -0.145339 0.491
47 -0.148192 0.00710091 -0.141686 0.477
48 -0.150074 0.00720177 -0.238549 0.545
49 -0.149236 0.0071029 -0.109 0.474
50 -0.147566 0.0071569 -0.0657503 0.493
51 -0.147557 0.00701517 -0.147068 0.481
52 -0.148513 0.00694517 -0.197312 0.516
53 -0.148472 0.00681299 -0.146336 0.495
54 -0.148041 0.00669956 -0.125158 0.488
55 -0.149229 0.00668304 -0.213374 0.51
56 -0.148097 0.00665944 -0.0858654 0.495
57 -0.149449 0.00667985 -0.22517 0.504
58 -0.149085 0.00657378 -0.128312 0.529
59 -0.150256 0.00656676 -0.218212 0.539
60 -0.150427 0.00645864 -0.16048 0.494
61 -0.149225 0.00646464 -0.0770931 0.479
62 -0.151439 0.00673396 -0.286506 0.52
63 -0.151294 0.00662778 -0.142342 0.513
64 -0.151644 0.00653278 -0.173693 0.491
65 -0.152241 0.00645907 -0.190396 0.516
66 -0.15157 0.00639573 -0.107963 0.506
67 -0.152596 0.00638267 -0.220358 0.499
68 -0.153369 0.00633537 -0.205122 0.534
69 -0.152923 0.00625877 -0.122615 0.511
70 -0.153031 0.00616966 -0.160507 0.524
71 -0.152794 0.00608676 -0.136198 0.477
72 -0.153457 0.00603814 -0.200529 0.483
73 -0.152279 0.00607028 -0.0674501 0.503
74 -0.151265 0.00607304 -0.0772008 0.494
75 -0.15014 0.00609617 -0.066911 0.511
76 -0.150056 0.006016 -0.143803 0.483
77 -0.149464 0.00596686 -0.104423 0.483
78 -0.149903 0.0059062 -0.183704 0.485
79 -0.150134 0.00583553 -0.16815 0.497
80 -0.149127 0.00584946 -0.0695714 0.495
81 -0.148313 0.00583378 -0.0832398 0.511
82 -0.149548 0.0058929 -0.249522 0.529
83 -0.149512 0.00582158 -0.146632 0.534
84 -0.149276 0.00575673 -0.129617 0.496
85 -0.149724 0.00570627 -0.187421 0.538
86 -0.149547 0.00564231 -0.134493 0.469
87 -0.149669 0.00557842 -0.160178 0.528
88 -0.149094 0.00554464 -0.0990022 0.492
89 -0.148633 0.00550129 -0.108117 0.481
90 -0.148782 0.00544186 -0.16205 0.536
91 -0.148507 0.00538876 -0.123743 0.503
92 -0.148497 0.00532987 -0.147528 0.503
93 -0.148954 0.00529208 -0.191068 0.533
94 -0.14843 0.0052617 -0.099641 0.489
95 -0.148853 0.00522319 -0.188637 0.502
96 -0.148975 0.00516994 -0.160555 0.508
97 -0.149115 0.00511829 -0.162606 0.497
98 -0.149481 0.00507895 -0.184915 0.495
99 -0.149247 0.0050328 -0.126363 0.483
100 -0.149353 0.00498335 -0.159854 0.526
