# generation best_length mean_best_half
0 32.7869 40.3002
1 32.2074 39.1723
2 27.7051 38.0267
3 27.7051 37.1088
4 27.7051 36.0044
5 25.3266 34.8095
6 24.5288 33.5484
7 24.5288 32.8322
8 24.1229 31.9952
9 22.3446 31.0715
10 22.3446 30.2125
11 20.6486 29.2292
12 20.6486 28.5435
13 19.5838 27.8879
14 18.3564 27.2222
15 18.3564 26.5679
16 17.5264 25.616
17 17.5264 24.6257
18 17.3567 23.573
19 16.6632 22.8958
20 16.6632 22.3123
21 16.4841 21.5453
22 16.0258 21.0223
23 16.0258 20.3053
24 16.0061 19.9168
25 15.4539 19.5808
26 15.4539 19.4092
27 15.0629 18.8737
28 14.4633 18.6038
29 14.4088 18.3249
30 13.8436 18.1676
31 13.2618 18.1164
32 12.5418 17.7856
33 13.1236 17.4489
34 12.5418 17.2331
35 12.5418 17.1736
36 12.5418 16.956
37 12.5418 16.7821
38 12.5418 16.5951
39 12.5418 16.2924
40 12.007 16.0757
41 11.8657 15.8077
42 11.8657 15.4625
43 11.8657 15.2922
44 11.8315 15.175
45 10.9305 15.1175
46 10.9305 14.8281
47 10.9305 14.7013
48 10.8036 14.3687
49 10.8036 14.1218
50 10.0257 14.0392
51 10.0257 13.976
52 9.94526 13.9506
53 9.94526 13.8575
54 9.89882 13.5824
55 9.701 13.3792
56 9.701 13.1219
57 9.5741 12.9651
58 9.5741 12.8642
59 9.55029 12.6473
60 9.29853 12.5397
61 8.92663 12.4628
62 8.92663 12.4027
63 8.81645 12.1502
64 8.81645 12.0707
65 8.78239 11.8133
66 8.78239 11.601
67 8.78239 11.4436
68 8.70387 11.491
69 8.70387 11.2264
70 8.70387 11.1177
71 8.66982 11.1867
72 8.66982 10.9944
73 6.49689 10.9098
74 6.49689 10.823
75 6.57325 11.0385
76 6.57325 11.0923
77 6.57325 11.0398
78 6.57325 11.1693
79 6.57325 11.0824
80 6.57325 11.1792
81 6.57325 11.2627
82 6.49689 11.4806
83 6.49689 11.7944
84 6.49689 11.6432
85 6.49689 11.4923
86 6.49689 11.3003
87 6.49689 11.2384
88 6.49689 11.1044
89 6.49689 10.7914
90 6.49689 10.4941
91 6.47942 10.3261
92 6.46284 10.0303
93 6.44537 9.83646
94 6.44537 9.73802
95 6.44537 9.45695
96 6.44537 9.49954
97 6.44537 9.49026
98 6.44537 9.35939
99 6.44537 9.03594
100 6.44537 9.03114
101 6.44537 9.21816
102 6.44537 9.1162
103 6.44537 9.34672
104 6.44537 9.33148
105 6.29458 8.91671
106 6.24306 9.31541
107 6.24306 9.13558
108 6.24306 9.0657
109 6.24306 8.84501
110 6.24306 8.71013
111 6.24306 8.66221
112 6.24306 8.82007
113 6.24306 8.72319
114 6.24306 8.93774
115 6.24306 8.84643
116 6.24306 8.66929
117 6.24306 8.4798
118 6.24306 8.3852
119 6.24306 8.3421
120 6.24306 8.37955
121 6.24306 8.52421
122 6.24306 8.46761
123 6.24306 8.68805
124 6.24306 8.74432
125 6.24306 8.71524
126 6.24306 8.5727
127 6.24306 8.70489
128 6.24306 8.76836
129 6.24306 8.66906
130 6.24306 8.47869
131 6.24306 8.69765
132 6.24306 8.89688
133 6.24306 8.67235
134 6.24306 8.65958
135 6.24306 8.5043
136 6.24306 8.58821
137 6.24306 8.43282
138 6.24306 8.39707
139 6.24306 8.3026
140 6.24306 8.64217
141 6.24306 8.59814
142 6.24306 8.56394
143 6.24306 8.70189
144 6.24306 8.62079
145 6.24306 8.56013
146 6.24306 8.54247
147 6.24306 8.36404
148 6.24306 8.34054
149 6.24306 8.6738
150 6.24306 8.64866
151 6.24306 8.74967
152 6.24306 8.73198
153 6.24306 8.87522
154 6.24306 8.9793
155 6.24306 8.79142
156 6.24306 8.80963
157 6.24306 8.63458
158 6.24306 8.68627
159 6.24306 8.5297
160 6.24306 8.44135
161 6.24306 8.37036
162 6.24306 8.2693
163 6.24306 8.51753
164 6.24306 8.55529
165 6.24306 8.66294
166 6.24306 8.48525
167 6.24306 8.44219
168 6.24306 8.54317
169 6.24306 8.37361
170 6.24306 8.49857
171 6.24306 8.29388
172 6.24306 8.40527
173 6.24306 8.3882
174 6.24306 8.41959
175 6.24306 8.61129
176 6.24306 8.56454
177 6.24306 8.63978
178 6.24306 8.63731
179 6.24306 8.31022
180 6.24306 8.74287
181 6.24306 8.83328
182 6.24306 8.93524
183 6.24306 8.61461
184 6.24306 8.70817
185 6.24306 8.73678
186 6.24306 8.75554
187 6.24306 8.62381
188 6.24306 8.74832
189 6.24306 8.91269
190 6.24306 8.88418
191 6.24306 8.80785
192 6.24306 8.55954
193 6.24306 8.45032
194 6.24306 8.45946
195 6.24306 8.56434
196 6.24306 8.89412
197 6.24306 8.90446
198 6.24306 9.24748
199 6.24306 8.76436
200 6.24306 8.7237
