# generation best_length mean_best_half
0 15.1781 18.4534
1 14.741 17.9
2 14.2967 17.4612
3 14.2629 17.0174
4 12.8144 16.653
5 12.8035 16.2494
6 12.7511 15.8687
7 12.6719 15.6353
8 12.4585 15.4454
9 12.5295 15.2244
10 11.8247 15.0182
11 11.8247 14.8052
12 11.4743 14.6539
13 11.4094 14.3947
14 11.3173 14.1627
15 10.6027 13.9535
16 10.7149 13.6043
17 10.5718 13.3059
18 10.4179 13.0094
19 10.5946 12.817
20 10.1258 12.6572
21 9.64611 12.4844
22 9.52654 12.3084
23 8.91438 12.0201
24 8.91438 11.7947
25 8.91438 11.5857
26 8.91438 11.4675
27 8.91438 11.2619
28 8.91438 11.1234
29 8.87303 11.0232
30 8.87303 11.0373
31 8.87303 11.0274
32 8.87303 10.9042
33 8.81165 10.8082
34 8.74461 10.7444
35 8.74461 10.6939
36 8.74461 10.6105
37 8.31112 10.6091
38 8.31112 10.5503
39 8.31112 10.4823
40 8.31112 10.5492
41 8.17943 10.4943
42 8.17943 10.363
43 8.03125 10.3129
44 7.82007 10.2252
45 7.82007 10.187
46 7.77144 10.0339
47 7.58046 10.0147
48 7.38376 9.83362
49 7.38376 9.64882
50 7.38376 9.56068
51 7.13854 9.4208
52 7.13854 9.32755
53 7.12403 9.20767
54 6.7761 9.0307
55 6.7761 8.9989
56 6.7761 8.84209
57 6.7761 8.81462
58 6.7761 8.82338
59 6.76119 8.71315
60 6.7761 8.74431
61 6.70757 8.72305
62 6.66192 8.82716
63 6.70757 8.76144
64 6.679 8.75535
65 6.67333 8.66697
66 6.67333 8.6316
67 6.67333 8.60457
68 6.59834 8.72356
69 6.53844 8.56608
70 6.2903 8.53301
71 6.2903 8.57677
72 6.2903 8.40307
73 6.25232 8.32649
74 6.22887 8.20513
75 5.99357 8.25126
76 5.99357 8.18651
77 5.99357 8.08605
78 5.96194 7.97502
79 5.96194 7.8252
80 5.95194 7.73133
81 5.95194 7.64725
82 5.96194 7.65635
83 5.90504 7.68204
84 5.82162 7.54388
85 5.82162 7.44754
86 5.82162 7.2999
87 5.76172 7.2596
88 5.76172 7.28044
89 5.64493 7.17743
90 5.70482 7.08824
91 5.64493 7.04774
92 5.63772 6.93575
93 5.42832 6.86823
94 5.42832 6.8316
95 5.40837 6.69478
96 5.40323 6.74837
97 5.19573 6.71398
98 5.40323 6.66434
99 5.40323 6.56998
100 5.40323 6.63832
101 5.25169 6.74322
102 5.30912 6.68471
103 5.15758 6.77401
104 5.15244 6.7722
105 5.15244 6.59566
106 5.13249 6.75991
107 5.13249 6.65726
108 5.13249 6.5965
109 5.13249 6.44259
110 5.13249 6.36719
111 5.13249 6.32444
112 5.13249 6.3618
113 5.13249 6.34098
114 5.13249 6.3337
115 4.92499 6.27476
116 4.92499 6.18753
117 4.91985 6.15443
118 4.91985 6.16412
119 4.91985 6.16019
120 4.90617 6.22805
121 4.90617 6.36289
122 4.90617 6.40621
123 4.90617 6.62039
124 4.90617 6.6503
125 4.8999 6.70161
126 4.8999 6.66041
127 4.8999 6.70796
128 4.87661 6.68338
129 4.87661 6.63094
130 4.87661 6.49821
131 4.87661 6.55255
132 4.87661 6.56632
133 4.87661 6.38217
134 4.87661 6.35274
135 4.87661 6.22154
136 4.87661 6.20402
137 4.87661 6.09669
138 4.87661 6.01967
139 4.87661 5.94747
140 4.87661 6.06522
141 4.87661 6.01062
142 4.87661 5.92641
143 4.87661 5.98453
144 4.87661 5.9341
145 4.87661 5.90235
146 4.86239 5.91624
147 4.87661 5.82401
148 4.87661 5.84406
149 4.86414 5.9591
150 4.86414 5.92087
151 4.86414 5.9762
152 4.86414 5.99783
153 4.86414 6.07817
154 4.85045 6.11342
155 4.81225 6.03226
156 4.81225 6.06341
157 4.81225 5.98316
158 4.81225 6.0314
159 4.81225 5.93669
160 4.81225 5.8691
161 4.80576 5.80574
162 4.80576 5.7779
163 4.80576 5.7941
164 4.80576 5.81665
165 4.80576 5.81274
166 4.80576 5.75695
167 4.80576 5.71017
168 4.80576 5.75588
169 4.80576 5.6825
170 4.80576 5.76245
171 4.80576 5.70174
172 4.80576 5.76203
173 4.80576 5.76851
174 4.80576 5.78478
175 4.80576 5.82409
176 4.80576 5.84873
177 4.80576 5.86014
178 4.80576 5.87659
179 4.76839 5.75383
180 4.76839 5.9239
181 4.76839 5.93234
182 4.76839 5.97554
183 4.76839 5.8482
184 4.76839 5.85608
185 4.76839 5.83776
186 4.76839 5.86349
187 4.76839 5.76913
188 4.76839 5.82725
189 4.76839 5.88622
190 4.76839 5.87842
191 4.76839 5.86906
192 4.76839 5.7525
193 4.76839 5.70332
194 4.76839 5.72003
195 4.76839 5.77798
196 4.76839 5.87085
197 4.76839 5.91238
198 4.76839 6.01556
199 4.76839 5.81955
200 4.76839 5.84188
201 4.76839 5.77407
202 4.76839 5.73952
203 4.76839 5.71667
204 4.76839 5.64864
