# generation best_length mean_best_half
0 435.8168339436 491.9776167075
1 425.2171185744 475.5526124471
2 416.1238406192 460.1425515871
3 402.3322778111 447.4870944646
4 397.3466805246 435.0600035168
5 379.9210700273 424.8063373668
6 360.3682670372 413.8176120463
7 357.6272497405 400.8017610488
8 353.5971762641 391.0256376740
9 350.3058559542 381.0468582970
10 349.6195634010 371.4660177038
11 337.5136731631 365.1335303543
12 337.5136731631 359.4059849685
13 328.1241957079 352.6255216732
14 325.5240948608 346.0334191180
15 320.4275013422 339.5798874934
16 316.3805384164 333.5959636200
17 309.6688782862 328.4422685032
18 303.0648138983 324.5613708679
19 297.9117618359 319.7924419678
20 289.5200431176 314.6720270566
21 287.3070360923 309.8380201522
22 278.9153173740 305.4773465153
23 278.9153173740 299.4425854843
24 276.0394417920 294.5838051343
25 270.6951735645 289.2032095006
26 260.6848282744 285.2882811328
27 258.6961465791 281.8135296938
28 253.8808425756 277.0222268409
29 249.2178547615 270.7084227594
30 246.9229970333 264.1681869954
31 245.1055170540 259.7246654923
32 239.6266919902 256.5564707813
33 239.0632482942 253.5513102613
34 234.7781434969 250.8974038474
35 228.7420416405 248.0909676396
36 227.2329855282 244.9206646831
37 225.9102391039 242.9060332128
38 223.2412020952 238.9239960585
39 221.6816515551 235.0193035039
40 220.3759660768 232.5582290426
41 219.0156935841 230.4131554177
42 213.2379749953 227.7938980820
43 209.9729384597 226.5182137296
44 209.2156012048 224.1616887088
45 208.0854736642 221.2001029690
46 207.3281364093 219.0877674411
47 206.7923528934 216.2675408398
48 205.6004425517 215.0583474414
49 204.0854988620 213.4239682948
50 202.3345238377 212.2468644300
51 201.0246034025 211.0290498727
52 198.5153451964 209.5748377500
53 197.0004015067 207.8919580287
54 196.1610328450 206.9095164005
55 196.1610328450 206.1594074610
56 193.2258051317 204.8013396965
57 191.3842445549 203.5914490622
58 189.8693008652 201.9647112884
59 188.1920062026 201.1025551951
60 187.2184645613 198.5835797295
61 185.2502654553 196.3033781237
62 184.5271725935 195.6733581958
63 182.9820652024 193.6158602470
64 182.9268155684 191.9518245717
65 178.7028060511 190.3084219593
66 177.1066745142 189.1926496717
67 176.3641477136 188.7594496781
68 176.0323071263 187.8231908129
69 175.1388337451 186.3738426110
70 173.6389198389 185.7834744771
71 173.6389198389 184.1819938029
72 171.9694290495 183.0256280077
73 171.9694290495 182.0124757046
74 171.3280333372 181.0305844280
75 169.8124492799 179.7003051398
76 165.1821353015 178.4164343913
77 165.1821353015 177.8329134204
78 163.5016362945 176.4072025452
79 162.7113257108 173.8508294021
80 161.3338507391 171.9580753430
81 158.9181554883 170.4022956398
82 156.8877751998 168.8459055562
83 156.8877751998 166.8180119499
84 155.7824638386 165.7012845842
85 155.7824638386 163.9424159655
86 155.5040990772 162.4772192935
87 155.3518693609 161.4811035660
88 153.3969015042 159.7796899165
89 153.3969015042 159.4472499387
90 152.0541668206 158.9073181874
91 150.1725676596 157.6172333905
92 150.1725676596 157.3135481062
93 149.0959867019 156.9041834667
94 149.0959867019 155.5675926971
95 148.5527814176 154.6831586010
96 147.0854733850 153.7654079498
97 146.5390249908 152.9386599931
98 146.1114627307 152.0682199703
99 146.1114627307 151.4899732197
100 141.3140580960 150.9990850032
101 140.8706673765 150.4687246586
102 140.2508130096 149.5266601032
103 138.2903042681 147.8727456174
104 137.7735075759 147.2560699392
105 137.4567525810 145.5198009575
106 136.7147378377 144.2136993256
107 136.7147378377 142.1363221310
108 136.3944071473 142.1359683175
109 136.3944071473 141.4093417856
110 136.2505587196 140.9795740089
111 135.3024677132 139.8448341714
112 135.3024677132 140.0327935761
113 134.1810966252 139.6875703233
114 134.1435601796 139.0514050439
115 134.1435601796 138.5408517257
116 132.9341189419 138.2124045785
117 132.4755423897 137.4901684811
118 131.8655088467 136.7318940902
119 130.6332099562 135.3492787593
120 129.5537513781 134.9724738725
121 129.4497565787 134.4626801222
122 127.8031389066 133.3679763129
123 126.5978456020 133.6237010102
124 126.5978456020 133.8463365808
125 126.5978456020 134.6218620999
126 126.5701213420 134.6925077899
127 125.5316345541 135.3508596735
128 124.7351826510 135.1623848268
129 124.7351826510 133.9084541924
130 123.8692033570 134.4541801224
131 123.8692033570 133.1128013060
132 123.2096399104 132.0339391967
133 123.1863851235 131.3656283208
134 122.7662037257 129.8906337631
135 121.7166274268 129.6568770965
136 121.3606837113 128.6976907698
