# generation best_length mean_best_half
0 435.8168339436 491.9776167075
1 425.2171185744 475.5526124471
2 416.1238406192 460.1425515871
3 402.3322778111 447.4870944646
4 397.3466805246 435.0600035168
5 379.9210700273 424.8063373668
6 360.3682670372 413.8176120463
7 357.6272497405 400.8017610488
8 353.5971762641 391.0256376740
9 350.3058559542 381.0468582970
10 349.6195634010 371.4660177038
11 337.5136731631 365.1335303543
12 337.5136731631 359.4059849685
13 328.1241957079 352.6255216732
14 325.5240948608 346.0334191180
15 320.4275013422 339.5798874934
16 316.3805384164 333.5959636200
17 309.6688782862 328.4422685032
18 303.0648138983 324.5613708679
19 297.9117618359 319.7924419678
20 289.5200431176 314.6720270566
21 287.3070360923 309.8380201522
22 278.9153173740 305.4773465153
23 278.9153173740 299.4425854843
24 276.0394417920 294.5838051343
25 270.6951735645 289.2032095006
26 260.6848282744 285.2882811328
27 258.6961465791 281.8135296938
28 253.8808425756 277.0222268409
29 249.2178547615 270.7084227594
30 246.9229970333 264.1681869954
31 245.1055170540 259.7246654923
32 239.6266919902 256.5564707813
33 239.0632482942 253.5513102613
34 234.7781434969 250.8974038474
35 228.7420416405 248.0909676396
36 227.2329855282 244.9206646831
37 225.9102391039 242.9060332128
38 223.2412020952 238.9239960585
39 221.6816515551 235.0193035039
40 220.3759660768 232.5582290426
41 219.0156935841 230.4131554177
42 213.2379749953 227.7938980820
43 209.9729384597 226.5182137296
44 209.2156012048 224.1616887088
45 208.0854736642 221.2001029690
46 207.3281364093 219.0877674411
47 206.7923528934 216.2675408398
48 205.6004425517 215.0583474414
49 204.0854988620 213.4239682948
50 187.0854403056 212.1794894650
51 187.0854403056 210.7296171045
52 187.0854403056 209.9276345096
53 186.2209075215 209.5107398511
54 186.2209075215 209.1867493833
55 181.9653422417 208.2219231286
56 181.9653422417 205.3758140238
57 181.9653422417 200.5471983824
58 174.8418078661 195.7881253877
59 174.8418078661 192.6796272739
60 173.1612133772 188.1268830164
61 170.6986148578 184.4889141811
62 170.5719710328 182.6945382946
63 167.0538536325 178.6943069833
64 164.5482024087 176.3253375538
65 163.6750952939 174.3244712097
66 162.5073311017 172.0289370831
67 161.3615334346 170.9611482885
68 161.3615334346 170.1881542713
69 156.8575057971 168.4251324359
70 153.3393710245 167.3228726987
71 153.3393710245 165.1403738458
72 152.6314712140 162.7271378566
73 152.4510961313 161.2044739419
74 151.3052306136 160.5461337641
75 151.2862502595 159.7603314188
76 150.7468346006 159.0434855273
77 149.3896695753 158.8896200716
78 149.3896695753 158.1491330554
79 148.3126837162 156.9455474913
80 147.2086940647 156.3738359348
81 146.6788700391 156.0087577347
82 145.5855675955 155.5726834941
83 145.5855675955 154.7165674690
84 144.2725056019 154.7710169486
85 142.8149806442 154.0030674439
86 142.6493791326 152.8616466774
87 142.5152572028 152.4017777046
88 141.1918541749 150.8616860718
89 140.0286243360 149.9428223503
90 139.4259905031 148.3758746431
91 138.0792142779 146.7925419241
92 135.8043930331 145.7647026296
93 135.5519876247 144.6146595019
94 134.0840256926 143.5336602472
95 133.8177836327 141.9839060796
96 133.0789346563 140.8626551732
97 132.3308753812 140.0133670394
98 131.7893431512 139.4305509305
99 130.3625924272 139.2810050407
100 130.3625924272 138.6530047663
101 129.7230639848 138.8026390177
102 129.7230639848 138.0864668088
103 128.7421585663 137.8128967159
104 128.7421585663 137.7755588862
105 128.7421585663 136.8539745719
106 128.4559307521 136.6946532675
107 128.4559307521 135.1942900357
108 127.3621731438 135.5313568257
109 127.3621731438 135.6978759538
110 127.3621731438 135.3885467702
111 126.1387362986 134.1630322747
112 124.2766971749 134.0354019938
113 124.2766971749 132.8947720376
114 124.0906564060 132.9079095593
115 124.0906564060 133.3464363640
116 123.3032095217 133.2595630619
117 123.3032095217 132.8825399577
118 121.9875314868 131.8961690653
119 121.9875314868 130.0725124350
120 121.7745490328 129.3751614223
121 121.6737494514 128.6568685991
122 120.6692076985 127.0240234930
123 120.6692076985 126.6499155286
124 120.6513476900 126.6291538580
125 119.5996593214 126.2698647835
126 119.5996593214 125.1183703036
127 118.7205437965 124.8527834147
128 118.0629131850 124.4482868335
129 117.9350376582 123.3050634967
130 117.7102879804 123.6692071815
131 116.8588152540 123.0848636322
132 116.8588152540 123.0052652643
133 115.4049656909 122.7346215178
134 114.8636857072 121.8751278771
135 114.8636857072 121.8462765541
136 114.3590103662 121.1914232810
