# generation best_length mean_best_half
0 15.1781472464 18.4533700690
1 14.1174063008 17.5136440457
2 13.9038123591 16.7407883947
3 13.0068946465 15.9080431052
4 12.2413451055 15.0963942129
5 12.1190887910 14.3725855972
6 11.9441525878 13.8223572202
7 11.0453201321 13.2924431988
8 10.9401420170 12.8798086948
9 10.3412203834 12.4201323190
10 10.0227522876 12.1221738599
11 9.7327975666 11.8267355226
12 9.2231539757 11.5600235893
13 9.0748960499 11.1757311279
14 8.6990489820 10.7435659334
15 8.6990489820 10.4154746858
16 8.2523498662 9.9953905128
17 8.2151436406 9.6708349102
18 7.9720732230 9.2641789438
19 7.9655833946 9.1210482452
20 7.8977263171 8.8711504498
21 7.2810833046 8.7323301887
22 7.1778440654 8.6240267337
23 6.5063046478 8.4447642798
24 6.4887760076 8.1387904134
25 6.4887760076 7.9076508566
26 6.3535805383 7.4953221180
27 6.1685751074 7.1034169271
28 6.1140508999 6.9015809905
29 6.0070678542 6.8293124129
30 6.0070678542 6.7449142675
31 5.9068079279 6.6161965445
32 5.9068079279 6.4107763731
33 5.8117436688 6.2840117938
34 5.6101693165 6.2374539383
35 5.6101693165 6.2221703658
36 5.6101693165 6.2052683268
37 5.5629827804 6.3459307377
38 5.3672265133 6.3140152349
39 5.3561175109 6.3138169809
40 5.3438572184 6.2049264694
41 5.2632970261 6.0123237789
42 5.2510367336 5.8929587357
43 5.2510367336 5.8384980220
44 5.2368200911 5.7717093741
45 5.2368200911 5.6857091333
46 5.0590024137 5.6753235266
47 5.0447857711 5.5649402742
48 5.0447857711 5.5039580769
49 5.0447857711 5.4409920987
50 5.0447857711 5.3324782607
51 5.0085920499 5.3324743514
52 5.0085920499 5.3611241021
53 5.0085920499 5.3273332636
54 5.0085920499 5.2347738999
55 5.0085920499 5.3169306795
56 5.0085920499 5.3196164708
57 5.0085920499 5.3342316496
58 5.0085920499 5.2926511290
59 5.0085920499 5.3076992769
60 5.0085920499 5.2693852196
61 5.0085920499 5.3067772695
62 5.0085920499 5.2570388405
63 5.0085920499 5.2768246573
64 5.0048957017 5.2319893340
65 4.9986083015 5.2418730967
66 4.8030186484 5.2571571879
67 4.8030186484 5.1840222606
68 4.8030186484 5.2187803707
69 4.7967506869 5.2003833552
70 4.7967506869 5.0477217845
71 4.7967506869 5.0741605572
72 4.7967506869 5.0277398139
73 4.7967506869 5.0555934325
74 4.7967506869 5.1347070465
75 4.7967506869 5.0871284432
76 4.7967506869 5.1061773253
77 4.7967506869 5.2036940083
78 4.7967506869 5.1860593765
79 4.7967506869 5.1309961787
80 4.7967506869 5.1313730046
81 4.7967506869 5.0079116868
82 4.7967506869 5.0350155272
83 4.7967506869 5.0270877000
84 4.7967506869 5.0144766406
85 4.7967506869 5.0092179945
86 4.7967506869 5.0289111593
87 4.7967506869 5.0533992436
88 4.7967506869 5.0410921860
89 4.7967506869 5.0347100081
90 4.7967506869 5.0193199875
91 4.7967506869 5.0120680445
92 4.7967506869 5.0210234414
93 4.7967506869 5.0188673276
94 4.7967506869 5.0364023563
95 4.7967506869 5.0603460975
96 4.7967506869 5.0621997794
97 4.7967506869 5.0175197778
98 4.7967506869 5.0516997499
99 4.7967506869 5.0573194488
100 4.7967506869 5.0460615050
101 4.7967506869 5.0798370610
102 4.7967506869 5.0740028169
103 4.7967506869 5.0289927731
