# generation best_length mean_best_half
0 15.1781472464 18.4533700690
1 14.1174063008 17.5136440457
2 13.9038123591 16.7407883947
3 13.0068946465 15.9080431052
4 12.2413451055 15.0963942129
5 12.1190887910 14.3725855972
6 11.9441525878 13.8223572202
7 11.0453201321 13.2924431988
8 10.9401420170 12.8798086948
9 10.3412203834 12.4201323190
10 10.0227522876 12.1221738599
11 9.7327975666 11.8267355226
12 9.2231539757 11.5600235893
13 9.0748960499 11.1757311279
14 8.6990489820 10.7435659334
15 8.6990489820 10.4154746858
16 8.2523498662 9.9953905128
17 8.2151436406 9.6708349102
18 7.9720732230 9.2641789438
19 7.9655833946 9.1210482452
20 7.8977263171 8.8711504498
21 7.2810833046 8.7323301887
22 7.1778440654 8.6240267337
23 6.5063046478 8.4447642798
24 6.4887760076 8.1387904134
25 6.4887760076 7.9076508566
26 6.3535805383 7.4953221180
27 6.1685751074 7.1034169271
28 6.1140508999 6.9015809905
29 6.0070678542 6.8293124129
30 6.0070678542 6.7449142675
31 5.9068079279 6.6161965445
32 5.9068079279 6.4107763731
33 5.8117436688 6.2840117938
34 5.6101693165 6.2374539383
35 5.6101693165 6.2221703658
36 5.6101693165 6.2052683268
37 5.5629827804 6.3459307377
38 5.3672265133 6.3140152349
39 5.3561175109 6.3138169809
40 5.3438572184 6.2049264694
41 5.2632970261 6.0123237789
42 5.2510367336 5.8929587357
43 5.2510367336 5.8384980220
44 5.2368200911 5.7717093741
45 5.2368200911 5.6857091333
46 5.0590024137 5.6753235266
47 5.0447857711 5.5649402742
48 5.0447857711 5.5039580769
49 5.0447857711 5.4409920987
50 4.8383990476 5.3297226708
51 4.7967506869 5.3174874957
52 4.7967506869 5.3050857116
53 4.7967506869 5.2465100207
54 4.7967506869 5.0726766863
55 4.7967506869 5.1550334541
56 4.7967506869 5.1325911863
57 4.7967506869 5.1277487655
58 4.7967506869 5.1036689807
59 4.7967506869 5.1107302616
60 4.7967506869 5.0816929934
61 4.7967506869 5.1121880338
62 4.7967506869 5.0219252814
63 4.7967506869 5.0230789934
64 4.7967506869 4.9903707108
65 4.7967506869 5.0254057925
66 4.7967506869 5.0626921044
67 4.7967506869 5.0209811274
68 4.7967506869 5.0692078157
69 4.7967506869 5.1137052239
70 4.7967506869 4.9796446370
71 4.7967506869 5.0379472594
72 4.7967506869 5.0175451887
73 4.7967506869 5.0685002542
74 4.7967506869 5.1655668011
75 4.7967506869 5.0909252463
76 4.7967506869 5.0911613824
77 4.7967506869 5.1767851063
78 4.7967506869 5.1591142892
79 4.7967506869 5.1414054665
80 4.7967506869 5.1620060548
81 4.7967506869 5.0316422157
82 4.7967506869 5.0316713562
83 4.7967506869 5.0144787558
84 4.7967506869 5.0052647910
85 4.7967506869 5.0025896119
86 4.7967506869 5.0001248902
87 4.7962446297 5.0310325391
88 4.7962446297 5.0407972653
89 4.7962446297 5.0343594617
90 4.7962446297 5.0243979524
91 4.7962446297 5.0204065444
92 4.7962446297 5.0192874574
93 4.7962446297 5.0349101840
94 4.7962446297 5.0422441778
95 4.7962446297 5.0457601869
96 4.7962446297 5.0818049745
97 4.7962446297 5.0400990848
98 4.7962446297 5.0823543141
99 4.7962446297 5.0684935283
100 4.7962446297 5.0451917171
101 4.7962446297 5.0650212961
102 4.7962446297 5.0533886990
103 4.7962446297 5.0042075522
